"","est1",""
"","b","p"
"dv_indicator","",""
"p47_ss",".0803489",".0013227"
"p48_ss","1.02092",".8970497"
"p71_ss",".8632589",".7745817"
"p72_ss","1.497449",".3386227"
"p75_ss","1.015678",".0145628"
"p77_ss",".8872462",".3373481"
"mine_time","1.073337",".1514816"
"onsite_insp_hours","1.000794",".0871522"
"longwall","1.385626",".0432174"
"4.state","1.236061",".3307576"
"5.state","2.063673",".0002011"
"6.state","1.010153",".953704"
"9.state",".9772356",".884019"
"10.state","2.575877","9.57e-07"
"12.state","1.494975",".2584996"
"14.state",".3233365",".00026"
"15.state",".239395","5.87e-08"
"16.state","1","."
"1.time","1.888528",".1393604"
"2.time","2.067948",".0988595"
"3.time","2.462365",".0210241"
"4.time","1.676448",".225427"
"5.time","1.658605",".1633486"
"6.time","1","."
"7.time","1.629981",".2299086"
"8.time","1.140546",".7388318"
"9.time","1.204078",".6879384"
"10.time",".713639",".463426"
"11.time","1.094686",".8179156"
"12.time",".8026659",".6781044"
"13.time",".5109649",".2177577"
"14.time",".69235",".544706"
"15.time",".738169",".6403103"
"16.time",".5672109",".3966347"
"17.time",".5564237",".3921849"
"18.time",".8640186",".8416213"
"19.time",".7180173",".6909703"
"20.time",".1816561",".0389277"
"21.time",".3195089",".2045951"
"22.time",".2097262",".1033338"
"23.time",".4709561",".4531644"
"24.time",".204001",".1002235"
"25.time",".3325833",".3246279"
"26.time",".1552431",".0731876"
"27.time",".3349134",".3346073"
"28.time",".2170264",".1758088"
"29.time",".1391953",".1115972"
"30.time",".0927166",".0673193"
"31.time",".1221649",".1138068"
"32.time",".2013749",".2639965"
"33.time",".1515132",".1842286"
"34.time",".0780658",".0883507"
"35.time",".0908935",".0984843"
"36.time",".0439161",".0436132"
"37.time",".0462706",".0553369"
"38.time",".03267",".0393819"
"39.time",".0754919",".1340807"
"40.time",".0458528",".078748"
"41.time",".0244343",".0382376"
"42.time",".0283972",".0574344"
"43.time",".0370715",".0845989"
"44.time",".0352109",".0814309"
"45.time",".0208447",".0504388"
"46.time",".1182155",".303477"
"47.time",".0277175",".0915767"
"48.time",".016096",".0585996"
"49.time",".0353406",".1252086"
"50.time",".0254793",".1065331"
"51.time",".0235253",".0987602"
"52.time",".0300683",".1320121"
"53.time",".0206451",".1040395"
"54.time",".0207132",".0986807"
"55.time",".011883",".075112"
"56.time",".0187188",".1162411"
"57.time",".0136309",".1010807"
"58.time",".0114727",".0780357"
"59.time",".0147418",".1185162"
"60.time",".0154852",".1202964"
"61.time",".0095625",".0853217"
"62.time",".0076811",".0883233"
"63.time",".017354",".1685894"
"64.time",".002876",".0354843"
"N","3477",""
