"","est1",""
"","b","p"
"dv","",""
"p47_ss_c_4lag",".5612028",".0040729"
"p48_ss_c_4lag",".9920021",".7763848"
"p71_ss_c_4lag","1.056178",".6961181"
"p72_ss_c_4lag","1.130968",".2750443"
"p75_ss_c_4lag","1.002931",".0054475"
"p77_ss_c_4lag","1.001175",".9718881"
"mine_time","1.010919",".5748792"
"onsite_insp_hours",".9996011",".0185022"
"4.state","1.513597",".0011404"
"5.state","1.208002",".1696474"
"6.state","1.199675",".1086366"
"9.state",".9351224",".4610223"
"10.state","1.408573",".0001993"
"12.state",".9010568",".4469028"
"14.state",".5888883",".0250151"
"15.state",".4165267",".0007143"
"16.state","1","."
"1.time","1","."
"2.time","1.212077",".2704707"
"3.time","1.145649",".4916263"
"4.time",".8596084",".4083023"
"5.time","1.103092",".546749"
"6.time","1.190381",".3440305"
"7.time","1.251875",".2011964"
"8.time",".8618285",".5606939"
"9.time",".9069795",".6551946"
"10.time",".8984396",".683524"
"11.time","1.039317",".8819038"
"12.time",".8297049",".439702"
"13.time",".8330579",".5147359"
"14.time",".7177801",".199091"
"15.time",".8536449",".6054773"
"16.time",".7516815",".3773958"
"17.time",".6748534",".2837539"
"18.time",".6453615",".2924537"
"19.time",".6718582",".2642612"
"20.time",".7643522",".5053308"
"21.time",".6144579",".2104139"
"22.time",".627971",".2723907"
"23.time",".6831814",".3749509"
"24.time",".5061126",".1352028"
"25.time",".6165851",".2973092"
"26.time",".3947376",".0591743"
"27.time",".5983351",".3032492"
"28.time",".5143391",".2216255"
"29.time",".4193543",".15092"
"30.time",".4641219",".1917586"
"31.time",".5234645",".2468382"
"32.time",".5279598",".286992"
"33.time",".4180034",".1394171"
"34.time",".6243078",".4544303"
"35.time",".4770301",".2553505"
"36.time",".4373008",".2173184"
"37.time",".5308736",".3808474"
"38.time",".4276256",".242008"
"39.time",".4320748",".2620113"
"40.time",".5929166",".4935133"
"41.time",".5119413",".405632"
"42.time",".4348337",".2881879"
"43.time",".6134267",".537803"
"44.time",".4633658",".3485017"
"45.time",".5029478",".4143035"
"46.time",".5513502",".4738127"
"47.time",".5282135",".4717202"
"48.time",".4156014",".3291089"
"49.time",".4464359",".3708255"
"50.time",".4635278",".4047208"
"51.time",".660226",".6645166"
"52.time",".2846201",".1826527"
"53.time",".54577",".5535081"
"N","2636",""
