"","est1",""
"","b","p"
"dv","",""
"p47_1lag",".8479029",".1662845"
"p48_1lag",".9899042",".7998454"
"p71_1lag","1.210635",".0008256"
"p72_1lag",".9423306",".495771"
"p75_1lag","1.002894",".0034099"
"p77_1lag",".9822628",".2431783"
"mine_time","1.007296",".7046409"
"onsite_insp_hours",".9995949",".0151038"
"4.state","1.453826",".0017064"
"5.state","1.167259",".2470486"
"6.state","1.181502",".1288038"
"9.state",".9139433",".3147917"
"10.state","1.354501",".0009313"
"12.state",".9106284",".4684319"
"14.state",".5841458",".0196152"
"15.state",".4589606",".0036424"
"16.state","1","."
"1.time","1","."
"2.time","1.214656",".2651591"
"3.time","1.161958",".450491"
"4.time",".8808573",".4926738"
"5.time","1.145503",".4171612"
"6.time","1.194908",".330826"
"7.time","1.297688",".1408719"
"8.time",".9064891",".7101861"
"9.time",".9396541",".7785504"
"10.time",".9138877",".7364846"
"11.time","1.057717",".830108"
"12.time",".8767052",".5905906"
"13.time",".8950976",".6944173"
"14.time",".767156",".310599"
"15.time",".9615058",".8991179"
"16.time",".8203458",".5369962"
"17.time",".7191432",".3706672"
"18.time",".7678286",".5190904"
"19.time",".6864105",".2966248"
"20.time",".8218393",".6309923"
"21.time",".6386356",".2504684"
"22.time",".6424744",".3039079"
"23.time",".724207",".4529918"
"24.time",".5318467",".1595361"
"25.time",".6885273",".4244798"
"26.time",".4375763",".0949402"
"27.time",".6503536",".3897839"
"28.time",".509689",".2017446"
"29.time",".4443162",".1768144"
"30.time",".4903587",".228283"
"31.time",".5365278",".267905"
"32.time",".544946",".3042669"
"33.time",".4404556",".1582244"
"34.time",".6511445",".4951052"
"35.time",".5277249",".3197004"
"36.time",".4758702",".2671024"
"37.time",".580087",".4552661"
"38.time",".4655312",".2978222"
"39.time",".474706",".3214196"
"40.time",".6595635",".5836946"
"41.time",".5538225",".4569175"
"42.time",".4849127",".3579886"
"43.time",".70051",".6567521"
"44.time",".5157925",".4165137"
"45.time",".5805144",".5163806"
"46.time",".6310348",".5755895"
"47.time",".6050386",".5705328"
"48.time",".4690974",".3964502"
"49.time",".5134218",".4538317"
"50.time",".5275014",".4851078"
"51.time",".7543449",".7675823"
"52.time",".3195611",".2199021"
"53.time",".5825141",".5855997"
"N","2669",""
