"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_c_lag_all",".9989486",".4398619"
"sp47_42_pp_c_lag_all",".9846432",".0016554"
"sp47_44_pp_c_lag_all","1.000169",".943014"
"sp48_11_pp_c_lag_all","1.004959",".0398446"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9990521",".4404281"
"sp48_26_pp_c_lag_all","1.002157",".3379875"
"sp48_27_pp_c_lag_all","1.001279",".6653056"
"sp48_28_pp_c_lag_all","1.003332",".1989799"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.010447",".0898515"
"sp48_6_pp_c_lag_all",".9992561",".7677147"
"sp48_7_pp_c_lag_all","1.002271",".0873964"
"sp48_8_pp_c_lag_all","1.00351",".0626071"
"sp71_701_pp_c_lag_all","1","."
"sp72_503_pp_c_lag_all","1.002356",".3273389"
"sp72_610_pp_c_lag_all","1.008458",".3007274"
"sp72_620_pp_c_lag_all",".9920658",".4795065"
"sp72_630_pp_c_lag_all","1.000142",".4987369"
"sp75_100_pp_c_lag_all",".9957156",".3713631"
"sp75_1001_1_pp_c_lag_all",".9966217",".5092429"
"sp75_1001_pp_c_lag_all","1.169816",".0037413"
"sp75_1003_1_pp_c_lag_all",".9974141",".4320183"
"sp75_1100_2_pp_c_lag_all","1.000469",".0607297"
"sp75_1101_20_pp_c_lag_all","1","."
"sp75_1102_pp_c_lag_all",".9986602",".3639945"
"sp75_1103_4_pp_c_lag_all",".9994363",".2129212"
"sp75_1104_pp_c_lag_all",".9991106",".547497"
"sp75_1106_2_pp_c_lag_all",".999526",".6590924"
"sp75_1106_3_pp_c_lag_all",".9999152",".7477778"
"sp75_1106_4_pp_c_lag_all",".9942701",".4481205"
"sp75_1106_5_pp_c_lag_all","1.000406",".810163"
"sp75_1106_6_pp_c_lag_all",".9821846",".5732669"
"sp75_1106_pp_c_lag_all","1.001877",".5420597"
"sp75_1107_14_pp_c_lag_all","1.036331",".0950933"
"sp75_1400_1_pp_c_lag_all",".9934339",".1806423"
"sp75_1400_2_pp_c_lag_all",".9993141",".924994"
"sp75_1400_3_pp_c_lag_all",".9993728",".596965"
"sp75_1400_4_pp_c_lag_all",".9924761",".0058971"
"sp75_1400_pp_c_lag_all",".9989879",".6313481"
"sp75_1401_1_pp_c_lag_all","1.012222",".1976273"
"sp75_1401_pp_c_lag_all","1.007981",".4006449"
"sp75_1403_10_pp_c_lag_all",".9996037",".477312"
"sp75_1403_11_pp_c_lag_all",".9913242",".0335013"
"sp75_1403_3_pp_c_lag_all","1.002385",".6150568"
"sp75_1403_4_pp_c_lag_all","1.01303",".1399733"
"sp75_1403_5_pp_c_lag_all",".9993755",".0877959"
"sp75_1403_6_pp_c_lag_all",".9999677",".9182225"
"sp75_1403_7_pp_c_lag_all","1.003228",".1432355"
"sp75_1403_8_pp_c_lag_all",".9997402",".4203699"
"sp75_1403_9_pp_c_lag_all",".9994843",".5347696"
"sp75_1404_1_pp_c_lag_all","1.000637",".9354042"
"sp75_1404_pp_c_lag_all","1.002854",".4751916"
"sp75_1405_1_pp_c_lag_all","1.001128",".7286925"
"sp75_1405_pp_c_lag_all",".9999127",".8598868"
"sp75_1431_pp_c_lag_all",".8110632",".0440936"
"sp75_1432_pp_c_lag_all","1.003692",".3396266"
"sp75_1433_pp_c_lag_all",".9997772",".9286932"
"sp75_1434_pp_c_lag_all","1.0059",".1960777"
"sp75_1435_pp_c_lag_all",".9881146",".1016623"
"sp75_1437_pp_c_lag_all",".9877372",".0619072"
"sp75_150_pp_c_lag_all",".9975563",".8416878"
"sp75_151_pp_c_lag_all",".9902311",".1870295"
"sp75_153_pp_c_lag_all","1.004894",".9352808"
"sp75_156_pp_c_lag_all",".9970286",".6618245"
"sp75_160_pp_c_lag_all",".9949583",".5962822"
"sp75_1600_2_pp_c_lag_all",".9989721",".0809267"
"sp75_1712_10_pp_c_lag_all",".9979659",".3687006"
"sp75_1712_6_pp_c_lag_all","1.000095",".946432"
"sp75_1720_pp_c_lag_all",".9964908",".0261807"
"sp75_1721_pp_c_lag_all","1","."
"sp75_1725_pp_c_lag_all",".9998484",".1954405"
"sp75_1726_pp_c_lag_all","1.004402",".1997697"
"sp75_1727_pp_c_lag_all","1","."
"sp75_1728_pp_c_lag_all","1.000676",".798575"
"sp75_1729_pp_c_lag_all",".9964798",".4131378"
"sp75_1730_pp_c_lag_all","1.004755",".1444296"
"sp75_1731_pp_c_lag_all","1.000044",".3632037"
"sp75_1903_pp_c_lag_all","1.00079",".6536198"
"sp75_1909_pp_c_lag_all","1.000283",".2427111"
"sp75_1910_pp_c_lag_all",".9998809",".7625114"
"sp75_1911_pp_c_lag_all","1.000221",".6481158"
"sp75_1912_pp_c_lag_all","1.003166",".276122"
"sp75_1913_pp_c_lag_all","1.004976",".5911625"
"sp75_1914_pp_c_lag_all","1.000132",".6504708"
"sp75_1915_pp_c_lag_all","1.153827",".0000609"
"sp75_202_pp_c_lag_all","1.000069",".0868678"
"sp75_208_pp_c_lag_all",".9999467",".9360947"
"sp75_211_pp_c_lag_all","1.000216",".6548254"
"sp75_212_pp_c_lag_all",".9988798",".1672464"
"sp75_214_pp_c_lag_all",".9992974",".6275814"
"sp75_312_pp_c_lag_all",".9989689",".455496"
"sp75_320_pp_c_lag_all","1.000923",".1066647"
"sp75_324_pp_c_lag_all",".9969582",".0888467"
"sp75_337_pp_c_lag_all","1.000346",".5384901"
"sp75_340_pp_c_lag_all","1.000696",".0023133"
"sp75_341_pp_c_lag_all","1.012648",".8629974"
"sp75_342_pp_c_lag_all",".9998547",".3464473"
"sp75_344_pp_c_lag_all",".9927657",".0000143"
"sp75_352_pp_c_lag_all",".9960475",".0774204"
"sp75_382_pp_c_lag_all",".9969907",".0003081"
"sp75_503_pp_c_lag_all","1.000011",".8972398"
"sp75_504_pp_c_lag_all","1.003184",".3933181"
"sp75_505_pp_c_lag_all","1.00668",".3393902"
"sp75_506_1_pp_c_lag_all","1.001236",".408321"
"sp75_506_pp_c_lag_all","1.003539",".3158848"
"sp75_507_pp_c_lag_all","1.001965",".2931717"
"sp75_511_1_pp_c_lag_all","1","."
"sp75_511_pp_c_lag_all","1.000452",".7413947"
"sp75_512_1_pp_c_lag_all","1.016812",".0232496"
"sp75_512_2_pp_c_lag_all","1.00061",".2839991"
"sp75_512_pp_c_lag_all",".9998985",".4083577"
"sp75_513_1_pp_c_lag_all",".996376",".5289516"
"sp75_513_pp_c_lag_all",".9986179",".5475266"
"sp75_514_pp_c_lag_all","1.000797",".0447391"
"sp75_515_pp_c_lag_all",".9993197",".0020909"
"sp75_516_1_pp_c_lag_all",".9988553",".8156788"
"sp75_516_2_pp_c_lag_all",".9992792",".5158104"
"sp75_516_pp_c_lag_all","1.000226",".7340269"
"sp75_517_1_pp_c_lag_all",".9957912",".6669465"
"sp75_517_pp_c_lag_all",".9999194",".3215597"
"sp75_518_1_pp_c_lag_all","1.00027",".6535868"
"sp75_518_pp_c_lag_all",".9997271",".6301085"
"sp75_519_pp_c_lag_all",".9783925",".002353"
"sp75_520_pp_c_lag_all",".9998347",".8118418"
"sp75_523_1_pp_c_lag_all",".9969113",".0427269"
"sp75_523_2_pp_c_lag_all","1.000431",".6801212"
"sp75_523_pp_c_lag_all","1.000185",".8844826"
"sp75_600_1_pp_c_lag_all",".9911924",".0473516"
"sp75_600_pp_c_lag_all",".9953005",".6954188"
"sp75_601_1_pp_c_lag_all","1.000333",".5667534"
"sp75_601_2_pp_c_lag_all",".5457948","0"
"sp75_601_3_pp_c_lag_all",".99188",".0039708"
"sp75_601_pp_c_lag_all","1.000391",".5461994"
"sp75_602_pp_c_lag_all",".999295",".7385556"
"sp75_603_pp_c_lag_all","1.003727",".4059789"
"sp75_604_pp_c_lag_all",".9998598",".3979188"
"sp75_605_pp_c_lag_all",".9993241",".3822182"
"sp75_606_pp_c_lag_all",".9997955",".3217024"
"sp75_607_pp_c_lag_all",".9994507",".7563437"
"sp75_700_1_pp_c_lag_all",".994635",".3424518"
"sp75_700_pp_c_lag_all","1.000791",".7740593"
"sp75_701_1_pp_c_lag_all","1.00279",".2210409"
"sp75_701_2_pp_c_lag_all",".997693",".4056847"
"sp75_701_3_pp_c_lag_all",".9989081",".4722428"
"sp75_701_4_pp_c_lag_all",".9988857",".8469981"
"sp75_701_pp_c_lag_all","1.000457",".2426287"
"sp75_702_1_pp_c_lag_all",".9856142",".0705387"
"sp75_702_pp_c_lag_all","1.00922",".2682755"
"sp75_703_1_pp_c_lag_all","1.003131",".6821315"
