"","est1",""
"","b","p"
"dv","",""
"sp47_41_ss_c_lag_all",".8856758",".8170975"
"sp47_44_ss_c_lag_all",".6920588",".2202297"
"sp48_11_ss_c_lag_all","1.239515",".0972645"
"sp48_25_ss_c_lag_all","1.283283",".0000305"
"sp48_26_ss_c_lag_all",".8461881",".6235248"
"sp48_27_ss_c_lag_all","1.056325",".6601039"
"sp48_28_ss_c_lag_all",".8514673",".4161264"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all",".9591773",".8780532"
"sp48_6_ss_c_lag_all","1.062964",".6520336"
"sp48_7_ss_c_lag_all","1.066319",".4138527"
"sp48_8_ss_c_lag_all","1.13962",".425192"
"sp71_701_ss_c_lag_all","1","."
"sp72_503_ss_c_lag_all",".5357501",".1025764"
"sp72_610_ss_c_lag_all","1.330367",".6683977"
"sp72_620_ss_c_lag_all","2.299229",".0096796"
"sp72_630_ss_c_lag_all","1.000163",".9923916"
"sp75_100_ss_c_lag_all",".7979561",".5909533"
"sp75_1001_1_ss_c_lag_all","2.389974",".6609352"
"sp75_1001_ss_c_lag_all",".6295119",".4571402"
"sp75_1003_1_ss_c_lag_all",".8262549",".3721037"
"sp75_1100_2_ss_c_lag_all","1.063701",".0245942"
"sp75_1101_20_ss_c_lag_all","1","."
"sp75_1102_ss_c_lag_all","1.009172",".952068"
"sp75_1103_4_ss_c_lag_all",".7906595",".0034129"
"sp75_1104_ss_c_lag_all",".9090485",".6816493"
"sp75_1106_2_ss_c_lag_all","1.268297",".006483"
"sp75_1106_3_ss_c_lag_all",".9303183",".0022995"
"sp75_1106_4_ss_c_lag_all",".8063008",".6866657"
"sp75_1106_5_ss_c_lag_all",".8903475",".1972358"
"sp75_1106_6_ss_c_lag_all",".850721",".8329929"
"sp75_1106_ss_c_lag_all",".9344064",".712495"
"sp75_1107_14_ss_c_lag_all","1","."
"sp75_1400_1_ss_c_lag_all","1.091223",".8449285"
"sp75_1400_2_ss_c_lag_all","2.35773",".00474"
"sp75_1400_3_ss_c_lag_all",".828064",".0931374"
"sp75_1400_4_ss_c_lag_all",".9081782",".6815657"
"sp75_1400_ss_c_lag_all",".8737243",".1588711"
"sp75_1401_ss_c_lag_all",".9931533",".9835171"
"sp75_1403_10_ss_c_lag_all",".9706476",".2494504"
"sp75_1403_11_ss_c_lag_all","8.258557",".010279"
"sp75_1403_3_ss_c_lag_all",".4090578",".0091749"
"sp75_1403_4_ss_c_lag_all","1.165093",".4686754"
"sp75_1403_5_ss_c_lag_all",".9949472",".6950485"
"sp75_1403_6_ss_c_lag_all",".9631743",".09117"
"sp75_1403_7_ss_c_lag_all",".9286827",".4638885"
"sp75_1403_8_ss_c_lag_all",".999788",".9894785"
"sp75_1403_9_ss_c_lag_all",".690691",".0144253"
"sp75_1404_1_ss_c_lag_all","2.543556",".0715063"
"sp75_1404_ss_c_lag_all",".9323292",".8229066"
"sp75_1405_1_ss_c_lag_all",".5502438",".0348148"
"sp75_1405_ss_c_lag_all",".9313071",".0391294"
"sp75_1431_ss_c_lag_all",".0002428","4.62e-10"
"sp75_1432_ss_c_lag_all","1","."
"sp75_1433_ss_c_lag_all",".5963936",".0031522"
"sp75_1434_ss_c_lag_all","1.046651",".8170926"
"sp75_1435_ss_c_lag_all","1.105017",".8275921"
"sp75_1437_ss_c_lag_all","1.93558",".0333163"
"sp75_150_ss_c_lag_all","1","."
"sp75_151_ss_c_lag_all","1.251501",".6002794"
"sp75_153_ss_c_lag_all","87.82521",".0576777"
"sp75_155_ss_c_lag_all","1","."
"sp75_156_ss_c_lag_all","1","."
"sp75_1600_2_ss_c_lag_all",".6538416",".0022175"
"sp75_1712_10_ss_c_lag_all","1.309584",".3280133"
"sp75_1712_6_ss_c_lag_all","1.057322",".8876166"
"sp75_1720_ss_c_lag_all",".7416477",".0000323"
"sp75_1721_ss_c_lag_all","1","."
"sp75_1725_ss_c_lag_all","1.008338",".0679145"
"sp75_1726_ss_c_lag_all",".9199623",".4923283"
"sp75_1727_ss_c_lag_all","1","."
"sp75_1728_ss_c_lag_all","1.665786",".0070385"
"sp75_1729_ss_c_lag_all",".7426645",".108765"
"sp75_1730_ss_c_lag_all","1.713353",".0076812"
"sp75_1731_ss_c_lag_all","1.009892",".002168"
"sp75_1903_ss_c_lag_all","4.745401","1.11e-13"
"sp75_1909_ss_c_lag_all","1.022197",".2050678"
"sp75_1910_ss_c_lag_all",".8187792",".0045901"
"sp75_1911_ss_c_lag_all",".9609491",".4295975"
"sp75_1912_ss_c_lag_all",".6358594",".2302651"
"sp75_1913_ss_c_lag_all","1.29152",".440166"
"sp75_1914_ss_c_lag_all",".9911419",".4702378"
"sp75_1915_ss_c_lag_all",".9857935",".947829"
"sp75_202_ss_c_lag_all",".999587",".8442092"
"sp75_208_ss_c_lag_all","1.008076",".8312523"
"sp75_211_ss_c_lag_all",".9702264",".4063022"
"sp75_212_ss_c_lag_all",".9397243",".3922714"
"sp75_214_ss_c_lag_all","1.04988",".890962"
"sp75_312_ss_c_lag_all",".7082157",".0832448"
"sp75_320_ss_c_lag_all",".6349167",".0000191"
"sp75_324_ss_c_lag_all",".9458589",".6599301"
"sp75_337_ss_c_lag_all",".9895308",".728961"
"sp75_340_ss_c_lag_all",".9975737",".8830252"
"sp75_342_ss_c_lag_all",".9732165",".1028357"
"sp75_344_ss_c_lag_all","1.061061",".6126494"
"sp75_352_ss_c_lag_all",".968049",".6963426"
"sp75_382_ss_c_lag_all","1.168367",".1606068"
"sp75_503_ss_c_lag_all","1.016938",".0068259"
"sp75_504_ss_c_lag_all",".6108578",".154474"
"sp75_505_ss_c_lag_all",".5130953",".0060836"
"sp75_506_1_ss_c_lag_all","1.397082",".4846778"
"sp75_506_ss_c_lag_all",".8955417",".6312629"
"sp75_507_ss_c_lag_all","1.013995",".8965198"
"sp75_511_1_ss_c_lag_all","1","."
"sp75_511_ss_c_lag_all","1.16958",".0577757"
"sp75_512_1_ss_c_lag_all","1","."
"sp75_512_2_ss_c_lag_all","1.307795",".018326"
"sp75_512_ss_c_lag_all",".9987205",".8993705"
"sp75_513_1_ss_c_lag_all",".6358262",".0882589"
"sp75_513_ss_c_lag_all",".8431404",".3079428"
"sp75_514_ss_c_lag_all",".9265405",".0159367"
"sp75_515_ss_c_lag_all","1.036593",".2662233"
"sp75_516_1_ss_c_lag_all",".6190487",".1197438"
"sp75_516_2_ss_c_lag_all",".0848759",".0018016"
"sp75_516_ss_c_lag_all","1.079237",".5090921"
"sp75_517_1_ss_c_lag_all",".8792613",".7071931"
"sp75_517_ss_c_lag_all","1.008305",".0488566"
"sp75_518_1_ss_c_lag_all","1.4007",".1170163"
"sp75_518_ss_c_lag_all","1.033308",".4098831"
"sp75_519_ss_c_lag_all",".1309042",".032665"
"sp75_520_ss_c_lag_all",".9892241",".8285651"
"sp75_523_1_ss_c_lag_all","1.031417",".6421506"
"sp75_523_2_ss_c_lag_all",".9234112",".2013447"
"sp75_523_ss_c_lag_all","1.233702",".0016384"
"sp75_600_1_ss_c_lag_all",".9018441",".6611987"
"sp75_600_ss_c_lag_all",".83149",".758333"
"sp75_601_1_ss_c_lag_all","1.082101",".139381"
"sp75_601_2_ss_c_lag_all","1","."
"sp75_601_3_ss_c_lag_all","2.152525",".0167196"
"sp75_601_ss_c_lag_all","1.007424",".809102"
"sp75_602_ss_c_lag_all","1.299439",".0388755"
"sp75_603_ss_c_lag_all",".4873256",".0375127"
"sp75_604_ss_c_lag_all",".9997345",".9683115"
"sp75_605_ss_c_lag_all",".9363901",".2769893"
"sp75_606_ss_c_lag_all",".9797985",".238458"
"sp75_607_ss_c_lag_all",".9872733",".8795008"
"sp75_700_1_ss_c_lag_all","1","."
"sp75_700_ss_c_lag_all",".8406374",".0711115"
"sp75_701_1_ss_c_lag_all","1.001315",".9868523"
"sp75_701_2_ss_c_lag_all","1.035972",".7319872"
"sp75_701_3_ss_c_lag_all","1.240514",".0548171"
"sp75_701_4_ss_c_lag_all",".6581613",".4064983"
"sp75_701_ss_c_lag_all",".9515874",".1398998"
"sp75_703_2_ss_c_lag_all","1","."
"sp75_703_3_ss_c_lag_all","1.239834",".315655"
"sp75_703_ss_c_lag_all",".996687",".9609275"
"sp75_704_ss_c_lag_all","1","."
"sp75_705_1_ss_c_lag_all",".7778897",".0574787"
"sp75_705_8_ss_c_lag_all","1","."
"sp75_705_ss_c_lag_all","1.070655",".8296134"
"sp75_706_ss_c_lag_all",".9464645",".7581752"
"sp75_800_2_ss_c_lag_all","1","."
"sp75_800_3_ss_c_lag_all","2.122533",".0327628"
