"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp_1lag",".9868422",".0180863"
"p48_pp_1lag",".9993002",".729215"
"p71_pp_1lag","1.020624",".4038695"
"p72_pp_1lag","1.00073",".9384"
"p75_pp_1lag","1.000035",".3909821"
"p77_pp_1lag",".9993819",".4178195"
"mine_time","1.286258",".2911888"
"onsite_insp_hours","1.000635",".1079686"
"longwall","1.697601",".4752597"
"4.state","1.055595",".9131524"
"5.state","1","."
"6.state",".5224688",".101805"
"9.state","1","."
"10.state","1","."
"12.state",".9767777",".9542"
"14.state",".2277669",".0348717"
"15.state",".1225844",".0260939"
"16.state","1","."
"8.time","1","."
"9.time","1.090747",".9138167"
"10.time",".1609953",".0216491"
"11.time",".2379658",".1102736"
"12.time",".1842878",".1343763"
"13.time",".2294244",".2890842"
"14.time",".2813399",".3779406"
"15.time",".0597892",".0474416"
"16.time",".0862727",".16799"
"N","378",""
