"","est1",""
"","b","p"
"dv_indicator","",""
"p47_1lag",".3704658",".0132481"
"p48_1lag",".9741268",".8072953"
"p71_1lag","3.556046",".351683"
"p72_1lag","1.176361",".6524707"
"p75_1lag","1.003765",".1671244"
"p77_1lag","1.046012",".4968748"
"mine_time","1.720537",".0011331"
"onsite_insp_hours","1.000568",".1964904"
"longwall","3.183916",".0906871"
"4.state","1.01033",".985242"
"5.state","2.1699",".2196021"
"6.state",".6084433",".1475497"
"9.state","1.114285",".7719321"
"10.state","1","."
"12.state",".8191228",".6462395"
"14.state",".0816916",".0002814"
"15.state",".0841497","6.24e-07"
"16.state","1","."
"1.time","2.035705",".2879941"
"2.time","1","."
"3.time",".4533724",".1301604"
"4.time",".3143113",".0672707"
"5.time",".1353881",".013615"
"6.time",".0519271",".0002613"
"7.time",".1018739",".0164386"
"8.time",".0157371",".0002276"
"9.time",".0155357",".0002374"
"10.time",".0015287","5.51e-07"
"11.time",".0017148",".0000176"
"12.time",".0009864",".0000273"
"13.time",".0010456",".0002428"
"14.time",".0009624",".0003377"
"15.time",".000157","4.37e-06"
"16.time",".0001951",".0000805"
"N","825",""
