"","est1",""
"","b","p"
"dv","",""
"p47_pp_c_lag_all",".9998017",".4055944"
"p48_pp_c_lag_all","1.00007",".1305126"
"p71_pp_c_lag_all",".9999116",".5366487"
"p72_pp_c_lag_all","1.00003",".8634412"
"p75_pp_c_lag_all","1.000001",".165032"
"p77_pp_c_lag_all",".9999895",".5084058"
"mine_time",".8966554",".5157652"
"onsite_insp_hours",".9999128",".1500286"
"4.state","1.137028",".2029851"
"5.state",".8807247",".4111707"
"6.state","1.01867",".9049369"
"9.state",".84868",".3440211"
"10.state","1.280094",".0294675"
"12.state",".861943",".439876"
"14.state",".5099957",".0102715"
"15.state",".3444286",".0000524"
"16.state","1","."
"5.time","1","."
"6.time",".9734729",".8885862"
"7.time",".9712726",".9313372"
"8.time",".9404318",".9031682"
"9.time","1.132396",".8463721"
"10.time","1.240057",".789863"
"11.time","1.367778",".743803"
"12.time","1.545952",".7021621"
"13.time","1.615367",".715142"
"N","414",""
