"","est1",""
"","b","p"
"dv","",""
"p48_pp","1.000656",".2089671"
"p75_pp","1.000027",".0605213"
"mine_time","1.029038",".3722356"
"onsite_insp_hours",".9993888",".0169331"
"4.state","1.200382",".111801"
"5.state",".9658543",".7529305"
"6.state",".9452045",".6601392"
"9.state",".6818714",".0000505"
"10.state","1.001493",".9879691"
"12.state","1.007943",".9667225"
"14.state",".3379617",".0000104"
"15.state",".4275351","3.28e-08"
"16.state","1","."
"17.time","1","."
"18.time",".874818",".3485355"
"19.time",".970909",".793246"
"20.time",".9455398",".6678377"
"21.time",".7716754",".0638701"
"22.time",".7533938",".0802101"
"23.time",".8344749",".3446955"
"24.time",".6663487",".1035883"
"25.time",".6486822",".0971597"
"26.time",".529026",".0308428"
"27.time",".5815196",".1018989"
"28.time",".5326702",".0749912"
"29.time",".4722111",".05934"
"30.time",".6208378",".298123"
"31.time",".5824984",".206822"
"32.time",".4566245",".1007353"
"33.time",".4233986",".0821918"
"34.time",".4820784",".1586875"
"35.time",".4796424",".188907"
"36.time",".3631174",".0870284"
"37.time",".3740937",".1084474"
"38.time",".2982671",".0719284"
"39.time",".4210417",".2108204"
"40.time",".3448383",".1439328"
"41.time",".3124428",".1281754"
"42.time",".3425729",".1743849"
"43.time",".3593613",".2134249"
"44.time",".2534244",".1032907"
"45.time",".3176238",".1902258"
"46.time",".319077",".2075724"
"47.time",".335641",".2531953"
"48.time",".2664931",".1812142"
"49.time",".2838349",".2164284"
"50.time",".2252829",".1539828"
"51.time",".3740482",".3593427"
"52.time",".2301259",".1856302"
"53.time",".2799452",".2642215"
"N","1726",""
