"","est1",""
"","b","p"
"dv","",""
"p48_ss_c_4lag",".9913334",".7437596"
"p75_ss_c_4lag","1.00065",".2632323"
"mine_time","1.012599",".5610948"
"onsite_insp_hours",".9996216",".0207204"
"4.state","1.357086",".0012118"
"5.state","1.119195",".1652978"
"6.state","1.049816",".6351715"
"9.state",".7284019",".0000975"
"10.state",".9222857",".3095199"
"12.state",".856383",".2458721"
"14.state",".3528985","6.59e-07"
"15.state",".6037153",".0570342"
"16.state","1","."
"1.time","1","."
"2.time","1.071518",".442805"
"3.time","1.153621",".1667702"
"4.time",".9470499",".6182065"
"5.time",".8897382",".3594499"
"6.time","1.037662",".7805665"
"7.time","1.139609",".4186625"
"8.time",".7631056",".1337415"
"9.time",".746445",".1298839"
"10.time",".8469182",".4233001"
"11.time",".8740902",".5398857"
"12.time",".8991624",".6227849"
"13.time",".754335",".2723673"
"14.time",".7067945",".2046806"
"15.time",".8731648",".6547036"
"16.time",".6262442",".1376809"
"17.time",".6754685",".2636508"
"18.time",".6447481",".2971238"
"19.time",".755083",".4713677"
"20.time",".7377312",".4586759"
"21.time",".600782",".2099436"
"22.time",".6059401",".2401939"
"23.time",".6709482",".3834903"
"24.time",".5494381",".2309782"
"25.time",".5351974",".221221"
"26.time",".4516894",".1350277"
"27.time",".5028019",".215599"
"28.time",".4565021",".1733846"
"29.time",".4127417",".1388065"
"30.time",".5550787",".3601619"
"31.time",".5348423",".3095398"
"32.time",".4205178",".1850337"
"33.time",".3979643",".1646428"
"34.time",".4590114",".2494176"
"35.time",".4739669",".287048"
"36.time",".362235",".1640741"
"37.time",".3739681",".178996"
"38.time",".3013063",".1233837"
"39.time",".4290756",".2864625"
"40.time",".3560118",".2095887"
"41.time",".3320886",".1947983"
"42.time",".3678366",".2440086"
"43.time",".3984397",".2979085"
"44.time",".2952193",".1745233"
"45.time",".36411",".2720417"
"46.time",".3754893",".2974151"
"47.time",".4063768",".3578908"
"48.time",".321684",".2599969"
"49.time",".3486592",".2981324"
"50.time",".2801159",".2209091"
"51.time",".4874232",".4976497"
"52.time",".3016662",".2690708"
"53.time",".3550007",".350814"
"N","2636",""
