"","est1",""
"","b","p"
"dv","",""
"p48_c_lag_all","1.008625",".1842679"
"p75_c_lag_all",".9999553",".1281911"
"mine_time",".9984185",".9461646"
"onsite_insp_hours",".999952",".7327248"
"4.state","1.376507",".0005979"
"5.state","1.034621",".7373848"
"6.state","1.119453",".2506877"
"9.state",".7630642",".0003867"
"10.state",".9229534",".3543604"
"12.state",".7620093",".0105815"
"14.state",".4392781","2.08e-11"
"15.state",".6140549",".0759229"
"16.state","1","."
"1.time","1","."
"2.time","1.069102",".4688811"
"3.time","1.176981",".1238243"
"4.time",".9857451",".8996763"
"5.time",".9478794",".6866312"
"6.time","1.113741",".4231402"
"7.time","1.237405",".22849"
"8.time",".8454856",".3660257"
"9.time",".8309933",".3625977"
"10.time",".932662",".764763"
"11.time",".979896",".9285708"
"12.time",".9911889",".9742324"
"13.time",".8652945",".6203106"
"14.time",".830809",".5593616"
"15.time","1.068994",".8473181"
"16.time",".7871439",".4919055"
"17.time",".8437206",".6457849"
"18.time",".8334579",".6932646"
"19.time","1.002835",".9946452"
"20.time",".9162048",".8500187"
"21.time",".7447439",".5188078"
"22.time",".730352",".5106623"
"23.time",".876962",".7970666"
"24.time",".7343683",".5797126"
"25.time",".7556847",".6132251"
"26.time",".6662438",".4853678"
"27.time",".7249385",".6097513"
"28.time",".6713897",".5302028"
"29.time",".5935709",".4454681"
"30.time",".8128078",".759679"
"31.time",".7822904",".7156346"
"32.time",".6524112",".5488801"
"33.time",".5796649",".4637379"
"34.time",".6343542",".5442946"
"35.time",".693124",".6297925"
"36.time",".5365537",".4374969"
"37.time",".5729922",".475623"
"38.time",".5069577",".406162"
"39.time",".7083777",".679886"
"40.time",".5733396",".5112235"
"41.time",".553517",".5004794"
"42.time",".6485331",".6329251"
"43.time",".7020865",".6995528"
"44.time",".5750321",".5526363"
"45.time",".6682203",".6865176"
"46.time",".6972892",".7259623"
"47.time",".7813377",".8138653"
"48.time",".6307559",".6667913"
"49.time",".662941",".6990752"
"50.time",".5548906",".6078729"
"51.time",".952907",".9661388"
"52.time",".6045062",".6722223"
"53.time",".7048678",".7724128"
"N","2281",""
