"","est1",""
"","b","p"
"dv","",""
"sp48_11","1.034406",".6141846"
"sp75_1311",".9820941",".8847628"
"sp75_1400_1","1.364622",".3154231"
"sp75_1404_1","1.015055",".9149045"
"sp75_1405_1",".9086581",".2649764"
"sp75_500_1","1","."
"sp75_501",".9651295",".8006232"
"sp75_506_1",".9953175",".9324728"
"sp75_507_1","1.000599",".9881083"
"sp75_508_1",".8892201",".3189103"
"sp75_512_1",".9827237",".9118028"
"sp75_811","1.099684",".0714207"
"sp75_1002","1.011969",".720609"
"sp75_1003_2","1.04993",".6243498"
"sp75_1322","1.077628",".6772826"
"sp75_1719_2",".9805473",".8245637"
"sp75_212","1.010056",".8187537"
"sp75_332",".862571",".2334074"
"sp75_501_2",".7699719",".1513167"
"sp75_502","1.087888",".7164761"
"sp75_602","1.072017",".131085"
"sp75_812","1.188187",".1406531"
"sp75_1003",".9326744",".0026761"
"sp75_153","1","."
"sp75_203","1.059917",".011643"
"sp75_213","1.118232",".1890909"
"sp75_343",".9719903",".6312487"
"sp75_373","1","."
"sp75_503",".9951183",".4746627"
"sp75_523","1.032722",".3916482"
"sp75_523_3",".9746432",".0609153"
"sp75_603",".8277567",".0609211"
"sp75_703_3","1.07457",".4629168"
"sp48_24","1","."
"sp48_4","1","."
"sp75_1404",".9629672",".8155705"
"sp75_1719_4","1.053847",".0712299"
"sp75_204","1.070159",".0233149"
"sp75_334",".981697",".7576612"
"sp75_524",".8299555",".0496103"
"sp75_604","1.008648",".3698867"
"sp75_703_4","1","."
"sp48_25","1.091562",".3713149"
"sp48_5",".8715158",".558343"
"sp75_1315","1","."
"sp75_1403_5",".9577995",".0000569"
"sp75_1405","1.001892",".9513809"
"sp75_155","1.399214",".077086"
"sp75_1725","1.011966",".1283068"
"sp75_205",".912483",".7024726"
"sp75_215",".8098518",".5655768"
"sp75_505",".9733893",".8973885"
"sp75_605",".9656725",".1138548"
"sp48_26",".9237863",".573006"
"sp48_6",".969744",".7375482"
"sp75_1316","3.36724","0"
"sp75_1403_6","1.009828",".3436153"
"sp75_156","1.046748",".7649013"
"sp75_1906","1.132465",".0062146"
"sp75_1916","1.028121",".6140123"
"sp75_606",".9997923",".9912506"
"sp75_816","1.033894",".4525915"
"sp75_906",".8735901",".6912099"
"sp48_27",".9825627",".8589844"
"sp48_7","1.020758",".7382159"
"sp75_1403_7",".9818505",".6530189"
"sp75_207",".8851363",".5724103"
"sp75_327","1.41479",".2792043"
"sp75_337","1.04854",".0938052"
"sp75_507",".8384636",".0321687"
"sp75_607",".9763447",".8175484"
"sp75_807","1.028311",".0649601"
"sp75_817",".7923808",".0785405"
"sp48_28",".8955513",".1198745"
"sp48_8","1.060403",".5293887"
"sp75_1318","1","."
"sp75_1403_8",".9620777",".0001996"
"sp75_208","1.002154",".9284967"
"sp75_388","1.087851",".4114413"
"sp75_209",".7556247",".0149936"
"sp75_389",".5780453",".2960978"
"sp75_509","1.131703",".3191105"
"sp75_100","1.048848",".8359285"
"sp75_1400",".9628048",".5326888"
"sp75_1403_10","1.047133",".017366"
"sp75_160","2.137197","6.64e-06"
"sp75_1720",".8751009",".0123441"
"sp75_340",".9722002",".0379237"
"sp75_500",".921656",".3547303"
"sp75_510",".8776086",".5414658"
"sp75_810","1.30661",".0021267"
"mine_time","1.026452",".1220206"
"onsite_insp_hours",".9997033",".0873326"
"4.state","1.24219",".0093648"
"5.state","1.060386",".3779122"
"6.state",".9887747",".9109557"
"9.state",".6907128","9.02e-07"
"10.state","1.013182",".8455065"
"12.state",".8449262",".2011873"
"14.state",".3264565","4.96e-08"
"15.state",".5965574",".0422604"
"16.state","1","."
"1.time","1","."
"2.time","1.008499",".9214618"
"3.time","1.140976",".2082235"
"4.time",".859349",".1642314"
"5.time",".8254671",".0721948"
"6.time",".986396",".9029318"
"7.time","1.010647",".9356871"
"8.time",".6975488",".0152006"
"9.time",".6644318",".0086909"
"10.time",".6959368",".0404274"
"11.time",".7307004",".0798255"
"12.time",".743167",".097256"
"13.time",".6324043",".0242713"
"14.time",".6114162",".0283879"
"15.time",".6971124",".1427534"
"16.time",".5244946",".0106535"
"17.time",".5107405",".0125498"
"18.time",".5074554",".0328267"
"19.time",".5635661",".0658186"
"20.time",".5237999",".0467389"
"21.time",".4138652",".005942"
"22.time",".409875",".0070385"
"23.time",".4734607",".0352906"
"24.time",".3694573",".010927"
"25.time",".3555921",".0090793"
"26.time",".3017191",".0045499"
"27.time",".3300753",".0116328"
"28.time",".3012172",".0071661"
"29.time",".2677477",".0054449"
"30.time",".3134401",".016967"
"31.time",".326695",".0200151"
"32.time",".2524517",".0072346"
"33.time",".2384167",".0055559"
"34.time",".2744033",".0137517"
"35.time",".2828727",".0220984"
"36.time",".2174102",".0065402"
"37.time",".213727",".0056851"
"38.time",".1738041",".0039145"
"39.time",".2415198",".0222765"
"40.time",".1870489",".0086216"
"41.time",".1771018",".008783"
"42.time",".1868095",".0120474"
"43.time",".2024508",".0198349"
"44.time",".1560039",".0082424"
"45.time",".1859548",".0178628"
"46.time",".1974061",".0268987"
"47.time",".2006383",".0380833"
"48.time",".1551681",".0197252"
"49.time",".1610712",".0230145"
"50.time",".1293069",".0129364"
"51.time",".2319819",".0818894"
"52.time",".1384461",".0216422"
"53.time",".1561025",".0346176"
"N","2688",""
