"","est1",""
"","b","p"
"dv","",""
"p48_pp_c_4lag","1.000107",".2668314"
"p75_pp_c_4lag","1.000002",".0847782"
"mine_time","1.032166",".856529"
"onsite_insp_hours",".9998135",".0139898"
"4.state","1.105115",".3291789"
"5.state",".843951",".0816455"
"6.state",".8891186",".4081374"
"9.state",".6349424",".0000654"
"10.state",".9184371",".4117195"
"12.state","1.071758",".7443504"
"14.state",".3258548",".0000131"
"15.state",".4497475",".0001103"
"16.state","1","."
"5.time","1","."
"6.time",".8388483",".3169325"
"7.time",".6541036",".2294201"
"8.time",".6971116",".4872879"
"9.time",".6276394",".4888283"
"10.time",".543283",".4804381"
"11.time",".5124435",".5229448"
"12.time",".5519393",".6265979"
"13.time",".5324869",".6493465"
"N","414",""
