"","est1",""
"","b","p"
"dv","",""
"p48_ss_c_4lag",".9947208",".5833838"
"p75_ss_c_4lag","1.000278",".1346307"
"mine_time",".9799398",".8534465"
"onsite_insp_hours",".9998563",".0223182"
"4.state","1.283703",".0094599"
"5.state","1.034414",".7077709"
"6.state","1.001726",".9875466"
"9.state",".6714027",".0000264"
"10.state",".8660108",".0846402"
"12.state",".9411277",".741439"
"14.state",".3318203","6.45e-07"
"15.state",".6154335",".0558614"
"16.state","1","."
"1.time","1","."
"2.time",".9776748",".8616963"
"3.time",".8971332",".6239063"
"4.time",".8700333",".6703749"
"5.time",".8632361",".7395431"
"6.time",".8280861",".7309808"
"7.time",".6839666",".569373"
"8.time",".7664996",".7291512"
"9.time",".7301495",".7143329"
"10.time",".6671037",".6816215"
"11.time",".6639972",".7099894"
"12.time",".7459631",".8092623"
"13.time",".7802382",".8507844"
"N","654",""
