"","est1",""
"","b","p"
"dv","",""
"p48_1lag","1.004344",".7884009"
"p75_1lag","1.000481",".1104211"
"mine_time",".9859669",".8989399"
"onsite_insp_hours",".9998256",".0214275"
"4.state","1.23908",".0113713"
"5.state",".9999932",".9999318"
"6.state","1.006805",".9522376"
"9.state",".665855","6.63e-06"
"10.state",".8794239",".1212886"
"12.state",".9797501",".9173985"
"14.state",".3325399","8.29e-07"
"15.state",".6343616",".0657109"
"16.state","1","."
"1.time","1","."
"2.time",".9769147",".8588901"
"3.time",".8911591",".6064741"
"4.time",".8464463",".6149037"
"5.time",".836038",".6895557"
"6.time",".7906884",".6729011"
"7.time",".6541903",".531224"
"8.time",".7271552",".6832646"
"9.time",".6921464",".6734049"
"10.time",".6303502",".6450537"
"11.time",".618539",".6669192"
"12.time",".6928569",".7657978"
"13.time",".7101063",".7975593"
"N","654",""
