"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_1lag",".9993531",".5629833"
"sp48_24_pp_1lag","1","."
"sp48_25_pp_1lag","1.001053",".2997989"
"sp48_26_pp_1lag","1.002276",".2521338"
"sp48_27_pp_1lag",".9983735",".2764873"
"sp48_28_pp_1lag","1.001647",".2720872"
"sp48_4_pp_1lag","1","."
"sp48_5_pp_1lag","1.001507",".3642373"
"sp48_6_pp_1lag","1.000032",".9623548"
"sp48_7_pp_1lag","1.001",".140183"
"sp48_8_pp_1lag",".9998238",".8580168"
"sp75_100_pp_1lag",".9995559",".8837314"
"sp75_1002_pp_1lag",".9999275",".841482"
"sp75_1003_pp_1lag",".9997525",".2127765"
"sp75_1003_2_pp_1lag",".9998605",".8424847"
"sp75_1311_pp_1lag",".9979941",".0088462"
"sp75_1315_pp_1lag","1","."
"sp75_1316_pp_1lag","1","."
"sp75_1318_pp_1lag","1","."
"sp75_1400_pp_1lag",".9984403",".1119831"
"sp75_1400_1_pp_1lag",".9975301",".5462959"
"sp75_1403_10_pp_1lag",".9995907",".1216944"
"sp75_1403_5_pp_1lag","1.000019",".928293"
"sp75_1403_6_pp_1lag","1.000202",".1252824"
"sp75_1403_7_pp_1lag","1.001661",".021216"
"sp75_1403_8_pp_1lag",".9997767",".0005594"
"sp75_1404_pp_1lag","1.00282",".4808275"
"sp75_1404_1_pp_1lag","1.004613",".3896859"
"sp75_1405_pp_1lag",".9996618",".4220538"
"sp75_1405_1_pp_1lag","1.00557",".0030368"
"sp75_153_pp_1lag","1","."
"sp75_156_pp_1lag",".9957995",".2778386"
"sp75_160_pp_1lag","1.001884",".5877082"
"sp75_1719_2_pp_1lag",".9972025",".0341585"
"sp75_1719_4_pp_1lag","1.000508",".0822876"
"sp75_1720_pp_1lag","1.000125",".852099"
"sp75_1725_pp_1lag","1.000094",".1562161"
"sp75_1906_pp_1lag","1.00057",".2910332"
"sp75_1916_pp_1lag",".9988521",".2577613"
"sp75_203_pp_1lag","1.000344",".1997859"
"sp75_204_pp_1lag","1.000679",".1130383"
"sp75_205_pp_1lag","1.004517",".3064039"
"sp75_207_pp_1lag","1.004663",".0219735"
"sp75_208_pp_1lag","1.000415",".2040435"
"sp75_209_pp_1lag",".9972869",".000532"
"sp75_212_pp_1lag","1.001115",".0752966"
"sp75_213_pp_1lag","1.00268",".0118235"
"sp75_215_pp_1lag","1.000442",".8685871"
"sp75_332_pp_1lag","1.004258",".1125685"
"sp75_334_pp_1lag",".9993492",".2124923"
"sp75_337_pp_1lag",".9994971",".1627656"
"sp75_340_pp_1lag",".99994",".6287473"
"sp75_343_pp_1lag","1.0017",".1172611"
"sp75_373_pp_1lag","1","."
"sp75_388_pp_1lag","1.000961",".6964641"
"sp75_389_pp_1lag","1.00076",".7095368"
"sp75_500_pp_1lag",".9970666",".0036715"
"sp75_500_1_pp_1lag","1","."
"sp75_501_pp_1lag","1.001461",".5428023"
"sp75_501_2_pp_1lag",".9914286",".0836293"
"sp75_502_pp_1lag","1.008348",".3519197"
"sp75_503_pp_1lag","1.000039",".5328709"
"sp75_505_pp_1lag",".9957136",".208747"
"sp75_506_1_pp_1lag","1.002515",".0046989"
"sp75_507_pp_1lag",".9995609",".6493089"
"sp75_507_1_pp_1lag",".999601",".4322547"
"sp75_508_1_pp_1lag",".9915787","5.54e-06"
"sp75_509_pp_1lag","1.000305",".8612357"
"sp75_510_pp_1lag",".9969847",".5693112"
"sp75_512_1_pp_1lag",".9956271",".3302098"
"sp75_523_pp_1lag",".9992686",".3247254"
"sp75_523_3_pp_1lag",".9995903",".0008713"
"sp75_524_pp_1lag",".9982847",".5130489"
"sp75_602_pp_1lag","1.000635",".3238355"
"sp75_603_pp_1lag","1.000856",".6899025"
"sp75_604_pp_1lag","1.000188",".0329266"
"sp75_605_pp_1lag","1.000066",".8373986"
"sp75_606_pp_1lag",".9998811",".4949107"
"sp75_607_pp_1lag",".9998784",".8825638"
"sp75_703_3_pp_1lag","1.005002",".0042793"
"sp75_703_4_pp_1lag","1","."
"sp75_807_pp_1lag",".9998209",".2939601"
"sp75_810_pp_1lag","1.001947",".0008825"
"sp75_811_pp_1lag","1.001778",".0182186"
"sp75_812_pp_1lag",".998813",".6801667"
"sp75_816_pp_1lag",".9998126",".6658515"
"sp75_817_pp_1lag",".9995125",".7738938"
"sp75_906_pp_1lag","1","."
"mine_time",".962445",".809766"
"onsite_insp_hours",".9998196",".0018033"
"4.state","1.186997",".1764894"
"5.state",".763218",".0280513"
"6.state",".8237559",".1558144"
"9.state",".679939",".001267"
"10.state","1.119695",".4345283"
"12.state","1.098362",".603896"
"14.state",".3326413","6.18e-06"
"15.state",".5750817",".0003898"
"16.state","1","."
"5.time","1","."
"6.time",".9123206",".59032"
"7.time",".776099",".4388222"
"8.time",".8796241",".7928905"
"9.time",".9199766",".8932048"
"10.time",".8444177",".8308662"
"11.time",".7725864",".7894793"
"12.time",".9269614",".9454298"
"13.time",".9208043",".948345"
"N","414",""
