"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp_c_4lag",".996335",".1024881"
"p48_pp_c_4lag","1.000728",".5561188"
"p71_pp_c_4lag","1.003691",".2571271"
"p72_pp_c_4lag","1.001216",".6380388"
"p75_pp_c_4lag","1.000048",".0042432"
"p77_pp_c_4lag",".9995192",".2875107"
"mine_time",".8886102",".1022149"
"onsite_insp_hours","1.000568",".2771915"
"1.state","3.236604",".0171099"
"3.state",".9561106",".9237215"
"4.state","1.651637",".217427"
"5.state","1.835168",".0572065"
"6.state","1.106995",".7268139"
"9.state","1.499461",".216253"
"10.state","2.894708",".0016956"
"12.state","2.988054",".1119846"
"14.state",".5190772",".2022672"
"15.state",".2125468",".0009023"
"16.state","1","."
"17.time","1.448928",".4267442"
"18.time","1","."
"19.time","1.210296",".6777897"
"20.time","2.964671",".0347259"
"21.time","1.468025",".4811879"
"22.time",".8814542",".8054425"
"23.time","1.575928",".4565767"
"24.time",".6805504",".547626"
"25.time","1.199142",".7845798"
"26.time",".9287713",".9098311"
"27.time","3.407593",".1424548"
"28.time","1.300248",".7517166"
"29.time","1.302739",".765219"
"30.time","1.515737",".6623983"
"31.time","3.010223",".265431"
"32.time","2.676936",".3571746"
"33.time","1.801494",".6220293"
"34.time","9.850906",".0513574"
"35.time","5.907312",".1410766"
"36.time","1.896545",".6279114"
"37.time","11.33845",".0914787"
"38.time","8.983827",".1287336"
"39.time","6.78113",".208825"
"40.time","6.893593",".2104117"
"41.time","11.19913",".1295855"
"42.time","9.101519",".1574451"
"43.time","6.307415",".2830206"
"44.time","16.92024",".1263827"
"45.time","18.0869",".0921326"
"46.time","12.83186",".17837"
"47.time","27.49212",".0871756"
"48.time","18.20625",".1557453"
"49.time","14.85336",".1957009"
"50.time","16.88251",".2238239"
"51.time","34.77818",".1183735"
"52.time","8.356815",".3732218"
"53.time","48.12024",".1030818"
"N","1581",""
