"","est1",""
"","b","p"
"dv_indicator","",""
"p47",".5292313",".0627827"
"p48",".9645027",".7120697"
"p71","1.405271",".2094169"
"p72",".8355581",".3199799"
"p75","1.005423",".0778187"
"p77",".9909107",".8178579"
"mine_time",".9640353",".5318887"
"onsite_insp_hours","1.000781",".1245596"
"1.state","2.826117",".0026194"
"3.state",".6410586",".2217265"
"4.state","1.599827",".1264441"
"5.state","1.667295",".1152396"
"6.state","1.04374",".8632767"
"9.state","1.458664",".0614048"
"10.state","2.485635",".0000664"
"12.state","1.932786",".2244907"
"14.state",".4247397",".0608215"
"15.state",".2309384",".0001792"
"16.state","1","."
"1.time","1","."
"2.time","1.550424",".3998289"
"3.time","1.908356",".1811426"
"4.time","1.731082",".2625389"
"5.time","1.160772",".7519234"
"6.time","3.763776",".0382171"
"7.time","1.438854",".4734736"
"8.time",".4935728",".2623519"
"9.time","1.418377",".6190482"
"10.time",".9591597",".9585877"
"11.time","1.919954",".4124519"
"12.time","1.063771",".9400949"
"13.time","2.752098",".251732"
"14.time",".8866937",".8869571"
"15.time","1.884552",".5181934"
"16.time","1.542236",".6823203"
"17.time","1.711046",".6309219"
"18.time","1.131631",".9195682"
"19.time","1.440311",".7306245"
"20.time","3.148917",".3486559"
"21.time","1.832796",".63452"
"22.time",".9206752",".9522779"
"23.time","1.611366",".7318635"
"24.time",".697341",".8049636"
"25.time","1.153334",".9235857"
"26.time",".8341663",".9097501"
"27.time","2.600454",".5623531"
"28.time",".969951",".9853933"
"29.time",".8926841",".9494858"
"30.time",".9110677",".9594323"
"31.time","1.604049",".7978959"
"32.time","1.415713",".8557392"
"33.time",".882771",".9489565"
"34.time","4.390018",".4520643"
"35.time","2.324586",".672996"
"36.time",".7387235",".8873024"
"37.time","3.641742",".5647511"
"38.time","2.907655",".628314"
"39.time","1.913535",".7824497"
"40.time","1.719975",".814786"
"41.time","2.398327",".7119076"
"42.time","2.178587",".7377952"
"43.time","1.209644",".9390558"
"44.time","3.074309",".6640179"
"45.time","2.907787",".6770768"
"46.time","1.986006",".795087"
"47.time","3.733039",".6266151"
"48.time","2.48386",".7439683"
"49.time","1.884547",".8232529"
"50.time","1.98054",".8173463"
"51.time","3.488822",".6749806"
"52.time",".8598512",".9601573"
"53.time","4.156545",".6366961"
"N","2445",""
