"","est1",""
"","b","p"
"dv","",""
"p47_pp_c_lag_all",".999568",".5791397"
"p48_pp_c_lag_all","1.000236",".1848768"
"p71_pp_c_lag_all",".9997845",".7324639"
"p72_pp_c_lag_all",".9986354",".0994806"
"p75_pp_c_lag_all","1.000003",".056235"
"p77_pp_c_lag_all",".9999811",".7385422"
"mine_time",".9378852",".0522708"
"onsite_insp_hours",".9998011",".2807054"
"1.state","1.441333",".05128"
"3.state",".9413468",".8188589"
"4.state","1.58742",".0151283"
"5.state",".8774469",".4913159"
"6.state","1.249137",".1800924"
"9.state","1.339634",".2462047"
"10.state","1.284417",".1480391"
"12.state",".8989055",".6231856"
"14.state","1.154757",".471063"
"15.state",".4388445",".0000857"
"16.state","1","."
"17.time","1.013759",".9396579"
"18.time","1","."
"19.time",".9791733",".9059837"
"20.time","1.147821",".3920869"
"21.time",".9411432",".7516634"
"22.time","1.059194",".7589759"
"23.time","1.199232",".3989415"
"24.time","1.066633",".8102326"
"25.time","1.382457",".2502824"
"26.time","1.018343",".9488095"
"27.time","1.4701",".228443"
"28.time","1.229993",".5750992"
"29.time","1.313396",".5256219"
"30.time","1.338587",".4844991"
"31.time","1.509603",".3569642"
"32.time","1.542387",".3675424"
"33.time","1.432436",".4854558"
"34.time","1.974146",".1768463"
"35.time","1.896267",".2277196"
"36.time","1.783653",".3091172"
"37.time","2.434827",".1196215"
"38.time","2.354085",".1434574"
"39.time","2.204521",".2072958"
"40.time","2.818109",".1097199"
"41.time","2.918418",".1244773"
"42.time","2.645328",".1812085"
"43.time","4.077989",".0565223"
"44.time","3.264304",".1359757"
"45.time","3.9733",".0977568"
"46.time","4.074975",".1009817"
"47.time","4.504198",".0968705"
"48.time","3.978826",".1504102"
"49.time","4.296582",".1341692"
"50.time","4.413336",".1493256"
"51.time","6.311463",".0788156"
"52.time","3.578252",".2397095"
"53.time","6.049454",".1043469"
"N","1448",""
