"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_pp_1lag",".9869986",".0017616"
"sp47_42_pp_1lag",".9896411",".2370038"
"sp47_44_pp_1lag","1.000743",".9593272"
"sp48_11_pp_1lag","1.00913",".2957614"
"sp48_24_pp_1lag","1","."
"sp48_25_pp_1lag","1.00253",".6745643"
"sp48_26_pp_1lag",".9805879",".1272287"
"sp48_27_pp_1lag",".9960678",".6913395"
"sp48_28_pp_1lag","1.057756",".0003062"
"sp48_4_pp_1lag","1","."
"sp48_5_pp_1lag",".9757424",".0727649"
"sp48_6_pp_1lag",".9920678",".077357"
"sp48_7_pp_1lag",".9984845",".8320937"
"sp48_8_pp_1lag","1.015632",".4976106"
"sp71_701_pp_1lag","1","."
"sp72_503_pp_1lag",".9941355",".2618827"
"sp72_610_pp_1lag","1","."
"sp72_620_pp_1lag",".9901034",".7009008"
"sp72_630_pp_1lag","1.000074",".9315216"
"sp75_100_pp_1lag",".9987807",".916848"
"sp75_1001_1_pp_1lag",".997838",".9047896"
"sp75_1001_pp_1lag","1","."
"sp75_1003_1_pp_1lag","1","."
"sp75_1100_2_pp_1lag",".9993385",".6066857"
"sp75_1101_20_pp_1lag","1","."
"sp75_1102_pp_1lag",".9924042",".2208439"
"sp75_1103_4_pp_1lag","1.002298",".328508"
"sp75_1104_pp_1lag",".9963231",".2242074"
"sp75_1106_2_pp_1lag","1.001568",".7645843"
"sp75_1106_3_pp_1lag","1.002109",".2922868"
"sp75_1106_4_pp_1lag",".9575002","3.20e-06"
"sp75_1106_5_pp_1lag",".9848138",".0259012"
"sp75_1106_6_pp_1lag","1","."
"sp75_1106_pp_1lag","1.010538",".6518651"
"sp75_1107_14_pp_1lag","1","."
"sp75_1400_1_pp_1lag","1","."
"sp75_1400_2_pp_1lag",".9894138",".5542862"
"sp75_1400_3_pp_1lag","1.004562",".4316994"
"sp75_1400_4_pp_1lag","1.001864",".8723332"
"sp75_1400_pp_1lag",".9903607",".1997631"
"sp75_1401_1_pp_1lag","1","."
"sp75_1401_pp_1lag","1","."
"sp75_1403_10_pp_1lag","1.001835",".6442821"
"sp75_1403_11_pp_1lag","1","."
"sp75_1403_3_pp_1lag","1","."
"sp75_1403_4_pp_1lag","1","."
"sp75_1403_5_pp_1lag","1.001015",".7257556"
"sp75_1403_6_pp_1lag",".9984085",".1971031"
"sp75_1403_7_pp_1lag","1.008979",".3945286"
"sp75_1403_8_pp_1lag",".9970199",".0031007"
"sp75_1403_9_pp_1lag","1.010432",".2695674"
"sp75_1404_1_pp_1lag","1","."
"sp75_1404_pp_1lag",".9521048",".0000505"
"sp75_1405_1_pp_1lag","1","."
"sp75_1405_pp_1lag","1.000151",".9218496"
"sp75_1431_pp_1lag","1","."
"sp75_1432_pp_1lag",".9989665",".9520094"
"sp75_1433_pp_1lag","1.015899",".1176275"
"sp75_1434_pp_1lag","1.004237",".8164284"
"sp75_1435_pp_1lag","1","."
"sp75_1437_pp_1lag","1","."
"sp75_150_pp_1lag","1","."
"sp75_151_pp_1lag","1","."
"sp75_153_pp_1lag","1","."
"sp75_156_pp_1lag","1","."
"sp75_160_pp_1lag","1","."
"sp75_1600_2_pp_1lag",".9947167",".0571964"
"sp75_1712_10_pp_1lag","1.0144",".180907"
"sp75_1712_6_pp_1lag","1.000378",".9542029"
"sp75_1720_pp_1lag",".995175",".305005"
"sp75_1721_pp_1lag","1","."
"sp75_1725_pp_1lag","1.001085",".103938"
"sp75_1726_pp_1lag",".9985005",".8705102"
"sp75_1727_pp_1lag","1","."
"sp75_1728_pp_1lag","1","."
"sp75_1729_pp_1lag","1.010244",".0969988"
"sp75_1730_pp_1lag","1.000637",".9354873"
"sp75_1731_pp_1lag","1.000545",".1652932"
"sp75_1903_pp_1lag","1.006365",".2104954"
"sp75_1909_pp_1lag","1.001186",".2014482"
"sp75_1910_pp_1lag",".9996531",".7959138"
"sp75_1911_pp_1lag",".9997616",".8662452"
"sp75_1912_pp_1lag","1.000575",".9211434"
"sp75_1913_pp_1lag",".9921814",".5053305"
"sp75_1914_pp_1lag",".9993515",".3675316"
"sp75_1915_pp_1lag","1.016375",".1623848"
"sp75_202_pp_1lag",".9999707",".9351703"
"sp75_208_pp_1lag","1.001629",".5288932"
"sp75_211_pp_1lag","1.001941",".4608281"
"sp75_212_pp_1lag",".9948281",".1345795"
"sp75_214_pp_1lag","1.003097",".4386401"
"sp75_312_pp_1lag","1.002805",".6089712"
"sp75_320_pp_1lag","1.001533",".4783427"
"sp75_324_pp_1lag","1.000626",".927867"
"sp75_337_pp_1lag",".9951944",".1127453"
"sp75_340_pp_1lag",".998054",".162411"
"sp75_341_pp_1lag",".9709763",".2245552"
"sp75_342_pp_1lag","1.002146",".1481471"
"sp75_344_pp_1lag","1.000772",".9061087"
"sp75_352_pp_1lag",".9953685",".2450961"
"sp75_382_pp_1lag","1.00815",".1846598"
"sp75_503_pp_1lag",".9994815",".2555896"
"sp75_504_pp_1lag","1.007338",".2822168"
"sp75_505_pp_1lag",".9688392",".0811008"
"sp75_506_1_pp_1lag","1.00544",".3762912"
"sp75_506_pp_1lag",".9895488",".3061437"
"sp75_507_pp_1lag","1.009473",".211688"
"sp75_511_1_pp_1lag","1","."
"sp75_511_pp_1lag",".9930349",".2602537"
"sp75_512_1_pp_1lag","1","."
"sp75_512_2_pp_1lag","1.002269",".2934732"
"sp75_512_pp_1lag","1.000662",".338088"
"sp75_513_1_pp_1lag",".9909353",".5310462"
"sp75_513_pp_1lag","1.012441",".0347059"
"sp75_514_pp_1lag",".9954649",".030795"
"sp75_515_pp_1lag",".9995124",".6278608"
"sp75_516_1_pp_1lag",".9914435",".7929103"
"sp75_516_2_pp_1lag",".9968055",".3589264"
"sp75_516_pp_1lag","1.002707",".1378012"
"sp75_517_1_pp_1lag","1.025595",".3117594"
"sp75_517_pp_1lag",".9994891",".2305518"
"sp75_518_1_pp_1lag","1.003428",".1103084"
"sp75_518_pp_1lag",".999706",".85685"
"sp75_519_pp_1lag","1","."
"sp75_520_pp_1lag","1.006242",".1444694"
"sp75_523_1_pp_1lag",".9876363",".0780669"
"sp75_523_2_pp_1lag",".9903176",".0740813"
"sp75_523_pp_1lag",".9803284",".0327296"
"sp75_600_1_pp_1lag",".9567001",".0876346"
"sp75_600_pp_1lag","1","."
"sp75_601_1_pp_1lag","1.000043",".9785253"
"sp75_601_2_pp_1lag","1","."
"sp75_601_3_pp_1lag","1.016959",".3224026"
"sp75_601_pp_1lag",".9977662",".3373967"
"sp75_602_pp_1lag","1.000936",".8713664"
"sp75_603_pp_1lag",".9864706",".400008"
"sp75_604_pp_1lag","1.001807",".0107771"
"sp75_605_pp_1lag",".9977775",".3799202"
"sp75_606_pp_1lag","1.00186",".2579726"
"sp75_607_pp_1lag","1.032507",".0008353"
"sp75_700_1_pp_1lag","1.015758",".6792979"
"sp75_700_pp_1lag","1.006373",".4765645"
"sp75_701_1_pp_1lag",".982884",".0994765"
"sp75_701_2_pp_1lag",".968663",".0205348"
"sp75_701_3_pp_1lag","1.012822",".3498781"
"sp75_701_4_pp_1lag",".994545",".7542441"
"sp75_701_5_pp_1lag",".9964926",".6013572"
"sp75_701_pp_1lag","1.005852",".0145911"
"sp75_702_1_pp_1lag","1","."
"sp75_702_pp_1lag","1","."
"sp75_703_1_pp_1lag","1.00224",".9238104"
"sp75_703_2_pp_1lag","1","."
"sp75_703_3_pp_1lag","1.015267",".1342165"
