"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_ss",".1630543",".2968164"
"sp47_44_ss","1","."
"sp48_11_ss",".9982828",".9976028"
"sp48_25_ss",".8188008",".717529"
"sp48_26_ss","1.848656",".5705172"
"sp48_27_ss","1.229957",".7762665"
"sp48_28_ss",".8703922",".8773818"
"sp48_4_ss","1","."
"sp48_5_ss","1.762988",".4307451"
"sp48_6_ss",".5445224",".4441652"
"sp48_7_ss",".8887083",".7257652"
"sp48_8_ss",".4951552",".5325667"
"sp71_701_ss","1","."
"sp72_503_ss",".7696348",".6647792"
"sp72_610_ss","1","."
"sp72_620_ss","1","."
"sp72_630_ss","1.09462",".3581627"
"sp75_100_ss","1","."
"sp75_1001_1_ss","1","."
"sp75_1001_ss","1","."
"sp75_1003_1_ss","1","."
"sp75_1100_2_ss","1.277877",".1523724"
"sp75_1101_20_ss","1","."
"sp75_1102_ss","2.705029",".0381082"
"sp75_1103_4_ss",".5699237",".0500945"
"sp75_1104_ss",".0865002",".0006179"
"sp75_1106_2_ss","2.326082",".116838"
"sp75_1106_3_ss",".8037483",".250438"
"sp75_1106_4_ss","1","."
"sp75_1106_5_ss",".9591279",".9296307"
"sp75_1106_6_ss","1","."
"sp75_1106_ss","2.380849",".4048648"
"sp75_1107_14_ss","1","."
"sp75_1400_1_ss",".3328419",".4401018"
"sp75_1400_2_ss","1","."
"sp75_1400_3_ss",".3118496",".0217514"
"sp75_1400_4_ss","1","."
"sp75_1400_ss","1.482129",".639122"
"sp75_1401_ss",".3568924",".3489592"
"sp75_1403_10_ss","1.039138",".8847838"
"sp75_1403_11_ss","1","."
"sp75_1403_3_ss","1","."
"sp75_1403_4_ss","1","."
"sp75_1403_5_ss",".9078897",".253701"
"sp75_1403_6_ss","1.137183",".2884335"
"sp75_1403_7_ss","1.080387",".8254097"
"sp75_1403_8_ss","1.069863",".640941"
"sp75_1403_9_ss","1","."
"sp75_1404_1_ss","1","."
"sp75_1404_ss","1","."
"sp75_1405_1_ss","1","."
"sp75_1405_ss",".8202529",".0486247"
"sp75_1431_ss","1","."
"sp75_1432_ss","1","."
"sp75_1433_ss",".3402102",".2535167"
"sp75_1434_ss",".5941897",".690924"
"sp75_1435_ss","1","."
"sp75_1437_ss","1","."
"sp75_150_ss","1","."
"sp75_151_ss","1","."
"sp75_153_ss","1","."
"sp75_155_ss","1","."
"sp75_156_ss","1","."
"sp75_1600_2_ss",".8436933",".8824048"
"sp75_1712_10_ss",".0827048",".0031608"
"sp75_1712_6_ss","1","."
"sp75_1720_ss",".4726112",".0083484"
"sp75_1721_ss","1","."
"sp75_1725_ss",".981016",".6467501"
"sp75_1726_ss",".4386497",".2469706"
"sp75_1727_ss","1","."
"sp75_1728_ss","1","."
"sp75_1729_ss",".1395985",".0375003"
"sp75_1730_ss",".7130492",".6962504"
"sp75_1731_ss","1.001439",".9732577"
"sp75_1903_ss","1","."
"sp75_1909_ss","1.161421",".2865814"
"sp75_1910_ss",".791698",".1422081"
"sp75_1911_ss",".9390284",".8258062"
"sp75_1912_ss","1","."
"sp75_1913_ss","1","."
"sp75_1914_ss",".9708008",".744255"
"sp75_1915_ss","1.342221",".7396498"
"sp75_202_ss",".9609326",".0338491"
"sp75_208_ss",".8877757",".4748805"
"sp75_211_ss","1.054617",".6990874"
"sp75_212_ss",".9429953",".8550414"
"sp75_214_ss","1","."
"sp75_312_ss","1","."
"sp75_320_ss",".6938456",".4898508"
"sp75_324_ss",".3840914",".0581875"
"sp75_337_ss","1.727702",".2436628"
"sp75_340_ss","1.1698",".4587356"
"sp75_342_ss","1.218227",".0339408"
"sp75_344_ss","1","."
"sp75_352_ss",".997862",".9923383"
"sp75_382_ss",".9267836",".8785517"
"sp75_503_ss","1.09865",".1073282"
"sp75_504_ss",".2486519",".2171552"
"sp75_505_ss",".172236",".4891512"
"sp75_506_1_ss","1","."
"sp75_506_ss",".6061479",".6001312"
"sp75_507_ss",".4774053",".2470976"
"sp75_511_1_ss","1","."
"sp75_511_ss","1.636851",".4899352"
"sp75_512_1_ss","1","."
"sp75_512_2_ss","1.099419",".8059285"
"sp75_512_ss",".9392201",".3155189"
"sp75_513_1_ss","1","."
"sp75_513_ss","1.631607",".4138821"
"sp75_514_ss",".737125",".3485591"
"sp75_515_ss",".8975485",".5536858"
"sp75_516_1_ss","1","."
"sp75_516_2_ss","1","."
"sp75_516_ss","1.071673",".820006"
"sp75_517_1_ss","1","."
"sp75_517_ss",".9780581",".4700154"
"sp75_518_1_ss",".9891605",".9809416"
"sp75_518_ss",".8858349",".5070116"
"sp75_519_ss","1","."
"sp75_520_ss","1.336201",".4346122"
"sp75_523_1_ss","1.451175",".3957358"
"sp75_523_2_ss","1.195682",".6469226"
"sp75_523_ss","1.419631",".2425761"
"sp75_600_1_ss","1","."
"sp75_600_ss","1","."
"sp75_601_1_ss",".7609519",".1789899"
"sp75_601_2_ss","1","."
"sp75_601_3_ss",".8919158",".9312543"
"sp75_601_ss",".9044109",".6888005"
"sp75_602_ss","1.133608",".9003037"
"sp75_603_ss",".1922065",".2129755"
"sp75_604_ss","1.070044",".226941"
"sp75_605_ss",".4731685",".0001466"
"sp75_606_ss",".8276433",".1892919"
"sp75_607_ss",".364856",".1066857"
"sp75_700_1_ss","1","."
"sp75_700_ss",".5400351",".2315964"
"sp75_701_1_ss","1.25514",".5523855"
"sp75_701_2_ss","1.485358",".7134692"
"sp75_701_3_ss","1.098963",".9071774"
"sp75_701_4_ss","1","."
"sp75_701_5_ss","1.38271",".8156529"
"sp75_701_ss","1.066641",".7461325"
"sp75_703_2_ss","1","."
"sp75_703_3_ss","1.061671",".9732314"
"sp75_703_ss","1.138302",".7203873"
"sp75_704_ss","1","."
"sp75_705_1_ss","1.781194",".5936374"
"sp75_705_8_ss","1","."
"sp75_705_ss","1","."
"sp75_706_ss","2.427292",".2473104"
"sp75_800_2_ss","1","."
"sp75_800_3_ss","1.457597",".7673011"
"sp75_800_4_ss","1","."
"sp75_800_ss","1.653164",".6439408"
"sp75_801_ss","1","."
"sp75_802_ss",".5818051",".6550841"
"sp75_803_2_ss","1","."
"sp75_803_ss","1.55577",".4800739"
"sp75_804_ss",".6769075",".6498969"
"sp75_805_ss","1","."
"sp75_806_ss","1","."
"sp75_807_ss",".9563098",".7903929"
"sp75_808_ss","1.207977",".8640451"
"sp75_809_ss","1.110906",".8260791"
"sp75_810_ss",".9067002",".9492498"
"sp75_811_ss","3.960694",".2034837"
"sp75_812_ss","1","."
"sp75_814_ss","1","."
"sp75_815_ss","1","."
"sp75_816_ss","1.186226",".771385"
"sp75_818_ss","1","."
"sp75_819_ss","1","."
"sp75_820_ss","1","."
"sp75_821_ss","3.662493",".1154625"
"sp75_825_ss","1","."
"sp75_827_ss","1","."
"sp75_831_ss","1","."
"sp75_900_2_ss","1","."
"sp75_900_3_ss","27.69919",".0039481"
"sp75_900_4_ss","1","."
"sp75_900_ss",".8689303",".6593485"
"sp75_901_ss",".1332646",".0636913"
"sp75_902_1_ss","1","."
"sp75_902_2_ss","1.09105",".8596184"
"sp75_902_4_ss",".4077912",".3774605"
"sp75_902_ss","1.529801",".3799625"
"sp75_903_ss",".8275601",".6773914"
"sp75_904_ss",".9323191",".4783252"
"sp75_905_ss","1","."
"sp75_907_ss",".2950868",".2686232"
"sp77_103_ss","1","."
"sp77_1103_ss",".7518889",".5092838"
"sp77_1104_ss",".8873206",".2274071"
"sp77_1106_ss","1","."
