"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_c_lag_all",".9085762",".6510435"
"sp48_11_c_lag_all","1.351868",".3825352"
"sp71_701_c_lag_all","1","."
"sp75_1001_1_c_lag_all","3.054461",".2936898"
"sp75_1001_c_lag_all",".0083023",".0027012"
"sp75_1003_1_c_lag_all","1.146594",".8269596"
"sp75_1400_1_c_lag_all",".1768666",".516836"
"sp75_1401_1_c_lag_all",".1441516",".2863387"
"sp75_1401_c_lag_all",".8204692",".842575"
"sp75_1403_11_c_lag_all","1.655741",".8375103"
"sp75_1404_1_c_lag_all","4.042795",".7048274"
"sp75_1405_1_c_lag_all","5.26e+16",".0021669"
"sp75_1431_c_lag_all","1","."
"sp75_151_c_lag_all",".0836075",".0680154"
"sp75_1721_c_lag_all","1","."
"sp75_1731_c_lag_all","1.02845",".0618625"
"sp75_1911_c_lag_all","1.007366",".92081"
"sp75_211_c_lag_all",".8626529",".1721554"
"sp75_341_c_lag_all",".3746166",".5184866"
"sp75_506_1_c_lag_all",".7393162",".6212219"
"sp75_510_1_c_lag_all",".1286363",".6073948"
"sp75_511_1_c_lag_all","1.79e-11","."
"sp75_511_c_lag_all",".7950052",".3962024"
"sp75_512_1_c_lag_all","89.08172",".0816185"
"sp75_513_1_c_lag_all","1.53948",".5655328"
"sp75_516_1_c_lag_all",".8743236",".8732039"
"sp75_517_1_c_lag_all","4.450072",".3043234"
"sp75_518_1_c_lag_all","1.090601",".67502"
"sp75_523_1_c_lag_all","1.35811",".1530399"
"sp75_600_1_c_lag_all","1.029039",".956227"
"sp75_601_1_c_lag_all",".9326086",".4690096"
"sp75_601_c_lag_all","1.192298",".1209842"
"sp75_700_1_c_lag_all","2.295686",".42068"
"sp75_701_1_c_lag_all","1.2529",".217439"
"sp75_701_c_lag_all","1.004953",".9486658"
"sp75_702_1_c_lag_all",".006597",".0436201"
"sp75_703_1_c_lag_all","4.771262",".1181474"
"sp75_705_1_c_lag_all","1.251319",".8027943"
"sp75_801_c_lag_all","4.314104",".1534196"
"sp75_821_c_lag_all",".6946781",".3907186"
"sp75_831_c_lag_all","1.427246",".6788955"
"sp75_901_c_lag_all","1.786991",".2811502"
"sp75_902_1_c_lag_all","325.8468",".0003096"
"sp77_1111_c_lag_all","4.404693",".2306602"
"sp77_401_c_lag_all",".5688237",".2264453"
"sp77_403_1_c_lag_all","2.683927",".034296"
"sp77_411_c_lag_all","1","."
"sp77_501_c_lag_all",".5576607",".4953383"
"sp77_502_1_c_lag_all","1","."
"sp77_503_1_c_lag_all","2496.654",".0416128"
"sp77_506_1_c_lag_all","1.099906",".6603658"
"sp77_508_1_c_lag_all",".9599532",".9744265"
"sp77_511_c_lag_all","2.143723",".2118945"
"sp77_601_c_lag_all",".4414942",".6762726"
"sp77_606_1_c_lag_all","13.54873",".1653862"
"sp77_700_1_c_lag_all",".0567771",".0414381"
"sp77_701_1_c_lag_all",".1836105",".0139737"
"sp77_701_c_lag_all",".8979258",".687904"
"sp75_811_c_lag_all","1.323191",".2756195"
"sp77_704_1_c_lag_all","1","."
"sp77_800_1_c_lag_all","1.85606",".5036205"
"sp77_801_1_c_lag_all","1","."
"sp77_801_c_lag_all","1","."
"sp77_807_1_c_lag_all","4611.431",".0220264"
"sp77_900_1_c_lag_all",".4612207",".5041898"
"sp77_901_1_c_lag_all",".003965",".0188635"
"sp77_901_c_lag_all","1.035246",".9721224"
"sp47_42_c_lag_all","3.264616",".0688578"
"sp75_1100_2_c_lag_all","1.077525",".1046523"
"sp75_1102_c_lag_all","1.410666",".3024647"
"sp75_1106_2_c_lag_all","1.101431",".6172387"
"sp75_1400_2_c_lag_all","1.786568",".6443245"
"sp75_1402_2_c_lag_all","1.96e-07",".4106909"
"sp75_1432_c_lag_all","1.513415",".4745321"
"sp75_1600_2_c_lag_all",".9807429",".8363844"
"sp75_1912_c_lag_all","1.795384",".1514132"
"sp75_202_c_lag_all","1.00691",".4633704"
"sp75_212_c_lag_all",".8730114",".3872306"
"sp75_312_c_lag_all",".4680046",".0009699"
"sp75_342_c_lag_all",".9639933",".2943421"
"sp75_352_c_lag_all","1.013143",".9497931"
"sp75_382_c_lag_all",".7244263",".1135175"
"sp75_512_2_c_lag_all","1.007021",".9381053"
"sp75_512_c_lag_all",".9797299",".3320193"
"sp75_516_2_c_lag_all","1.287818",".1517332"
"sp75_523_2_c_lag_all","1.261614",".2157275"
"sp75_601_2_c_lag_all","1","."
"sp75_602_c_lag_all","2.153095",".0223994"
"sp75_701_2_c_lag_all",".7592046",".6911432"
"sp75_702_c_lag_all","1","."
"sp75_703_2_c_lag_all","3.403219",".7273637"
"sp75_705_2_c_lag_all","1","."
"sp75_800_2_c_lag_all",".1584303",".6423209"
"sp75_802_c_lag_all",".8443895",".8506035"
"sp75_803_2_c_lag_all","1","."
"sp75_812_c_lag_all",".0223135",".0168369"
"sp75_832_c_lag_all","43.4112",".0081726"
"sp75_900_2_c_lag_all",".4958602",".4757194"
"sp75_902_2_c_lag_all","1.228197",".3882323"
"sp75_902_c_lag_all",".7821809",".2968592"
"sp77_1112_c_lag_all","2.700705",".0801275"
"sp77_1432_c_lag_all",".0416583",".0029576"
"sp77_1802_c_lag_all",".348116",".4574924"
"sp77_202_c_lag_all",".8811051",".1393946"
"sp77_402_c_lag_all",".9520838",".727091"
"sp77_403_2_c_lag_all",".0000142",".1828891"
"sp77_412_c_lag_all","2.084691",".0288515"
"sp77_502_2_c_lag_all",".6270107",".0108817"
"sp77_502_c_lag_all","1.043732",".4765438"
"sp77_512_c_lag_all","1.282226",".0815908"
"sp77_602_c_lag_all","1.524516",".7887842"
"sp77_701_2_c_lag_all","5073472",".00175"
"sp77_702_c_lag_all","1","."
"sp77_800_2_c_lag_all",".2285182",".1936621"
"sp77_802_c_lag_all","811223.7",".0008664"
"sp77_807_2_c_lag_all","8.540335",".3298839"
"sp77_900_2_c_lag_all","2.642641",".2259978"
"sp77_902_2_c_lag_all","1","."
"sp77_902_c_lag_all",".6393666",".4811733"
"sp47_43_c_lag_all","5.437078",".440982"
"sp72_503_c_lag_all",".9838437",".9540936"
"sp75_1106_3_c_lag_all",".9781494",".769391"
"sp75_1400_3_c_lag_all",".4196704",".0153821"
"sp75_1403_3_c_lag_all",".039786",".4087689"
"sp75_1433_c_lag_all","1.183803",".7039279"
"sp75_153_c_lag_all","3.87e-25",".0030983"
"sp75_1903_c_lag_all",".7213356",".0528685"
"sp75_1913_c_lag_all",".3036267",".0031042"
"sp75_503_c_lag_all","1.030451",".0772641"
"sp75_513_c_lag_all","1.138656",".6797952"
"sp75_523_c_lag_all",".9892538",".9582042"
"sp75_601_3_c_lag_all","1.999341",".5936401"
"sp75_603_c_lag_all",".3142632",".142541"
"sp75_701_3_c_lag_all",".4966903",".0103013"
"sp75_703_3_c_lag_all",".4186073",".1047727"
"sp75_703_c_lag_all","1.073439",".7465139"
"sp75_705_3_c_lag_all","1","."
"sp75_800_3_c_lag_all",".4902453",".4290924"
"sp75_803_c_lag_all",".4118435",".0877892"
"sp75_900_3_c_lag_all",".4854588",".1421777"
"sp75_903_c_lag_all",".9751588",".902053"
"sp77_103_c_lag_all","1","."
"sp77_1103_c_lag_all","1.175761",".2143295"
"sp77_1403_c_lag_all","1.489846",".6257729"
"sp77_1433_c_lag_all",".9494245",".9314476"
"sp77_203_c_lag_all","1.232642",".8553763"
"sp77_403_c_lag_all",".2559688",".1649177"
"sp77_413_c_lag_all","1","."
