"","est1",""
"","b","p"
"dv","",""
"sp47_41_c_4lag",".8567067",".0001391"
"sp48_11_c_4lag","1.047688",".2755015"
"sp71_701_c_4lag","1","."
"sp75_1001_1_c_4lag","1.161928",".1604254"
"sp75_1001_c_4lag",".6037071",".0150877"
"sp75_1003_1_c_4lag",".5640491",".000023"
"sp75_1400_1_c_4lag","1.198974",".5577741"
"sp75_1401_1_c_4lag","1.248938",".4669177"
"sp75_1401_c_4lag",".7641828",".028637"
"sp75_1403_11_c_4lag","1.327707",".3972413"
"sp75_1404_1_c_4lag",".7381073",".3778183"
"sp75_1405_1_c_4lag",".8902936",".3175932"
"sp75_1431_c_4lag","1","."
"sp75_151_c_4lag",".8467864",".5760305"
"sp75_1721_c_4lag","1","."
"sp75_1731_c_4lag","1.007744",".0116417"
"sp75_1911_c_4lag",".9792723",".0416541"
"sp75_211_c_4lag","1.018875",".5030326"
"sp75_341_c_4lag",".3624404",".0015883"
"sp75_506_1_c_4lag",".9575038",".5961487"
"sp75_510_1_c_4lag",".3754942",".2621118"
"sp75_511_1_c_4lag",".2549125","4.19e-07"
"sp75_511_c_4lag","1.02262",".5828485"
"sp75_512_1_c_4lag",".323753",".0184208"
"sp75_513_1_c_4lag",".8918678",".5053544"
"sp75_516_1_c_4lag",".6711044",".0144811"
"sp75_517_1_c_4lag","1.229311",".0173777"
"sp75_518_1_c_4lag",".9971517",".9439173"
"sp75_523_1_c_4lag","1.063669",".1301014"
"sp75_600_1_c_4lag",".7928258",".0453922"
"sp75_601_1_c_4lag","1.0127",".4637859"
"sp75_601_c_4lag","1.010194",".523451"
"sp75_700_1_c_4lag",".7816213",".2623308"
"sp75_701_1_c_4lag",".9808675",".6910478"
"sp75_701_c_4lag","1.002283",".8740659"
"sp75_702_1_c_4lag",".4309117","1.03e-06"
"sp75_703_1_c_4lag",".9536625",".8154102"
"sp75_705_1_c_4lag",".9979019",".9885378"
"sp75_801_c_4lag","1.345516",".1913649"
"sp75_811_c_4lag","1.074296",".0557898"
"sp75_821_c_4lag","1.117754",".082955"
"sp75_831_c_4lag",".5706082",".0009486"
"sp75_901_c_4lag",".92987",".5142005"
"sp75_902_1_c_4lag",".7121907",".0314275"
"sp77_1111_c_4lag",".7876557",".0900708"
"sp77_401_c_4lag","1.04177",".5942956"
"sp77_403_1_c_4lag","1.435238",".0056411"
"sp77_411_c_4lag","1.08739",".8986442"
"sp77_501_c_4lag",".9795139",".8279634"
"sp77_502_1_c_4lag","2.057817",".0811086"
"sp77_503_1_c_4lag",".971804",".9327205"
"sp77_506_1_c_4lag",".9708669",".2022262"
"sp77_508_1_c_4lag",".5893978",".0091864"
"sp77_511_c_4lag",".8932793",".4890411"
"sp77_601_c_4lag",".9787762",".9292363"
"sp77_606_1_c_4lag",".7458849",".3475405"
"sp77_700_1_c_4lag","1.152001",".5255781"
"sp77_701_1_c_4lag",".6092202",".0710777"
"sp77_701_c_4lag","1.022166",".5331118"
"sp77_704_1_c_4lag","1","."
"sp77_800_1_c_4lag",".8948134",".5559184"
"sp77_801_1_c_4lag","1","."
"sp77_801_c_4lag","1","."
"sp77_807_1_c_4lag",".6732047",".4981167"
"sp77_900_1_c_4lag","1.050657",".7888962"
"sp77_901_1_c_4lag",".6448034",".1390327"
"sp77_901_c_4lag","1.098842",".516984"
"sp47_42_c_4lag","1.231959",".1187477"
"sp75_1100_2_c_4lag","1.018634",".0164322"
"sp75_1102_c_4lag","1.135414",".0386268"
"sp75_1106_2_c_4lag","1.094532",".0176662"
"sp75_1400_2_c_4lag","1.080972",".5642013"
"sp75_1402_2_c_4lag","1","."
"sp75_1432_c_4lag",".8980803",".4157514"
"sp75_1600_2_c_4lag",".9915328",".7404821"
"sp75_1912_c_4lag","1.095973",".0990326"
"sp75_202_c_4lag",".9955975",".1041607"
"sp75_212_c_4lag",".9733958",".4356564"
"sp75_312_c_4lag","1.0311",".517657"
"sp75_342_c_4lag","1.002487",".73916"
"sp75_352_c_4lag",".962955",".4025087"
"sp75_382_c_4lag",".9674775",".4385287"
"sp75_512_2_c_4lag","1.071792",".0005211"
"sp75_512_c_4lag",".994408",".2401609"
"sp75_516_2_c_4lag","1.033053",".2034827"
"sp75_523_2_c_4lag","1.008517",".8136857"
"sp75_601_2_c_4lag","1","."
"sp75_602_c_4lag","1.028343",".5535698"
"sp75_701_2_c_4lag","1.019243",".8441551"
"sp75_702_c_4lag","1","."
"sp75_703_2_c_4lag","1.632027",".0706233"
"sp75_705_2_c_4lag","1","."
"sp75_800_2_c_4lag","1","."
"sp75_802_c_4lag","1.006423",".9810681"
"sp75_803_2_c_4lag","1","."
"sp75_812_c_4lag","1.366133",".070553"
"sp75_832_c_4lag","2.673864","6.06e-06"
"sp75_900_2_c_4lag","1.243056",".235641"
"sp75_902_2_c_4lag","1.03238",".5534838"
"sp75_902_c_4lag","1.03619",".2529777"
"sp77_1112_c_4lag",".8825838",".1478132"
"sp77_1432_c_4lag","1.30009",".1720688"
"sp77_1802_c_4lag",".4525549",".0001776"
"sp77_202_c_4lag",".9588404",".0066749"
"sp77_402_c_4lag",".9871876",".6663877"
"sp77_403_2_c_4lag","1.031541",".9327445"
"sp77_412_c_4lag","1.020585",".8221415"
"sp77_502_2_c_4lag",".9681479",".4888894"
"sp77_502_c_4lag",".9901355",".3009918"
"sp77_512_c_4lag","1.036995",".111391"
"sp77_602_c_4lag","1.053518",".7303011"
"sp77_701_2_c_4lag",".5937001",".0849478"
"sp77_702_c_4lag","1","."
"sp77_800_2_c_4lag",".7499566",".0564312"
"sp77_802_c_4lag",".4001953",".000576"
"sp77_807_2_c_4lag","1.215578",".2031377"
"sp77_900_2_c_4lag",".9577522",".8576394"
"sp77_902_2_c_4lag","1","."
"sp77_902_c_4lag","1.40325",".0009369"
"sp47_43_c_4lag","2.110657",".0499369"
"sp72_503_c_4lag","1.024118",".649039"
"sp75_1106_3_c_4lag",".9963852",".7829108"
"sp75_1400_3_c_4lag","1.13097",".0043302"
"sp75_1403_3_c_4lag",".6346769",".0036633"
"sp75_1433_c_4lag","1.013401",".8585913"
"sp75_153_c_4lag","2.971472",".0255081"
"sp75_1903_c_4lag","1.023878",".3954567"
"sp75_1913_c_4lag","1.103601",".0900724"
"sp75_503_c_4lag","1.001819",".6742701"
"sp75_513_c_4lag",".9113353",".3026862"
"sp75_523_c_4lag","1.093667",".0048741"
"sp75_601_3_c_4lag",".9158807",".6472465"
"sp75_603_c_4lag","1.369488",".0537087"
"sp75_701_3_c_4lag","1.188039",".0033233"
"sp75_703_3_c_4lag",".9800373",".8521598"
"sp75_703_c_4lag","1.039186",".1881023"
"sp75_705_3_c_4lag","1","."
"sp75_800_3_c_4lag",".9958637",".9820336"
"sp75_803_c_4lag",".727384",".0013256"
"sp75_900_3_c_4lag","1.059474",".2449645"
"sp75_903_c_4lag",".9989559",".9853836"
"sp77_103_c_4lag",".1482847",".0000127"
"sp77_1103_c_4lag",".9870842",".5182792"
"sp77_1403_c_4lag","1.161611",".0369843"
"sp77_1433_c_4lag","1.292362",".3007463"
"sp77_203_c_4lag","1.141569",".512802"
"sp77_403_c_4lag","1.10554",".5948499"
"sp77_413_c_4lag","1","."
"sp77_503_c_4lag","1.76406",".0000305"
"sp77_513_c_4lag","1.018675",".6516954"
"sp77_603_c_4lag",".5223258",".2866186"
"sp77_701_3_c_4lag","1.012208",".9721192"
"sp77_703_c_4lag",".8136978",".5504915"
"sp77_803_c_4lag","1.672953",".2382964"
"sp77_807_3_c_4lag","1.598122",".0059207"
"sp77_902_3_c_4lag",".7433495",".2385994"
"sp77_903_c_4lag","1.06236",".8021606"
"sp47_44_c_4lag","1.011167",".7356014"
"sp48_24_c_4lag","1","."
"sp48_4_c_4lag","1","."
"sp75_1103_4_c_4lag",".9805935",".3370482"
"sp75_1104_c_4lag","1.015776",".6646519"
"sp75_1106_4_c_4lag",".9657366",".7854354"
"sp75_1107_14_c_4lag","13.89157",".0009003"
"sp75_1400_4_c_4lag",".9233383",".2342625"
"sp75_1403_4_c_4lag",".6722818",".0718378"
"sp75_1404_c_4lag",".8421078",".3900772"
"sp75_1434_c_4lag",".8463912",".0349999"
"sp75_1914_c_4lag",".9917498",".0900417"
"sp75_214_c_4lag",".908902",".0216555"
"sp75_324_c_4lag","1.035881",".5505434"
"sp75_344_c_4lag","1.045973",".4154919"
"sp75_504_c_4lag",".9442778",".5459769"
"sp75_514_c_4lag","1.016112",".4817191"
"sp75_604_c_4lag","1.007537",".223106"
"sp75_701_4_c_4lag","1.034846",".8553378"
"sp75_703_4_c_4lag","1","."
