"","est1",""
"","b","p"
"dv_indicator","",""
"p47_ss_c_lag_all",".8431981",".4983998"
"p48_ss_c_lag_all","1.011102",".7429681"
"p71_ss_c_lag_all",".8094929",".6191981"
"p72_ss_c_lag_all","1.051308",".6935477"
"p75_ss_c_lag_all","1.000329",".1641107"
"p77_ss_c_lag_all","1.001573",".9131917"
"mine_time",".7154249",".7079404"
"onsite_insp_hours","1.001149",".0149233"
"1.state","1","."
"3.state",".4504373",".4567277"
"4.state","1.237246",".8512358"
"5.state",".7445568",".7921359"
"6.state",".5164456",".4031551"
"9.state","1","."
"10.state","1","."
"12.state","1","."
"14.state",".2892843",".1844607"
"15.state",".0377705",".003399"
"16.state","1","."
"1.time","1","."
"2.time",".2469376",".2921262"
"3.time",".3226449",".5316364"
"4.time",".4215484",".7390651"
"5.time","1.203868",".9550997"
"6.time",".6269644",".9153338"
"7.time",".0874774",".635661"
"8.time",".3529202",".8633143"
"9.time",".3480731",".8799339"
"10.time","1.308062",".9728086"
"11.time","2.102768",".9309053"
"12.time",".8080581",".9817372"
"13.time",".6960537",".9723276"
"N","457",""
