"","est1",""
"","b","p"
"dv","",""
"p47_ss",".589382",".1982055"
"p48_ss",".9572529",".145218"
"p71_ss",".9340656",".4636333"
"p72_ss","1.060397",".6177813"
"p75_ss","1.002534",".0060263"
"p77_ss","1.011103",".6555905"
"mine_time",".8131998",".0178786"
"onsite_insp_hours",".9999165",".1624435"
"1.state","1.250072",".0752414"
"3.state",".6220586",".0008423"
"4.state","1.493876",".0040642"
"5.state","1.240418",".1477942"
"6.state","1.228046",".1109363"
"9.state",".9577897",".6906074"
"10.state","1.429222",".0005185"
"12.state",".9022443",".4804549"
"14.state",".5902461",".0662996"
"15.state",".423391",".0020403"
"16.state","1","."
"1.time","1","."
"2.time","1.239125",".0568802"
"3.time","1.377869",".07607"
"4.time","1.51424",".0961488"
"5.time","1.826373",".0781783"
"6.time","1.883153",".1418317"
"7.time","2.382432",".0825692"
"8.time","2.67207",".0931971"
"9.time","3.383961",".0668885"
"10.time","4.504085",".0485121"
"11.time","5.434973",".0380151"
"12.time","7.158481",".0332998"
"13.time","7.928316",".0486916"
"N","593",""
