"","est1",""
"","b","p"
"dv","",""
"p47_c_lag_all","1.000014",".9993259"
"p48_c_lag_all","1.004625",".0167126"
"p71_c_lag_all",".9862387",".0047045"
"p72_c_lag_all",".991022",".1744029"
"p75_c_lag_all","1.000032",".0100582"
"p77_c_lag_all",".99937",".2383715"
"mine_time",".8325499",".0665548"
"onsite_insp_hours",".9999745",".6517603"
"1.state","1.246377",".0402426"
"3.state",".73248",".1537747"
"4.state","1.439856",".0026631"
"5.state",".9917749",".9644881"
"6.state","1.237504",".1135848"
"9.state","1.223776",".1935412"
"10.state","1.444579",".0088857"
"12.state",".9236241",".6054044"
"14.state",".6319874",".1190608"
"15.state",".5009919",".0278544"
"16.state","1","."
"1.time","1","."
"2.time","1.240285",".0665159"
"3.time","1.288281",".1824404"
"4.time","1.37723",".2520385"
"5.time","1.576707",".2152427"
"6.time","1.493064",".3926325"
"7.time","1.774571",".2985337"
"8.time","1.824426",".346804"
"9.time","2.275271",".2687543"
"10.time","2.803419",".219206"
"11.time","3.372319",".1775228"
"12.time","4.168168",".1653282"
"13.time","4.361679",".2006018"
"N","593",""
