"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_c_4lag",".997793",".0002846"
"sp47_42_pp_c_4lag","1.000704",".6830956"
"sp47_44_pp_c_4lag","1.001131",".0556585"
"sp48_11_pp_c_4lag",".9997299",".7133464"
"sp48_24_pp_c_4lag","1","."
"sp48_25_pp_c_4lag","1.001375",".008561"
"sp48_26_pp_c_4lag",".996211",".0007452"
"sp48_27_pp_c_4lag",".9998021",".810689"
"sp48_28_pp_c_4lag","1.001987",".0675214"
"sp48_4_pp_c_4lag","1","."
"sp48_5_pp_c_4lag",".9939314",".0100779"
"sp48_6_pp_c_4lag",".999522",".5288513"
"sp48_7_pp_c_4lag","1.000774",".1618678"
"sp48_8_pp_c_4lag",".9987104",".307964"
"sp71_701_pp_c_4lag","1","."
"sp72_503_pp_c_4lag","1.001104",".0100459"
"sp72_610_pp_c_4lag",".9962711",".3966258"
"sp72_620_pp_c_4lag","1.00056",".8971624"
"sp72_630_pp_c_4lag","1.000166",".0843751"
"sp75_100_pp_c_4lag","1.000837",".7196207"
"sp75_1001_1_pp_c_4lag","1.001256",".4162956"
"sp75_1001_pp_c_4lag","1","."
"sp75_1003_1_pp_c_4lag","1.000075",".9682798"
"sp75_1100_2_pp_c_4lag","1.000173",".0401098"
"sp75_1101_20_pp_c_4lag",".9303574","0"
"sp75_1102_pp_c_4lag",".9992607",".3967569"
"sp75_1103_4_pp_c_4lag",".9999244",".585232"
"sp75_1104_pp_c_4lag","1.00012",".7890705"
"sp75_1106_2_pp_c_4lag",".9990063",".0136205"
"sp75_1106_3_pp_c_4lag","1.000081",".6249675"
"sp75_1106_4_pp_c_4lag",".9955785",".0003905"
"sp75_1106_5_pp_c_4lag","1.000144",".8095666"
"sp75_1106_6_pp_c_4lag","1","."
"sp75_1106_pp_c_4lag",".9984267",".0940184"
"sp75_1107_14_pp_c_4lag","1.025174",".0669296"
"sp75_1400_1_pp_c_4lag",".9857545",".01718"
"sp75_1400_2_pp_c_4lag","1.002797",".3837722"
"sp75_1400_3_pp_c_4lag",".9997842",".644025"
"sp75_1400_4_pp_c_4lag",".9966005",".0126156"
"sp75_1400_pp_c_4lag",".9978691",".010378"
"sp75_1401_1_pp_c_4lag","1.003047",".7761691"
"sp75_1401_pp_c_4lag",".9938542",".0007174"
"sp75_1403_10_pp_c_4lag","1.000384",".0644017"
"sp75_1403_11_pp_c_4lag","1.011892",".0001516"
"sp75_1403_3_pp_c_4lag",".9920556",".2285346"
"sp75_1403_4_pp_c_4lag",".9803076",".0066264"
"sp75_1403_5_pp_c_4lag",".9998006",".1050041"
"sp75_1403_6_pp_c_4lag",".9997664",".0071723"
"sp75_1403_7_pp_c_4lag","1.000754",".3407864"
"sp75_1403_8_pp_c_4lag","1.000084",".6023912"
"sp75_1403_9_pp_c_4lag",".9999729",".9621233"
"sp75_1404_1_pp_c_4lag",".9969685",".7720629"
"sp75_1404_pp_c_4lag",".9904547",".03466"
"sp75_1405_1_pp_c_4lag",".9968756",".2564117"
"sp75_1405_pp_c_4lag",".9999766",".8859756"
"sp75_1431_pp_c_4lag","1","."
"sp75_1432_pp_c_4lag",".9989944",".3768266"
"sp75_1433_pp_c_4lag",".9990596",".228603"
"sp75_1434_pp_c_4lag","1.002752",".0004966"
"sp75_1435_pp_c_4lag",".9979134",".5508123"
"sp75_1437_pp_c_4lag",".9953449",".2196124"
"sp75_150_pp_c_4lag",".9999433",".9780064"
"sp75_151_pp_c_4lag","1.005268",".2283908"
"sp75_153_pp_c_4lag","1","."
"sp75_156_pp_c_4lag",".9945837",".1094868"
"sp75_160_pp_c_4lag","1.023589","4.43e-07"
"sp75_1600_2_pp_c_4lag",".9999037",".5461918"
"sp75_1712_10_pp_c_4lag",".9962389",".0010254"
"sp75_1712_6_pp_c_4lag",".999862",".8158499"
"sp75_1720_pp_c_4lag","1.000402",".5816371"
"sp75_1721_pp_c_4lag","1","."
"sp75_1725_pp_c_4lag",".9999743",".6898242"
"sp75_1726_pp_c_4lag","1.002235",".069542"
"sp75_1727_pp_c_4lag","1","."
"sp75_1728_pp_c_4lag","1.001374",".813372"
"sp75_1729_pp_c_4lag","1.002907",".002965"
"sp75_1730_pp_c_4lag","1.001727",".1246804"
"sp75_1731_pp_c_4lag",".9999691",".2366297"
"sp75_1903_pp_c_4lag",".9997332",".5526239"
"sp75_1909_pp_c_4lag","1.000077",".3386028"
"sp75_1910_pp_c_4lag",".9997716",".0221817"
"sp75_1911_pp_c_4lag",".9998043",".2132716"
"sp75_1912_pp_c_4lag",".9991009",".3929671"
"sp75_1913_pp_c_4lag",".99794",".0443191"
"sp75_1914_pp_c_4lag","1.000171",".1134926"
"sp75_1915_pp_c_4lag",".9972708",".1101005"
"sp75_202_pp_c_4lag","1.000016",".5235306"
"sp75_208_pp_c_4lag","1.000246",".5267308"
"sp75_211_pp_c_4lag","1.000386",".0054445"
"sp75_212_pp_c_4lag",".9999068",".8585647"
"sp75_214_pp_c_4lag",".9989336",".0184801"
"sp75_312_pp_c_4lag","1.002238",".0130915"
"sp75_320_pp_c_4lag","1.000653",".0469215"
"sp75_324_pp_c_4lag","1.001752",".0718331"
"sp75_337_pp_c_4lag","1.00032",".2507273"
"sp75_340_pp_c_4lag","1.000224",".0342237"
"sp75_341_pp_c_4lag",".9966952",".6796943"
"sp75_342_pp_c_4lag","1.000104",".0486335"
"sp75_344_pp_c_4lag","1.000736",".3319962"
"sp75_352_pp_c_4lag","1.000061",".8947983"
"sp75_382_pp_c_4lag",".9996509",".7161058"
"sp75_503_pp_c_4lag","1.000097",".0125219"
"sp75_504_pp_c_4lag",".9979385",".000019"
"sp75_505_pp_c_4lag","1.007222",".1057709"
"sp75_506_1_pp_c_4lag",".9969839",".058771"
"sp75_506_pp_c_4lag",".9953644",".0111724"
"sp75_507_pp_c_4lag","1.000641",".373452"
"sp75_511_1_pp_c_4lag","1","."
"sp75_511_pp_c_4lag","1.000502",".3512637"
"sp75_512_1_pp_c_4lag",".989033",".5535794"
"sp75_512_2_pp_c_4lag","1.000724",".0483898"
"sp75_512_pp_c_4lag",".9998747",".0402409"
"sp75_513_1_pp_c_4lag",".9906928","3.56e-06"
"sp75_513_pp_c_4lag",".9977537",".2761304"
"sp75_514_pp_c_4lag","1.000146",".3438791"
"sp75_515_pp_c_4lag",".9995282","7.31e-10"
"sp75_516_1_pp_c_4lag","1.002054",".7004699"
"sp75_516_2_pp_c_4lag","1.000639",".0339675"
"sp75_516_pp_c_4lag","1.00052",".0091163"
"sp75_517_1_pp_c_4lag","1.003161",".0601238"
"sp75_517_pp_c_4lag",".9999678",".2230123"
"sp75_518_1_pp_c_4lag","1.000586",".0370599"
"sp75_518_pp_c_4lag",".9998356",".2970781"
"sp75_519_pp_c_4lag",".9956763",".4891437"
"sp75_520_pp_c_4lag","1.000487",".0793206"
"sp75_523_1_pp_c_4lag",".9985401",".0422697"
"sp75_523_2_pp_c_4lag",".9998148",".7841708"
"sp75_523_pp_c_4lag",".9980796",".0157786"
"sp75_600_1_pp_c_4lag","1.001528",".3535736"
"sp75_600_pp_c_4lag","1","."
"sp75_601_1_pp_c_4lag","1.000155",".3404943"
"sp75_601_2_pp_c_4lag","1","."
"sp75_601_3_pp_c_4lag",".998448",".4120193"
"sp75_601_pp_c_4lag",".9999736",".8745393"
"sp75_602_pp_c_4lag",".9991833",".2323881"
"sp75_603_pp_c_4lag",".999471",".9118927"
"sp75_604_pp_c_4lag",".9999638",".4646528"
"sp75_605_pp_c_4lag",".9995933",".0162417"
"sp75_606_pp_c_4lag",".9999709",".7507617"
"sp75_607_pp_c_4lag","1.002016",".0295445"
"sp75_700_1_pp_c_4lag",".9941301",".1640888"
"sp75_700_pp_c_4lag",".9998791",".8955941"
"sp75_701_1_pp_c_4lag","1.001793",".0001347"
"sp75_701_2_pp_c_4lag",".9971571",".0324942"
"sp75_701_3_pp_c_4lag","1.001537",".276168"
"sp75_701_4_pp_c_4lag",".9960638",".3657811"
"sp75_701_pp_c_4lag",".9999369",".5885709"
"sp75_702_1_pp_c_4lag",".9979697",".5145936"
"sp75_702_pp_c_4lag","1","."
"sp75_703_1_pp_c_4lag","1.00195",".5238821"
"sp75_703_2_pp_c_4lag","1.014697",".3119301"
"sp75_703_3_pp_c_4lag",".9998163",".8534495"
"sp75_703_4_pp_c_4lag","1","."
"sp75_703_pp_c_4lag",".9999957",".9946021"
"sp75_704_pp_c_4lag","1.00314",".0433965"
"sp75_705_1_pp_c_4lag","1.000656",".4435349"
"sp75_705_3_pp_c_4lag","1","."
"sp75_705_8_pp_c_4lag",".9977215",".5814125"
