"","est1",""
"","b","p"
"dv","",""
"sp47_41_ss",".6905233",".364865"
"sp47_44_ss",".5562618",".6397604"
"sp48_11_ss","1.091192",".3061809"
"sp48_25_ss",".9600273",".7433868"
"sp48_26_ss",".66803",".257944"
"sp48_27_ss","1.029324",".832058"
"sp48_28_ss","1.070473",".6664856"
"sp48_4_ss","1","."
"sp48_5_ss",".6886666",".3011956"
"sp48_6_ss",".8287955",".3496288"
"sp48_7_ss",".9976906",".9774714"
"sp48_8_ss",".660158",".039082"
"sp71_701_ss","1","."
"sp72_503_ss",".5708022",".0001612"
"sp72_610_ss","1","."
"sp72_620_ss","2.235063",".0021239"
"sp72_630_ss",".9909199",".6595379"
"sp75_100_ss","1.392392",".6317649"
"sp75_1001_1_ss","1","."
"sp75_1001_ss","8.299235",".0005959"
"sp75_1003_1_ss",".3525726",".0050984"
"sp75_1100_2_ss","1.022948",".3398374"
"sp75_1101_20_ss","1","."
"sp75_1102_ss","1.00396",".957578"
"sp75_1103_4_ss",".9647043",".3904178"
"sp75_1104_ss","1.261294",".2091898"
"sp75_1106_2_ss","1.015103",".8689233"
"sp75_1106_3_ss","1.007406",".8120295"
"sp75_1106_4_ss",".8898459",".6942572"
"sp75_1106_5_ss","1.167303",".2399927"
"sp75_1106_6_ss",".3664785",".1246581"
"sp75_1106_ss",".9869892",".9047632"
"sp75_1107_14_ss","1","."
"sp75_1400_1_ss","2.086452",".1888605"
"sp75_1400_2_ss",".3589019",".1995889"
"sp75_1400_3_ss","1.199134",".2529753"
"sp75_1400_4_ss",".7581184",".0993629"
"sp75_1400_ss","1.365838",".0406767"
"sp75_1401_ss",".9701118",".8941332"
"sp75_1403_10_ss","1.034882",".1366859"
"sp75_1403_11_ss","1.190173",".8423527"
"sp75_1403_3_ss",".8486756",".8218271"
"sp75_1403_4_ss","1.849208",".1063752"
"sp75_1403_5_ss",".9809123",".4207297"
"sp75_1403_6_ss","1.013045",".4146876"
"sp75_1403_7_ss","1.257085",".0006365"
"sp75_1403_8_ss","1.047914",".347217"
"sp75_1403_9_ss","1.4502",".3228783"
"sp75_1404_1_ss",".4543668",".0006508"
"sp75_1404_ss",".8965544",".6824728"
"sp75_1405_1_ss","46.08461",".0011324"
"sp75_1405_ss",".9432861",".0082842"
"sp75_1431_ss","1","."
"sp75_1432_ss","1","."
"sp75_1433_ss","1.000675",".9978611"
"sp75_1434_ss",".7092136",".1691791"
"sp75_1435_ss",".5228825",".5303316"
"sp75_1437_ss","1.427209",".4134554"
"sp75_150_ss","1.239095",".4209516"
"sp75_151_ss","2.007894",".0028462"
"sp75_153_ss","1","."
"sp75_155_ss","1.745191",".0097875"
"sp75_156_ss","1","."
"sp75_1600_2_ss",".5174205",".003206"
"sp75_1712_10_ss",".701165",".1028488"
"sp75_1712_6_ss",".3389229",".1635062"
"sp75_1720_ss","1.08558",".1927228"
"sp75_1721_ss","1","."
"sp75_1725_ss",".9975267",".6820848"
"sp75_1726_ss",".8730169",".2312361"
"sp75_1727_ss","1","."
"sp75_1728_ss","3.751761",".0003752"
"sp75_1729_ss",".7401863",".356145"
"sp75_1730_ss",".9695471",".8997335"
"sp75_1731_ss","1.002492",".7070253"
"sp75_1903_ss","1.02001",".9163843"
"sp75_1909_ss","1.041546",".1318285"
"sp75_1910_ss","1.00871",".8641473"
"sp75_1911_ss","1.008949",".9019531"
"sp75_1912_ss","1.579391",".1145677"
"sp75_1913_ss",".8933648",".7779587"
"sp75_1914_ss","1.00504",".7432535"
"sp75_1915_ss","1.849699",".0055186"
"sp75_202_ss",".9943758",".1850418"
"sp75_208_ss",".9841393",".5724255"
"sp75_211_ss","1.061579",".1361619"
"sp75_212_ss",".9205862",".3475548"
"sp75_214_ss",".8168529",".5759441"
"sp75_312_ss","1.609814",".010628"
"sp75_320_ss","1.069335",".5060576"
"sp75_324_ss",".796993",".0659497"
"sp75_337_ss","1.096622",".001002"
"sp75_340_ss","1.009569",".653767"
"sp75_342_ss","1.021375",".1418547"
"sp75_344_ss",".9909534",".9183653"
"sp75_352_ss",".8951132",".245115"
"sp75_382_ss",".9647022",".7119736"
"sp75_503_ss","1.007603",".4141332"
"sp75_504_ss","1.225852",".4127852"
"sp75_505_ss",".7923962",".5442978"
"sp75_506_1_ss",".7300551",".1293243"
"sp75_506_ss","1.322625",".3527356"
"sp75_507_ss","1.117241",".3975495"
"sp75_511_1_ss","1","."
"sp75_511_ss","1.096121",".2679037"
"sp75_512_1_ss","1","."
"sp75_512_2_ss",".9738432",".784384"
"sp75_512_ss","1.005124",".6109451"
"sp75_513_1_ss","1.220481",".8316424"
"sp75_513_ss","1.384577",".1018972"
"sp75_514_ss","1.083465",".1016638"
"sp75_515_ss",".8720028",".005851"
"sp75_516_1_ss","1","."
"sp75_516_2_ss","1.773263",".348971"
"sp75_516_ss","1.129732",".1202875"
"sp75_517_1_ss","1.05854",".6822665"
"sp75_517_ss","1.005699",".4223419"
"sp75_518_1_ss","1.04653",".7218308"
"sp75_518_ss",".9210171",".0532464"
"sp75_519_ss","2.435988",".4144637"
"sp75_520_ss","1.047669",".3401648"
"sp75_523_1_ss",".8517229",".0846963"
"sp75_523_2_ss",".9898699",".8644728"
"sp75_523_ss",".7804583",".011261"
"sp75_600_1_ss",".6616797",".0104786"
"sp75_600_ss","1","."
"sp75_601_1_ss","1.065248",".2000202"
"sp75_601_2_ss","1","."
"sp75_601_3_ss",".7802538",".4334736"
"sp75_601_ss",".9507291",".2368668"
"sp75_602_ss",".9430337",".6905513"
"sp75_603_ss","1.240631",".5370234"
"sp75_604_ss","1.00292",".7978643"
"sp75_605_ss",".9409926",".298758"
"sp75_606_ss",".9220665",".0161347"
"sp75_607_ss",".7946553",".0954461"
"sp75_700_1_ss","1","."
"sp75_700_ss","1.205258",".0976972"
"sp75_701_1_ss",".9442198",".6895141"
"sp75_701_2_ss",".9912403",".9396624"
"sp75_701_3_ss",".9553998",".7300892"
"sp75_701_4_ss",".0319184",".0005992"
"sp75_701_5_ss",".8164187",".3378914"
"sp75_701_ss","1.101702",".0115504"
"sp75_703_2_ss","1","."
"sp75_703_3_ss","1.421296",".1483749"
"sp75_703_ss","1.121904",".1652955"
"sp75_704_ss","1.348226",".5084692"
"sp75_705_1_ss",".7839651",".0021835"
"sp75_705_8_ss","1","."
"sp75_705_ss","1.505643",".304092"
"sp75_706_ss","1.024588",".8839999"
"sp75_800_2_ss","1","."
"sp75_800_3_ss","1.596033",".3101954"
"sp75_800_4_ss","1","."
"sp75_800_ss",".402386","2.02e-10"
"sp75_801_ss",".346159","3.62e-06"
"sp75_802_ss",".6848999",".1793132"
"sp75_803_2_ss","1","."
"sp75_803_ss",".9978241",".9887223"
"sp75_804_ss","1.86463",".007922"
"sp75_805_ss",".5977956",".3126614"
"sp75_806_ss",".7708036",".1144161"
"sp75_807_ss","1.006804",".8854975"
"sp75_808_ss","1.369313",".3962374"
"sp75_809_ss",".9396317",".6149619"
"sp75_810_ss",".4798795",".1678523"
"sp75_811_ss",".9352313",".8650088"
"sp75_812_ss","1.305995",".2543009"
"sp75_814_ss",".6959148",".0177286"
"sp75_815_ss","2.914731",".0033267"
"sp75_816_ss","1.272687",".1024439"
"sp75_818_ss","1.124356",".5939098"
"sp75_819_ss",".9423237",".8920943"
"sp75_820_ss",".9676466",".8966783"
"sp75_821_ss","2.5273","9.46e-06"
"sp75_825_ss","1.085495",".8306642"
"sp75_827_ss","1.334082",".6910053"
"sp75_831_ss","1","."
"sp75_900_2_ss","1","."
"sp75_900_3_ss","1.102676",".586912"
"sp75_900_4_ss",".8129675",".2792746"
"sp75_900_ss","1.093719",".1104835"
"sp75_901_ss",".3438838",".0697061"
"sp75_902_1_ss",".6700915",".2599836"
"sp75_902_2_ss",".8116751",".1084822"
"sp75_902_4_ss","1.389708",".0323116"
"sp75_902_ss","1.167269",".0038974"
"sp75_903_ss",".8143848",".0162002"
"sp75_904_ss","1.033492",".120398"
"sp75_905_ss",".5273643",".2712907"
"sp75_907_ss","1.146321",".7609109"
"sp77_103_ss","1","."
"sp77_1103_ss","1.087605",".635801"
"sp77_1104_ss","1.004089",".826067"
"sp77_1106_ss","1","."
"sp77_1111_ss",".7647584",".6898618"
"sp77_1112_ss","1.177813",".4255319"
"sp77_1403_ss","1.19434",".6512057"
"sp77_1433_ss","1.043649",".9399176"
"sp77_1434_ss","9.554108","1.12e-06"
"sp77_1437_ss",".7992749",".323512"
"sp77_1438_ss","1","."
"sp77_1605_ss",".9779001",".5665682"
"sp77_1606_ss","1.035678",".4972685"
"sp77_1710_ss",".8898153",".0015308"
