"","est1",""
"","b","p"
"dv","",""
"sp47_41_c_lag_all",".9797972",".2977617"
"sp48_11_c_lag_all",".9606985",".0576202"
"sp71_701_c_lag_all","1","."
"sp75_1001_1_c_lag_all",".9739699",".6591417"
"sp75_1001_c_lag_all",".8073351",".0013084"
"sp75_1003_1_c_lag_all",".8237777",".0520271"
"sp75_1400_1_c_lag_all",".794031",".2210644"
"sp75_1401_1_c_lag_all",".5769233",".0000315"
"sp75_1401_c_lag_all","1.165846",".0473485"
"sp75_1403_11_c_lag_all","1.086145",".5368297"
"sp75_1404_1_c_lag_all","1.223549",".5059085"
"sp75_1405_1_c_lag_all","1.09738",".3957128"
"sp75_1431_c_lag_all","1","."
"sp75_151_c_lag_all","1.184905",".2530563"
"sp75_1721_c_lag_all","1","."
"sp75_1731_c_lag_all","1.002051",".0374547"
"sp75_1911_c_lag_all",".9964936",".5207227"
"sp75_211_c_lag_all",".9980939",".8160331"
"sp75_341_c_lag_all",".6655409",".0076328"
"sp75_506_1_c_lag_all","1.028462",".4732704"
"sp75_510_1_c_lag_all","1.799743",".0618393"
"sp75_511_1_c_lag_all",".4730457",".1993828"
"sp75_511_c_lag_all","1.004839",".8207015"
"sp75_512_1_c_lag_all",".9229949",".8219527"
"sp75_513_1_c_lag_all",".9554047",".4064966"
"sp75_516_1_c_lag_all","1.030966",".7069443"
"sp75_517_1_c_lag_all","1.018617",".8037561"
"sp75_518_1_c_lag_all","1.007799",".4828966"
"sp75_523_1_c_lag_all","1.00232",".8933129"
"sp75_600_1_c_lag_all","1.004724",".943568"
"sp75_601_1_c_lag_all","1.004002",".5498398"
"sp75_601_c_lag_all","1.024795",".0183703"
"sp75_700_1_c_lag_all",".9574589",".7429863"
"sp75_701_1_c_lag_all","1.008983",".5492834"
"sp75_701_c_lag_all","1.014383",".051763"
"sp75_702_1_c_lag_all","1.02863",".8307037"
"sp75_703_1_c_lag_all","1.187341",".2699136"
"sp75_705_1_c_lag_all",".9191724",".1713733"
"sp75_801_c_lag_all","1.070028",".5660341"
"sp75_821_c_lag_all",".9844285",".5587621"
"sp75_831_c_lag_all","1.187055",".2322029"
"sp75_901_c_lag_all","1.090508",".1285301"
"sp75_902_1_c_lag_all",".8602233",".4693904"
"sp77_1111_c_lag_all","1.10437",".1674646"
"sp77_401_c_lag_all","1.016329",".7207359"
"sp77_403_1_c_lag_all",".955496",".3536567"
"sp77_411_c_lag_all","1.189423",".0605256"
"sp77_501_c_lag_all","1.006148",".9076398"
"sp77_502_1_c_lag_all","1.87891",".1715026"
"sp77_503_1_c_lag_all","1.004943",".9692285"
"sp77_506_1_c_lag_all",".9743804",".0124812"
"sp77_508_1_c_lag_all","1.375135",".0015623"
"sp77_511_c_lag_all","1.067771",".2383104"
"sp77_601_c_lag_all",".9762565",".8120075"
"sp77_606_1_c_lag_all",".8345225",".3540713"
"sp77_700_1_c_lag_all",".885291",".3935661"
"sp77_701_1_c_lag_all",".8959287",".0641122"
"sp77_701_c_lag_all","1.005124",".7592439"
"sp75_811_c_lag_all","1.061984",".0072196"
"sp77_704_1_c_lag_all","1","."
"sp77_800_1_c_lag_all",".8994622",".1346568"
"sp77_801_1_c_lag_all","1","."
"sp77_801_c_lag_all","1","."
"sp77_807_1_c_lag_all","1.239488",".3560127"
"sp77_900_1_c_lag_all","1.298404",".0282898"
"sp77_901_1_c_lag_all",".7181417",".100086"
"sp77_901_c_lag_all",".9312417",".3630477"
"sp47_42_c_lag_all","1.128298",".0866554"
"sp75_1100_2_c_lag_all","1.001426",".6424087"
"sp75_1102_c_lag_all",".9715086",".3961202"
"sp75_1106_2_c_lag_all",".9895269",".581858"
"sp75_1400_2_c_lag_all",".9402122",".3845522"
"sp75_1402_2_c_lag_all",".6228543",".7782911"
"sp75_1432_c_lag_all",".9727683",".6317441"
"sp75_1600_2_c_lag_all","1.011921",".0845457"
"sp75_1912_c_lag_all",".9877672",".7308254"
"sp75_202_c_lag_all",".9998389",".806047"
"sp75_212_c_lag_all",".9888665",".4003454"
"sp75_312_c_lag_all",".9882849",".4138675"
"sp75_342_c_lag_all",".9930493",".0217977"
"sp75_352_c_lag_all",".9936574",".650171"
"sp75_382_c_lag_all","1.006957",".7304635"
"sp75_512_2_c_lag_all","1.000044",".996896"
"sp75_512_c_lag_all","1.001029",".5871432"
"sp75_516_2_c_lag_all",".9892114",".5051233"
"sp75_523_2_c_lag_all","1.037394",".0200945"
"sp75_601_2_c_lag_all","1","."
"sp75_602_c_lag_all","1.006714",".7221808"
"sp75_701_2_c_lag_all","1.064894",".1160869"
"sp75_702_c_lag_all","1","."
"sp75_703_2_c_lag_all","1.207175",".4971159"
"sp75_705_2_c_lag_all","1","."
"sp75_800_2_c_lag_all","1.921299",".0890421"
"sp75_802_c_lag_all",".9542223",".6757499"
"sp75_803_2_c_lag_all","1","."
"sp75_812_c_lag_all",".8918599",".0858492"
"sp75_832_c_lag_all",".944893",".631007"
"sp75_900_2_c_lag_all","1.066555",".5725313"
"sp75_902_2_c_lag_all","1.001824",".9033913"
"sp75_902_c_lag_all","1.011869",".5033732"
"sp77_1112_c_lag_all","1.056031",".2940217"
"sp77_1432_c_lag_all",".9153624",".268849"
"sp77_1802_c_lag_all","1.317867",".3187286"
"sp77_202_c_lag_all","1.016632",".0416299"
"sp77_402_c_lag_all","1.023169",".0724593"
"sp77_403_2_c_lag_all",".389098",".1517575"
"sp77_412_c_lag_all",".9762077",".360697"
"sp77_502_2_c_lag_all","1.00326",".8851151"
"sp77_502_c_lag_all","1.00503",".2551386"
"sp77_512_c_lag_all",".9693983",".0120721"
"sp77_602_c_lag_all","1.158649",".1298143"
"sp77_701_2_c_lag_all",".7071574",".133678"
"sp77_702_c_lag_all","1","."
"sp77_800_2_c_lag_all","1.13378",".0183924"
"sp77_802_c_lag_all","1.058153",".7445137"
"sp77_807_2_c_lag_all",".9367061",".5685409"
"sp77_900_2_c_lag_all","1.018123",".8032599"
"sp77_902_2_c_lag_all","1","."
"sp77_902_c_lag_all",".9174615",".2803081"
"sp47_43_c_lag_all","1.196779",".280346"
"sp72_503_c_lag_all","1.002573",".878419"
"sp75_1106_3_c_lag_all",".992416",".1342543"
"sp75_1400_3_c_lag_all",".9320464",".0016891"
"sp75_1403_3_c_lag_all",".7163443",".1310418"
"sp75_1433_c_lag_all",".9914351",".821808"
"sp75_153_c_lag_all","2.33306",".3330915"
"sp75_1903_c_lag_all","1.005173",".5673935"
"sp75_1913_c_lag_all","1.043804",".0042213"
"sp75_503_c_lag_all",".998142",".1154803"
"sp75_513_c_lag_all",".9363117",".071929"
"sp75_523_c_lag_all","1.004678",".7533851"
"sp75_601_3_c_lag_all","1.079351",".332852"
"sp75_603_c_lag_all","1.033357",".7468833"
"sp75_701_3_c_lag_all",".9973074",".8954688"
"sp75_703_3_c_lag_all","1.001299",".974732"
"sp75_703_c_lag_all","1.004272",".7070861"
"sp75_705_3_c_lag_all","1","."
"sp75_800_3_c_lag_all","1.04737",".4127107"
"sp75_803_c_lag_all","1.113912",".0739545"
"sp75_900_3_c_lag_all",".9862092",".6980021"
"sp75_903_c_lag_all",".9925528",".6680699"
"sp77_103_c_lag_all","1.308531",".4750064"
"sp77_1103_c_lag_all","1.001394",".8563369"
"sp77_1403_c_lag_all","1.091018",".0508477"
"sp77_1433_c_lag_all","1.097485",".1513736"
"sp77_203_c_lag_all",".8066728",".0521239"
"sp77_403_c_lag_all","1.076987",".632966"
"sp77_413_c_lag_all","1","."
"sp77_503_c_lag_all",".8373197",".0561152"
"sp77_513_c_lag_all",".9796904",".2252083"
"sp77_603_c_lag_all","1.618564",".0177564"
"sp77_703_c_lag_all","1.135141",".652799"
"sp77_803_c_lag_all","1.725862",".0557628"
"sp77_807_3_c_lag_all","1.281911",".050156"
"sp77_903_c_lag_all",".7683422",".0093318"
"sp47_44_c_lag_all",".9608502",".0380994"
"sp48_24_c_lag_all","1","."
"sp48_4_c_lag_all","1","."
"sp75_1103_4_c_lag_all","1.006607",".2044022"
"sp75_1104_c_lag_all",".9832483",".2228617"
"sp75_1106_4_c_lag_all",".973253",".6098557"
"sp75_1107_14_c_lag_all","1.315605",".5561677"
"sp75_1400_4_c_lag_all",".9840066",".6204248"
"sp75_1403_4_c_lag_all",".934568",".7148613"
"sp75_1404_c_lag_all",".9142033",".4914159"
"sp75_1434_c_lag_all",".9921545",".8263639"
"sp75_1914_c_lag_all",".9973963",".2634376"
"sp75_214_c_lag_all",".9678655",".0770968"
"sp75_324_c_lag_all","1.00904",".7299892"
"sp75_344_c_lag_all",".9685441",".3838778"
