"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp",".9989",".2275251"
"sp48_24_pp","1","."
"sp48_25_pp","1.001628",".0138003"
"sp48_26_pp",".9975184",".3369611"
"sp48_27_pp","1.000474",".6879003"
"sp48_28_pp",".9995868",".7817173"
"sp48_4_pp","1","."
"sp48_5_pp","1.001323",".5456231"
"sp48_6_pp",".9982703",".0897562"
"sp48_7_pp",".999359",".2101675"
"sp48_8_pp","1.001681",".3079448"
"sp75_100_pp","1.001584",".7148481"
"sp75_1002_pp",".9999097",".8483465"
"sp75_1003_pp",".9992912",".0610613"
"sp75_1003_2_pp",".9996024",".3816158"
"sp75_1311_pp",".9983344",".0564137"
"sp75_1315_pp","1","."
"sp75_1316_pp","1.002754",".0317666"
"sp75_1318_pp","1","."
"sp75_1400_pp",".9972771",".0103915"
"sp75_1400_1_pp",".9977194",".7980453"
"sp75_1403_10_pp","1.000494",".0986116"
"sp75_1403_5_pp",".9999525",".8438553"
"sp75_1403_6_pp",".9998774",".4413259"
"sp75_1403_7_pp",".9997241",".7099979"
"sp75_1403_8_pp",".9994435","5.22e-07"
"sp75_1404_pp","1.001534",".6061761"
"sp75_1404_1_pp",".9998065",".9509377"
"sp75_1405_pp","1.000173",".648826"
"sp75_1405_1_pp",".9999736",".9843345"
"sp75_153_pp","1","."
"sp75_156_pp",".9991711",".6470656"
"sp75_160_pp","1.016759","3.04e-06"
"sp75_1719_2_pp",".9991063",".6088613"
"sp75_1719_4_pp","1.000594",".2339941"
"sp75_1720_pp",".9989011",".2019266"
"sp75_1725_pp","1.000223",".0451265"
"sp75_1906_pp","1.000795",".18727"
"sp75_1916_pp",".9997585",".7932809"
"sp75_203_pp","1.000926",".0006963"
"sp75_204_pp","1.000626",".1983332"
"sp75_205_pp","1.003172",".4728151"
"sp75_207_pp","1.001011",".7947325"
"sp75_208_pp",".9999683",".9254609"
"sp75_209_pp",".9977914",".1668564"
"sp75_212_pp","1.000072",".9258506"
"sp75_213_pp","1.002153",".1736298"
"sp75_215_pp",".9944238",".5833228"
"sp75_332_pp","1.001309",".5986691"
"sp75_334_pp","1.00078",".3003754"
"sp75_337_pp","1.000069",".8241751"
"sp75_340_pp",".9999142",".6740369"
"sp75_343_pp",".9999911",".9945171"
"sp75_373_pp","1","."
"sp75_388_pp","1.002037",".3217306"
"sp75_389_pp",".9941453",".1949597"
"sp75_500_pp",".9992161",".5868405"
"sp75_500_1_pp","1","."
"sp75_501_pp",".9981905",".4505121"
"sp75_501_2_pp",".9882732","1.73e-08"
"sp75_502_pp","1.006231",".0220009"
"sp75_503_pp","1.000101",".3581197"
"sp75_505_pp",".9902954","6.64e-06"
"sp75_506_1_pp","1.000917",".2075292"
"sp75_507_pp",".9971565",".0351556"
"sp75_507_1_pp","1.000305",".5604385"
"sp75_508_1_pp",".9985091",".4079558"
"sp75_509_pp","1.001403",".4859595"
"sp75_510_pp",".9956434",".2445408"
"sp75_512_1_pp",".9998183",".9554787"
"sp75_523_pp",".9984269",".3530192"
"sp75_523_3_pp",".9994804",".010086"
"sp75_524_pp",".99574",".0006717"
"sp75_602_pp","1.001203",".0352009"
"sp75_603_pp",".9963229",".1243698"
"sp75_604_pp","1.00002",".8768094"
"sp75_605_pp",".9994667",".0743411"
"sp75_606_pp","1.000121",".759459"
"sp75_607_pp",".9976292",".1198578"
"sp75_703_3_pp","1.001158",".4965833"
"sp75_703_4_pp","1","."
"sp75_807_pp","1.000214",".4728166"
"sp75_810_pp","1.004639",".0000477"
"sp75_811_pp","1.001593",".0278011"
"sp75_812_pp",".9993661",".7816862"
"sp75_816_pp","1.000175",".7700951"
"sp75_817_pp",".9996344",".8411935"
"sp75_906_pp","1","."
"mine_time","1.00022",".9931781"
"onsite_insp_hours",".9996738",".0381097"
"1.state","1.053134",".7110072"
"3.state",".523186","3.38e-10"
"4.state","1.128935",".3054451"
"5.state",".86674",".1863753"
"6.state",".9509626",".6753493"
"9.state",".6908813",".0001645"
"10.state",".9923698",".9448896"
"12.state",".8610927",".3458885"
"14.state",".3196646",".0001074"
"15.state",".4264859","8.42e-10"
"16.state","1","."
"17.time","1.056025",".6539669"
"18.time","1","."
"19.time","1.041329",".7684055"
"20.time","1.048831",".7180185"
"21.time",".9142155",".5588937"
"22.time",".8467137",".2396459"
"23.time","1.057462",".7542274"
"24.time",".8734136",".549186"
"25.time",".9373031",".7585328"
"26.time",".7726516",".28082"
"27.time",".8546425",".5478593"
"28.time",".8277616",".4871807"
"29.time",".7728143",".4134562"
"30.time",".8900095",".7427707"
"31.time",".9118116",".7851749"
"32.time",".7312253",".4027479"
"33.time",".697877",".3727881"
"34.time",".8113023",".6068407"
"35.time",".894514",".7956877"
"36.time",".649251",".3530329"
"37.time",".716972",".4589464"
"38.time",".6191375",".3232274"
"39.time",".7929478",".653361"
"40.time",".6242937",".3806417"
"41.time",".6554423",".4445899"
"42.time",".6581739",".477413"
"43.time",".716868",".5738361"
"44.time",".5878259",".3945068"
"45.time",".7136191",".6210704"
"46.time",".7785353",".7245058"
"47.time",".8183296",".787816"
"48.time",".6312833",".5462021"
"49.time",".6741467",".6093524"
"50.time",".5597744",".4848875"
"51.time",".9122058",".9139726"
"52.time",".6155384",".5826744"
"53.time",".7455094",".7457654"
"N","1590",""
