"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss_c_lag_all","1.006425",".8680611"
"sp48_25_ss_c_lag_all",".9663842",".4713327"
"sp48_26_ss_c_lag_all",".8530223",".1885289"
"sp48_27_ss_c_lag_all",".9928498",".9304341"
"sp48_28_ss_c_lag_all","1.004519",".9594055"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all",".9076039",".3200023"
"sp48_6_ss_c_lag_all","1.011593",".8415263"
"sp48_7_ss_c_lag_all","1.017101",".7578887"
"sp48_8_ss_c_lag_all",".9762529",".8522994"
"sp75_100_ss_c_lag_all","1.741703",".0736581"
"sp75_1002_ss_c_lag_all","1.209514",".0000169"
"sp75_1003_ss_c_lag_all","1.017528",".1310354"
"sp75_1003_2_ss_c_lag_all",".9372438",".286456"
"sp75_1311_ss_c_lag_all","1.166312",".0462371"
"sp75_1315_ss_c_lag_all","1","."
"sp75_1316_ss_c_lag_all",".9616304",".6605042"
"sp75_1318_ss_c_lag_all","1","."
"sp75_1322_ss_c_lag_all","1","."
"sp75_1400_ss_c_lag_all","1.001742",".9650203"
"sp75_1400_1_ss_c_lag_all","1.623894",".0751081"
"sp75_1403_10_ss_c_lag_all",".999189",".947839"
"sp75_1403_5_ss_c_lag_all",".9870965",".0009925"
"sp75_1403_6_ss_c_lag_all","1.011518",".048293"
"sp75_1403_7_ss_c_lag_all",".9634892",".2406808"
"sp75_1403_8_ss_c_lag_all",".9905072",".0557643"
"sp75_1404_ss_c_lag_all","1.682484",".0097198"
"sp75_1404_1_ss_c_lag_all",".8557371",".48404"
"sp75_1405_ss_c_lag_all",".9797177",".0276601"
"sp75_1405_1_ss_c_lag_all","1.327054",".1860878"
"sp75_153_ss_c_lag_all","1.969077",".0091987"
"sp75_155_ss_c_lag_all",".4842355",".0024148"
"sp75_156_ss_c_lag_all","1","."
"sp75_1719_2_ss_c_lag_all","1.177865",".4167552"
"sp75_1719_4_ss_c_lag_all","1.01146",".9289439"
"sp75_1720_ss_c_lag_all",".9701651",".4761774"
"sp75_1725_ss_c_lag_all","1.002625",".2095501"
"sp75_1906_ss_c_lag_all","1.191647",".6009135"
"sp75_1916_ss_c_lag_all",".9697292",".4420973"
"sp75_203_ss_c_lag_all","1.017201",".1056802"
"sp75_204_ss_c_lag_all",".9915606",".7013057"
"sp75_205_ss_c_lag_all","1.225974",".0746217"
"sp75_207_ss_c_lag_all",".5233799",".0128785"
"sp75_208_ss_c_lag_all","1.007967",".6218213"
"sp75_209_ss_c_lag_all",".8228573",".0311323"
"sp75_212_ss_c_lag_all",".9967045",".8731931"
"sp75_213_ss_c_lag_all","1.100476",".0610287"
"sp75_215_ss_c_lag_all",".7761047",".11481"
"sp75_332_ss_c_lag_all","1.044755",".7643398"
"sp75_334_ss_c_lag_all","1.063744",".0320302"
"sp75_337_ss_c_lag_all",".9687037",".1182011"
"sp75_340_ss_c_lag_all","1.001084",".9147699"
"sp75_343_ss_c_lag_all","1.135312",".3959571"
"sp75_373_ss_c_lag_all","1","."
"sp75_388_ss_c_lag_all",".9567228",".8000141"
"sp75_389_ss_c_lag_all",".993535",".984848"
"sp75_500_ss_c_lag_all",".8905077",".1657942"
"sp75_500_1_ss_c_lag_all","1","."
"sp75_501_ss_c_lag_all","1.706964",".0000121"
"sp75_501_2_ss_c_lag_all","1","."
"sp75_502_ss_c_lag_all","1.404809",".001729"
"sp75_503_ss_c_lag_all",".9998562",".9538732"
"sp75_505_ss_c_lag_all",".4924215",".0073157"
"sp75_506_1_ss_c_lag_all","1.294705",".4386069"
"sp75_507_ss_c_lag_all",".8418005",".0010497"
"sp75_507_1_ss_c_lag_all","1.039176",".29573"
"sp75_509_ss_c_lag_all","1.27698",".0101079"
"sp75_512_1_ss_c_lag_all","1","."
"sp75_523_ss_c_lag_all","1.003216",".8869631"
"sp75_523_3_ss_c_lag_all",".9782616",".0002845"
"sp75_524_ss_c_lag_all","1.071684",".5911111"
"sp75_602_ss_c_lag_all","1.222871",".04203"
"sp75_603_ss_c_lag_all","1.38091",".1261192"
"sp75_604_ss_c_lag_all",".9961471",".3070826"
"sp75_605_ss_c_lag_all",".9952812",".885739"
"sp75_606_ss_c_lag_all",".9904986",".206944"
"sp75_607_ss_c_lag_all",".9334182",".3674062"
"sp75_703_3_ss_c_lag_all","1.489247","7.82e-07"
"sp75_807_ss_c_lag_all",".9984072",".916929"
"sp75_810_ss_c_lag_all","1.039533",".6880459"
"sp75_811_ss_c_lag_all","1.074656",".4965231"
"sp75_812_ss_c_lag_all",".9080375",".3740077"
"sp75_816_ss_c_lag_all","1.037245",".5962891"
"sp75_817_ss_c_lag_all","3.86269","2.60e-13"
"sp75_906_ss_c_lag_all","1","."
"mine_time",".9681467",".6368383"
"onsite_insp_hours","1.000103",".4207016"
"1.state",".9889665",".9466764"
"3.state",".621102",".000443"
"4.state","1.911801",".000012"
"5.state","1.004726",".9818505"
"6.state","1.017935",".9090241"
"9.state",".7987117",".0687124"
"10.state","1.009184",".972498"
"12.state",".5647434",".0010161"
"14.state",".5177681","3.81e-06"
"15.state",".9788975",".9354853"
"16.state","1","."
"1.time","1","."
"2.time","1.182876",".1206773"
"3.time","1.334967",".093735"
"4.time","1.152098",".542915"
"5.time","1.122937",".698074"
"6.time","1.358902",".3840793"
"7.time","1.516137",".3267901"
"8.time","1.138532",".7937279"
"9.time","1.136514",".8156302"
"10.time","1.313064",".655623"
"11.time","1.400208",".6251591"
"12.time","1.463237",".6185686"
"13.time","1.435072",".663703"
"14.time","1.397973",".7109133"
"15.time","1.86067",".520564"
"16.time","1.524986",".6855098"
"17.time","1.698434",".6266437"
"18.time","1.655305",".6668552"
"19.time","1.788269",".6351976"
"20.time","1.755238",".6664373"
"21.time","1.561774",".7442779"
"22.time","1.535302",".7647804"
"23.time","1.884296",".6723"
"24.time","1.666642",".7481738"
"25.time","1.76141",".7334818"
"26.time","1.646801",".7709425"
"27.time","1.783069",".7490629"
"28.time","1.729301",".7688086"
"29.time","1.645147",".7974405"
"30.time","2.092505",".717992"
"31.time","1.987724",".7431741"
"32.time","1.703757",".8049111"
"33.time","1.718755",".8072087"
"34.time","1.878365",".782582"
"35.time","2.086779",".7562169"
"36.time","1.649487",".8370104"
"37.time","1.832087",".8088892"
"38.time","1.687154",".8387742"
"39.time","2.192071",".7655205"
"40.time","1.858964",".8183602"
"41.time","1.945304",".8104549"
"42.time","2.015333",".8043845"
"43.time","2.261003",".7790733"
"44.time","2.003501",".8157489"
"45.time","2.243626",".7921206"
"46.time","2.316006",".7878208"
"47.time","2.663496",".7581584"
"48.time","2.186705",".8102945"
"49.time","2.2197",".8111981"
"50.time","1.997767",".8384961"
"51.time","3.105782",".7441562"
"52.time","2.220348",".8207226"
"53.time","2.64182",".7867624"
"N","2278",""
