"","est1",""
"","b","p"
"dv","",""
"sp48_11_1lag","1.02028",".7165958"
"sp75_1311_1lag","1.038171",".7348713"
"sp75_1400_1_1lag","1.204904",".4685789"
"sp75_1404_1_1lag",".9954257",".9584233"
"sp75_1405_1_1lag","1.266544",".0005991"
"sp75_500_1_1lag","1","."
"sp75_501_1lag","1.118048",".3083828"
"sp75_506_1_1lag","1.139151",".0021721"
"sp75_507_1_1lag",".9678993",".2914685"
"sp75_508_1_1lag",".6378941",".0000414"
"sp75_512_1_1lag",".8628324",".7633632"
"sp75_811_1lag","1.092704",".0129192"
"sp75_1002_1lag",".9902337",".6580915"
"sp75_1003_2_1lag",".9686804",".5418134"
"sp75_1322_1lag","1.554267",".093278"
"sp75_1719_2_1lag",".9192285",".0948982"
"sp75_212_1lag","1.019907",".3071399"
"sp75_332_1lag","1.016131",".8401227"
"sp75_501_2_1lag","1.343298",".1147714"
"sp75_502_1lag",".8986201",".4773913"
"sp75_602_1lag","1.02748",".3105955"
"sp75_812_1lag","1.332694",".0516993"
"sp75_1003_1lag",".9797686",".0068952"
"sp75_153_1lag","1","."
"sp75_203_1lag","1.030889",".0064995"
"sp75_213_1lag","1.201803","1.83e-06"
"sp75_343_1lag","1.080822",".0473821"
"sp75_373_1lag","1","."
"sp75_503_1lag",".9987498",".7245425"
"sp75_523_1lag",".9733064",".4161621"
"sp75_523_3_1lag",".9847661",".0446674"
"sp75_603_1lag",".9678284",".8187215"
"sp75_703_3_1lag",".9164491",".3503297"
"sp48_24_1lag","1","."
"sp48_4_1lag","1","."
"sp75_1404_1lag",".987601",".9495413"
"sp75_1719_4_1lag","1.056331",".0052294"
"sp75_204_1lag","1.009752",".5745103"
"sp75_334_1lag","1.00104",".9736517"
"sp75_524_1lag","1.418916",".0025137"
"sp75_604_1lag","1.008027",".2010626"
"sp75_703_4_1lag","1","."
"sp48_25_1lag","1.117385",".1344698"
"sp48_5_1lag","1.064098",".5812347"
"sp75_1315_1lag","1","."
"sp75_1403_5_1lag",".9907679",".0467493"
"sp75_1405_1lag",".9826326",".2275437"
"sp75_155_1lag",".9085251",".5014971"
"sp75_1725_1lag","1.00502",".0987635"
"sp75_205_1lag",".8406417",".2365715"
"sp75_215_1lag",".9479551",".7458936"
"sp75_505_1lag",".8891579",".4241322"
"sp75_605_1lag",".9984316",".9065353"
"sp48_26_1lag","1.130557",".3733282"
"sp48_6_1lag",".9957873",".9110202"
"sp75_1316_1lag","1.13756",".0020102"
"sp75_1403_6_1lag",".9981848",".7580495"
"sp75_156_1lag",".8168641",".3435838"
"sp75_1906_1lag","1.041299",".2771039"
"sp75_1916_1lag",".9380213",".0117889"
"sp75_606_1lag",".9907762",".3355363"
"sp75_816_1lag","1.044211",".1020155"
"sp75_906_1lag",".6830244","1.73e-07"
"sp48_27_1lag",".8871975",".0778691"
"sp48_7_1lag","1.020525",".5159018"
"sp75_1403_7_1lag","1.084145",".0078258"
"sp75_207_1lag","1.294328",".0595374"
"sp75_327_1lag",".6219505",".0027468"
"sp75_337_1lag",".9554662",".1328271"
"sp75_507_1lag","1.014423",".8399626"
"sp75_607_1lag",".943647",".2557575"
"sp75_807_1lag",".9952939",".6101414"
"sp75_817_1lag",".8673047",".0810722"
"sp48_28_1lag",".9896483",".8389437"
"sp48_8_1lag",".887221",".0561142"
"sp75_1318_1lag","1.512499",".0482233"
"sp75_1403_8_1lag",".9877434",".0029739"
"sp75_208_1lag","1.004728",".7657066"
"sp75_388_1lag","1.451027",".0109392"
"sp75_209_1lag",".8716062",".0185881"
"sp75_389_1lag",".890354",".5757505"
"sp75_509_1lag","1.090008",".4072607"
"sp75_100_1lag","1.116215",".2034309"
"sp75_1400_1lag",".9858276",".7254313"
"sp75_1403_10_1lag","1.0007",".9360191"
"sp75_160_1lag","1.01053",".9453854"
"sp75_1720_1lag","1.018637",".6032437"
"sp75_340_1lag",".9930673",".29031"
"sp75_500_1lag",".902466",".057075"
"sp75_510_1lag",".927855",".6260356"
"sp75_810_1lag","1.121365",".0007489"
"mine_time",".8292811",".0008465"
"onsite_insp_hours",".9999324",".1448184"
"1.state","1.151676",".2539045"
"3.state",".496591","1.13e-14"
"4.state","1.3117",".0033106"
"5.state","1.010606",".913243"
"6.state","1.059956",".6780449"
"9.state",".7155891",".0002118"
"10.state","1.058239",".5847753"
"12.state",".8389319",".0516805"
"14.state",".3404133",".00005"
"15.state",".7238532",".1792421"
"16.state","1","."
"1.time","1","."
"2.time","1.144474",".1039622"
"3.time","1.285362",".0334067"
"4.time","1.462282",".0225045"
"5.time","1.685386",".0144443"
"6.time","1.765493",".0367977"
"7.time","1.818739",".0590251"
"8.time","2.137011",".0437789"
"9.time","2.555764",".024486"
"10.time","2.747395",".0347642"
"11.time","3.037931",".0339444"
"12.time","3.990666",".0190242"
"13.time","4.497774",".0182508"
"N","593",""
