"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp_c_4lag",".9985771",".2703324"
"p48_pp_c_4lag","1.000158",".5555016"
"p71_pp_c_4lag","1.001583",".3577597"
"p72_pp_c_4lag",".9992419",".3838215"
"p75_pp_c_4lag","1.000026",".0006529"
"p77_pp_c_4lag",".9999767",".9265961"
"mine_time",".9965785",".1783939"
"onsite_insp_hours","1.00047",".0889586"
"1.state","2.089398",".0097016"
"2.state","2.780722","0"
"3.state",".7661416",".2972756"
"4.state","1.481928",".0032159"
"5.state",".9266754",".7901481"
"6.state",".9482035",".5215765"
"7.state","1.238776",".381251"
"8.state",".6062736","5.15e-06"
"9.state","1.199787",".1477674"
"10.state",".7460145",".2813253"
"11.state",".8123806",".6995933"
"12.state","1.050627",".7484102"
"13.state","1.24701",".1933263"
"14.state",".5906304",".0775931"
"15.state",".6645869",".0004045"
"16.state","1","."
"17.state","2.449164","0"
"29.time","1.444673",".0491305"
"30.time","1.317344",".14814"
"31.time","1.560771",".016244"
"32.time","1.536447",".0190883"
"33.time","1.044439",".8092927"
"34.time","1.215243",".3322216"
"35.time","1.326164",".1310394"
"36.time","1","."
"37.time",".9005706",".5683403"
"38.time",".864746",".4454445"
"39.time","1.066319",".7326797"
"40.time",".7960931",".2548081"
"41.time",".8486413",".3807291"
"42.time",".9485992",".7841963"
"43.time","1.132634",".5314228"
"44.time",".8125377",".2735235"
"45.time","1.002098",".9909688"
"46.time","1.074436",".6973384"
"47.time","1.293981",".1619868"
"48.time",".8129487",".2651626"
"49.time","1.143138",".4573573"
"50.time","1.073149",".7141831"
"51.time","1.343807",".1292273"
"52.time",".8180849",".3175072"
"53.time",".8381377",".366771"
"54.time",".6791198",".0561543"
"55.time",".9206854",".6911206"
"56.time",".9084597",".6488753"
"57.time",".6240766",".0206442"
"58.time",".7685614",".2173871"
"59.time",".9121904",".6444293"
"60.time",".8916716",".5762803"
"61.time",".8236139",".3573428"
"62.time",".8112864",".3442937"
"63.time","1.195755",".4007405"
"64.time",".5573348",".0119012"
"65.time",".9188111",".7056885"
"N","13003",""
