"","est1",""
"","b","p"
"dv_indicator","",""
"p47_c_lag_all","1.024167",".5996665"
"p48_c_lag_all","1.006791",".4542024"
"p71_c_lag_all","1.063263",".2291239"
"p72_c_lag_all",".9984543",".9495826"
"p75_c_lag_all","1.000175",".0470632"
"p77_c_lag_all",".9958187",".3071592"
"mine_time",".9966829",".307027"
"onsite_insp_hours","1.001096",".0000226"
"1.state","1.983252",".0026115"
"3.state",".9422385",".8364274"
"4.state","1.58041",".0002584"
"5.state","1.210708",".4176596"
"6.state","1","."
"7.state","1.518264",".2206234"
"8.state","1","."
"9.state","1.260606",".0213895"
"10.state","1.042256",".8694399"
"11.state","1.121604",".6837826"
"12.state","1.272286",".0491879"
"13.state","1.507836",".0228744"
"14.state",".6926939",".0257337"
"15.state",".7232007",".0004855"
"16.state","1.25235",".001392"
"17.state","2.927483","4.44e-16"
"1.time","1","."
"2.time",".9617488",".7994323"
"3.time","1.404015",".0240278"
"4.time",".8429385",".2724626"
"5.time",".9599821",".7953679"
"6.time",".8695299",".3855965"
"7.time","1.049182",".7633639"
"8.time","1.031521",".8451598"
"9.time",".9018344",".5203961"
"10.time",".7110275",".0514337"
"11.time",".969401",".8536145"
"12.time",".9239781",".6378352"
"13.time",".8979014",".5500175"
"14.time",".8805262",".4835268"
"15.time","1.020392",".9097084"
"16.time",".7260188",".0799913"
"17.time",".7981739",".1995128"
"18.time",".7559998",".0994629"
"19.time",".7120194",".0706153"
"20.time",".6300872",".015698"
"21.time",".6327961",".0172757"
"22.time",".7261927",".089017"
"23.time",".7633898",".1368515"
"24.time",".503399",".0003909"
"25.time",".8057611",".2438218"
"26.time",".615807",".0099897"
"27.time",".7477809",".1116047"
"28.time",".5931454",".0059816"
"29.time",".5978203",".0044378"
"30.time",".5145691",".0007686"
"31.time",".6886141",".050957"
"32.time",".7109209",".0731303"
"33.time",".48102",".0001055"
"34.time",".5104145",".0004939"
"35.time",".5755676",".0044423"
"36.time",".5210008",".0010747"
"37.time",".4352895",".0000528"
"38.time",".4501056",".0000693"
"39.time",".4756588",".0001659"
"40.time",".3561879","1.27e-06"
"41.time",".3719681","3.50e-06"
"42.time",".4197355",".0000141"
"43.time",".5192306",".0015022"
"44.time",".4600546",".0001225"
"45.time",".5179904",".0017286"
"46.time",".4973965",".0006741"
"47.time",".565091",".0046408"
"48.time",".3482409","3.26e-06"
"49.time",".4320551",".0000414"
"50.time",".4044638",".0000236"
"51.time",".6486981",".039172"
"52.time",".3556802","4.79e-06"
"53.time",".3005765","4.01e-08"
"54.time",".2635213","5.95e-09"
"55.time",".3379187","1.07e-06"
"56.time",".4116599",".000193"
"57.time",".2764805","4.76e-08"
"58.time",".3584545",".0000171"
"59.time",".4015973",".0000762"
"60.time",".4230344",".0002478"
"61.time",".3902571",".0001929"
"62.time",".3248885","7.87e-06"
"63.time",".4615198",".0022365"
"64.time",".2707404","9.66e-07"
"65.time",".3927645",".0003752"
"N","19290",""
