"","est1",""
"","b","p"
"dv","",""
"p47_ss_c_lag_all",".8887878",".3225711"
"p48_ss_c_lag_all","1.010743",".5014363"
"p71_ss_c_lag_all",".9421002",".5027252"
"p72_ss_c_lag_all","1.012583",".799358"
"p75_ss_c_lag_all","1.000085",".6453666"
"p77_ss_c_lag_all","1.004954",".4440205"
"mine_time",".9970898",".2474711"
"onsite_insp_hours",".9997603",".1089633"
"1.state","1.060182",".4962901"
"3.state",".6903646",".0476224"
"4.state","1.168831",".0664035"
"5.state",".9499322",".7495515"
"6.state","1","."
"7.state","1.152816",".4233262"
"8.state","5.44e-07","0"
"9.state",".7801296",".0002516"
"10.state","1.123732",".4457029"
"11.state",".8532562",".5460506"
"12.state",".8909401",".2342217"
"13.state","1.114156",".4625945"
"14.state",".6212671",".0000161"
"15.state",".6562367",".0002041"
"16.state","1.00031",".9962086"
"17.state","1.019853",".8189486"
"1.time","1","."
"2.time","1.081114",".4148106"
"3.time","1.293542",".007679"
"4.time",".961579",".7084784"
"5.time",".9872791",".8985645"
"6.time",".8945897",".3078013"
"7.time","1.05891",".5709787"
"8.time",".9128664",".3716675"
"9.time",".9731828",".7906783"
"10.time",".876847",".2688746"
"11.time","1.046214",".6598843"
"12.time",".93856",".5555111"
"13.time",".8274975",".0954348"
"14.time",".9400671",".5740219"
"15.time",".985653",".8996769"
"16.time",".7441904",".0081068"
"17.time",".9084695",".3843486"
"18.time",".8526652",".1421532"
"19.time",".8657128",".2083063"
"20.time",".7770648",".0384687"
"21.time",".6968717",".0015439"
"22.time",".8490609",".1529786"
"23.time",".8243012",".0880661"
"24.time",".6415764",".0001424"
"25.time",".738419",".0101589"
"26.time",".7166588",".0055635"
"27.time",".8283276",".1096642"
"28.time",".6443403",".0003514"
"29.time",".7072337",".003698"
"30.time",".6284902",".0004456"
"31.time",".7089126",".0025449"
"32.time",".7306341",".0093165"
"33.time",".5860748",".0000313"
"34.time",".5939058","8.53e-06"
"35.time",".7140741",".0073118"
"36.time",".6408413",".0003186"
"37.time",".6010029",".0000475"
"38.time",".5765961",".0000252"
"39.time",".6379771",".0008151"
"40.time",".4782232","7.66e-09"
"41.time",".5163133","6.16e-07"
"42.time",".5430475","2.66e-06"
"43.time",".6098527",".0002332"
"44.time",".54347","1.25e-06"
"45.time",".6221428",".0002828"
"46.time",".5494543","1.71e-06"
"47.time",".6408944",".000965"
"48.time",".5103835","7.21e-07"
"49.time",".6232098",".0003271"
"50.time",".543293","1.07e-06"
"51.time",".6346667",".0003661"
"52.time",".5534586",".0000184"
"53.time",".5655354",".0000493"
"54.time",".4680646","2.74e-07"
"55.time",".6705465",".0034456"
"56.time",".5316889","7.17e-06"
"57.time",".52313",".000025"
"58.time",".5874475",".0001069"
"59.time",".5986736",".0001446"
"60.time",".5885438",".000219"
"61.time",".5578579",".0001224"
"62.time",".5667959",".0003136"
"63.time",".6984913",".0165591"
"64.time",".4919081",".0000197"
"65.time",".6208849",".0014689"
"N","19291",""
