"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_ss_1lag",".7955904",".6715709"
"sp47_44_ss_1lag","1","."
"sp48_11_ss_1lag","1.059677",".7821219"
"sp48_25_ss_1lag","1.04472",".8929892"
"sp48_26_ss_1lag","1.105555",".687918"
"sp48_27_ss_1lag","1.545198",".0629084"
"sp48_28_ss_1lag",".8384861",".4939643"
"sp48_4_ss_1lag","1","."
"sp48_5_ss_1lag",".6368775",".2777907"
"sp48_6_ss_1lag",".6245198",".0590094"
"sp48_7_ss_1lag","1.25881",".2386921"
"sp48_8_ss_1lag","1.095375",".81636"
"sp71_701_ss_1lag","1","."
"sp72_503_ss_1lag",".6951438",".4122937"
"sp72_610_ss_1lag","1","."
"sp72_620_ss_1lag",".5313616",".3461389"
"sp72_630_ss_1lag","1.084638",".0213042"
"sp75_100_ss_1lag",".7559593",".6192816"
"sp75_1001_1_ss_1lag",".5733402",".7698058"
"sp75_1001_ss_1lag",".7655375",".8120987"
"sp75_1003_1_ss_1lag","1","."
"sp75_1100_2_ss_1lag","1.065162",".2350281"
"sp75_1101_20_ss_1lag","1","."
"sp75_1102_ss_1lag",".9536644",".7617836"
"sp75_1103_4_ss_1lag","1.089688",".4477956"
"sp75_1104_ss_1lag",".9351672",".8625171"
"sp75_1106_2_ss_1lag","1.027388",".8662174"
"sp75_1106_3_ss_1lag","1.188759",".0304453"
"sp75_1106_4_ss_1lag",".5751303",".1747353"
"sp75_1106_5_ss_1lag","1.097634",".662349"
"sp75_1106_6_ss_1lag","337.4687",".6523954"
"sp75_1106_ss_1lag",".9332582",".8148193"
"sp75_1107_14_ss_1lag","1","."
"sp75_1400_1_ss_1lag","1.232419",".8193585"
"sp75_1400_2_ss_1lag","1","."
"sp75_1400_3_ss_1lag",".769032",".4747944"
"sp75_1400_4_ss_1lag","1","."
"sp75_1400_ss_1lag","1.252069",".2330083"
"sp75_1401_ss_1lag","11.51416","8.40e-06"
"sp75_1403_10_ss_1lag","1.112429",".295049"
"sp75_1403_11_ss_1lag","1","."
"sp75_1403_3_ss_1lag","1","."
"sp75_1403_4_ss_1lag","1","."
"sp75_1403_5_ss_1lag",".9528688",".3955059"
"sp75_1403_6_ss_1lag",".9251624",".1648542"
"sp75_1403_7_ss_1lag","1.08015",".7513367"
"sp75_1403_8_ss_1lag",".9496273",".434773"
"sp75_1403_9_ss_1lag","1.897985",".5116691"
"sp75_1404_1_ss_1lag","1","."
"sp75_1404_ss_1lag",".4424241",".5596932"
"sp75_1405_1_ss_1lag","1","."
"sp75_1405_ss_1lag",".9428922",".4399747"
"sp75_1431_ss_1lag","1","."
"sp75_1432_ss_1lag","1","."
"sp75_1433_ss_1lag","1.666684",".5796083"
"sp75_1434_ss_1lag","1.372302",".491736"
"sp75_1435_ss_1lag","6.086314",".0294427"
"sp75_1437_ss_1lag","1.305296",".8050998"
"sp75_150_ss_1lag","1.625709",".7054761"
"sp75_151_ss_1lag",".0980561",".0351577"
"sp75_153_ss_1lag","1","."
"sp75_155_ss_1lag","1","."
"sp75_156_ss_1lag","1","."
"sp75_1600_2_ss_1lag",".9531955",".9138732"
"sp75_1712_10_ss_1lag","3.356162",".1135115"
"sp75_1712_6_ss_1lag","2.158707",".3156056"
"sp75_1720_ss_1lag",".9392218",".565096"
"sp75_1721_ss_1lag","1","."
"sp75_1725_ss_1lag","1.007419",".6575952"
"sp75_1726_ss_1lag","1.217307",".4515349"
"sp75_1727_ss_1lag","1","."
"sp75_1728_ss_1lag","1.841686",".4042393"
"sp75_1729_ss_1lag","1.319407",".5296878"
"sp75_1730_ss_1lag",".3004409",".0678003"
"sp75_1731_ss_1lag","1.003835",".8595551"
"sp75_1903_ss_1lag","1.278892",".6889834"
"sp75_1909_ss_1lag",".9810619",".7309048"
"sp75_1910_ss_1lag",".926684",".430558"
"sp75_1911_ss_1lag","1.039677",".7661985"
"sp75_1912_ss_1lag","1.547668",".4973946"
"sp75_1913_ss_1lag","1.161493",".695711"
"sp75_1914_ss_1lag","1.018718",".7806055"
"sp75_1915_ss_1lag","1","."
"sp75_202_ss_1lag","1.008589",".4135484"
"sp75_208_ss_1lag","1.044946",".4434835"
"sp75_211_ss_1lag",".9726426",".6820633"
"sp75_212_ss_1lag",".719826",".0373236"
"sp75_214_ss_1lag",".9397598",".8613567"
"sp75_312_ss_1lag",".9975424",".9941203"
"sp75_320_ss_1lag",".9654926",".8464682"
"sp75_324_ss_1lag","1.267906",".4808835"
"sp75_337_ss_1lag",".8146992",".1467279"
"sp75_340_ss_1lag","1.092972",".1523735"
"sp75_342_ss_1lag",".9705869",".4839524"
"sp75_344_ss_1lag","1.551313",".2143023"
"sp75_352_ss_1lag",".9613985",".8621618"
"sp75_382_ss_1lag","3.34409",".0290746"
"sp75_503_ss_1lag","1.023155",".2794826"
"sp75_504_ss_1lag","1.389354",".6714397"
"sp75_505_ss_1lag","1.071999",".9427967"
"sp75_506_1_ss_1lag",".4622403",".2978568"
"sp75_506_ss_1lag","2.278205",".2706882"
"sp75_507_ss_1lag","1.95813",".0029976"
"sp75_511_1_ss_1lag","1","."
"sp75_511_ss_1lag",".8372566",".2233326"
"sp75_512_1_ss_1lag","10.25203",".0011135"
"sp75_512_2_ss_1lag",".8113323",".1614384"
"sp75_512_ss_1lag","1.006986",".7521933"
"sp75_513_1_ss_1lag",".8345483",".8268481"
"sp75_513_ss_1lag","1.112078",".7289179"
"sp75_514_ss_1lag",".9798206",".8292009"
"sp75_515_ss_1lag",".9759116",".7466086"
"sp75_516_1_ss_1lag","1.248257",".7982606"
"sp75_516_2_ss_1lag",".7463985",".8346158"
"sp75_516_ss_1lag","1.282372",".0414922"
"sp75_517_1_ss_1lag","1.645617",".4126048"
"sp75_517_ss_1lag","1.00732",".7082045"
"sp75_518_1_ss_1lag",".683296",".0842389"
"sp75_518_ss_1lag","1.064955",".4185758"
"sp75_519_ss_1lag",".2292485",".3198431"
"sp75_520_ss_1lag",".849175",".2177892"
"sp75_523_1_ss_1lag",".8807269",".136523"
"sp75_523_2_ss_1lag","1.192575",".0252089"
"sp75_523_ss_1lag",".8226028",".0185163"
"sp75_600_1_ss_1lag","1","."
"sp75_600_ss_1lag","1","."
"sp75_601_1_ss_1lag","1.073321",".294637"
"sp75_601_2_ss_1lag","1","."
"sp75_601_3_ss_1lag","1.541289",".6634634"
"sp75_601_ss_1lag",".8768791",".1051142"
"sp75_602_ss_1lag","1.149007",".3385169"
"sp75_603_ss_1lag",".8191827",".2794767"
"sp75_604_ss_1lag","1.065815",".0086455"
"sp75_605_ss_1lag",".9360306",".5099474"
"sp75_606_ss_1lag","1.011832",".832433"
"sp75_607_ss_1lag","1.264942",".1872842"
"sp75_700_1_ss_1lag",".7221239",".6576545"
"sp75_700_ss_1lag",".7569639",".2403281"
"sp75_701_1_ss_1lag",".9359614",".7718137"
"sp75_701_2_ss_1lag","1.446812",".2558712"
"sp75_701_3_ss_1lag",".9331733",".8440055"
"sp75_701_4_ss_1lag","3.580424",".2653512"
"sp75_701_5_ss_1lag","1.244739",".6899228"
"sp75_701_ss_1lag","1.109512",".0977326"
"sp75_703_2_ss_1lag",".7014258",".3992494"
"sp75_703_3_ss_1lag","2.756061",".0296983"
"sp75_703_ss_1lag",".90966",".4765677"
"sp75_704_ss_1lag","3.055641",".2647699"
"sp75_705_1_ss_1lag",".5688611",".3150008"
"sp75_705_8_ss_1lag","1","."
"sp75_705_ss_1lag",".8834988",".8603975"
