"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_c_4lag",".9995223",".4227148"
"sp47_42_pp_c_4lag",".9966891",".1358208"
"sp47_44_pp_c_4lag",".9993456",".5448235"
"sp48_11_pp_c_4lag","1.001492",".0370339"
"sp48_24_pp_c_4lag",".9338498","0"
"sp48_25_pp_c_4lag","1.00147",".1534838"
"sp48_26_pp_c_4lag","1.00277",".0023407"
"sp48_27_pp_c_4lag","1.000465",".5846797"
"sp48_28_pp_c_4lag",".9996866",".8292461"
"sp48_4_pp_c_4lag","1.012677","1.19e-13"
"sp48_5_pp_c_4lag",".9999447",".9727479"
"sp48_6_pp_c_4lag","1.00096",".174195"
"sp48_7_pp_c_4lag",".9998736",".8185225"
"sp48_8_pp_c_4lag","1.00184",".0828063"
"sp71_701_pp_c_4lag","1.005811",".141183"
"sp72_503_pp_c_4lag",".9985775",".0997963"
"sp72_610_pp_c_4lag",".9997897",".9346342"
"sp72_620_pp_c_4lag","1.005419",".0212364"
"sp72_630_pp_c_4lag","1.000136",".1530849"
"sp75_100_pp_c_4lag","1.000785",".6237907"
"sp75_1001_1_pp_c_4lag",".9952485",".0124229"
"sp75_1001_pp_c_4lag","1","."
"sp75_1003_1_pp_c_4lag",".9917637",".0004443"
"sp75_1100_2_pp_c_4lag","1.000222",".0225465"
"sp75_1101_20_pp_c_4lag",".9945262",".0035835"
"sp75_1102_pp_c_4lag",".9985063",".0520267"
"sp75_1103_4_pp_c_4lag","1.0001",".5467487"
"sp75_1104_pp_c_4lag",".9991674",".1816912"
"sp75_1106_2_pp_c_4lag","1.000055",".9186685"
"sp75_1106_3_pp_c_4lag","1.000115",".5280327"
"sp75_1106_4_pp_c_4lag",".9985388",".4124463"
"sp75_1106_5_pp_c_4lag",".9998903",".8758145"
"sp75_1106_6_pp_c_4lag","1","."
"sp75_1106_pp_c_4lag","1.001297",".2547265"
"sp75_1107_14_pp_c_4lag","1.002184",".4558622"
"sp75_1400_1_pp_c_4lag",".9973449",".3071934"
"sp75_1400_2_pp_c_4lag","1.000795",".8226793"
"sp75_1400_3_pp_c_4lag","1.000577",".3245875"
"sp75_1400_4_pp_c_4lag",".9972276",".0586387"
"sp75_1400_pp_c_4lag",".9990771",".2344537"
"sp75_1401_1_pp_c_4lag","1.002374",".7304494"
"sp75_1401_pp_c_4lag",".9996518",".9087169"
"sp75_1403_10_pp_c_4lag","1.000075",".7774163"
"sp75_1403_11_pp_c_4lag",".9989382",".6604302"
"sp75_1403_3_pp_c_4lag",".994503",".0849488"
"sp75_1403_4_pp_c_4lag","1.006082",".1851074"
"sp75_1403_5_pp_c_4lag",".9999708",".8523587"
"sp75_1403_6_pp_c_4lag",".9999067",".4230207"
"sp75_1403_7_pp_c_4lag","1.000101",".8423313"
"sp75_1403_8_pp_c_4lag",".9998369",".2359626"
"sp75_1403_9_pp_c_4lag",".9996414",".4952399"
"sp75_1404_1_pp_c_4lag",".9889845",".1219458"
"sp75_1404_pp_c_4lag",".9994662",".919452"
"sp75_1405_1_pp_c_4lag",".9999234",".9734369"
"sp75_1405_pp_c_4lag",".9998095",".2891859"
"sp75_1431_pp_c_4lag","1","."
"sp75_1432_pp_c_4lag",".9990605",".5381586"
"sp75_1433_pp_c_4lag","1.00077",".5529729"
"sp75_1434_pp_c_4lag",".998039",".0598568"
"sp75_1435_pp_c_4lag",".9997663",".9545076"
"sp75_1437_pp_c_4lag","1.001952",".4981559"
"sp75_150_pp_c_4lag","1.004314",".0048776"
"sp75_151_pp_c_4lag",".9983373",".6673826"
"sp75_153_pp_c_4lag","1.002029",".1749292"
"sp75_156_pp_c_4lag","1.004726",".1110137"
"sp75_160_pp_c_4lag","1.006012",".1699687"
"sp75_1600_2_pp_c_4lag",".9994596",".0619576"
"sp75_1712_10_pp_c_4lag",".9980098",".0250763"
"sp75_1712_6_pp_c_4lag","1.000738",".2019645"
"sp75_1720_pp_c_4lag","1.000018",".9625703"
"sp75_1721_pp_c_4lag","1.014777",".0011113"
"sp75_1725_pp_c_4lag","1.000021",".6818503"
"sp75_1726_pp_c_4lag","1.000862",".3760067"
"sp75_1727_pp_c_4lag",".5846674","0"
"sp75_1728_pp_c_4lag","1.00484",".0161363"
"sp75_1729_pp_c_4lag","1.000566",".7228379"
"sp75_1730_pp_c_4lag","1.003239",".036529"
"sp75_1731_pp_c_4lag","1.00001",".7417647"
"sp75_1903_pp_c_4lag",".9999855",".9775969"
"sp75_1909_pp_c_4lag","1.000069",".4406333"
"sp75_1910_pp_c_4lag","1.000111",".3992231"
"sp75_1911_pp_c_4lag",".9997156",".0965189"
"sp75_1912_pp_c_4lag","1.00062",".5451084"
"sp75_1913_pp_c_4lag","1.000336",".8531985"
"sp75_1914_pp_c_4lag","1.000066",".500494"
"sp75_1915_pp_c_4lag","1.002659",".0408282"
"sp75_202_pp_c_4lag",".999977",".4369899"
"sp75_208_pp_c_4lag",".9999311",".743621"
"sp75_211_pp_c_4lag","1.00021",".2956299"
"sp75_212_pp_c_4lag",".9994193",".2331446"
"sp75_214_pp_c_4lag","1.000206",".6615523"
"sp75_312_pp_c_4lag",".9998053",".6651907"
"sp75_320_pp_c_4lag",".9995503",".1045426"
"sp75_324_pp_c_4lag",".9999522",".9518754"
"sp75_337_pp_c_4lag","1.000261",".4053075"
"sp75_340_pp_c_4lag","1.000139",".4170411"
"sp75_341_pp_c_4lag",".9872828",".0780191"
"sp75_342_pp_c_4lag",".9999974",".9729644"
"sp75_344_pp_c_4lag",".9977974",".0749955"
"sp75_352_pp_c_4lag",".9992844",".2386375"
"sp75_382_pp_c_4lag",".9990377",".0705003"
"sp75_503_pp_c_4lag",".9999822",".6696416"
"sp75_504_pp_c_4lag","1.001195",".3907278"
"sp75_505_pp_c_4lag","1.001394",".505385"
"sp75_506_1_pp_c_4lag","1.002099",".1285026"
"sp75_506_pp_c_4lag",".9987477",".2191803"
"sp75_507_pp_c_4lag",".9994609",".3506714"
"sp75_511_1_pp_c_4lag","1","."
"sp75_511_pp_c_4lag","1.000661",".2515646"
"sp75_512_1_pp_c_4lag",".9909082",".1035844"
"sp75_512_2_pp_c_4lag","1.000462",".0119044"
"sp75_512_pp_c_4lag",".9999477",".4001553"
"sp75_513_1_pp_c_4lag","1.00002",".9921299"
"sp75_513_pp_c_4lag",".9988904",".206373"
"sp75_514_pp_c_4lag","1.000013",".9480068"
"sp75_515_pp_c_4lag",".9997059",".0320701"
"sp75_516_1_pp_c_4lag",".9974369",".3610502"
"sp75_516_2_pp_c_4lag","1.000146",".7193678"
"sp75_516_pp_c_4lag",".9999422",".8212667"
"sp75_517_1_pp_c_4lag","1.005115",".0076777"
"sp75_517_pp_c_4lag",".9999604",".3988574"
"sp75_518_1_pp_c_4lag","1.000026",".9291297"
"sp75_518_pp_c_4lag","1.000145",".434794"
"sp75_519_pp_c_4lag",".9974755",".4442685"
"sp75_520_pp_c_4lag","1.000376",".2479317"
"sp75_523_1_pp_c_4lag",".9981134",".0012736"
"sp75_523_2_pp_c_4lag",".9997799",".5649352"
"sp75_523_pp_c_4lag","1.000008",".988529"
"sp75_600_1_pp_c_4lag",".998135",".4977504"
"sp75_600_pp_c_4lag","1.002668",".4591965"
"sp75_601_1_pp_c_4lag","1.000075",".6908762"
"sp75_601_2_pp_c_4lag",".9999183",".9734106"
"sp75_601_3_pp_c_4lag",".998056",".306559"
"sp75_601_pp_c_4lag","1.000106",".66194"
"sp75_602_pp_c_4lag","1.000283",".6885164"
"sp75_603_pp_c_4lag",".9995556",".504034"
"sp75_604_pp_c_4lag","1.000162",".0164961"
"sp75_605_pp_c_4lag","1.000439",".06984"
"sp75_606_pp_c_4lag","1.000058",".6023517"
"sp75_607_pp_c_4lag","1.00027",".6703843"
"sp75_700_1_pp_c_4lag",".9989206",".6570319"
"sp75_700_pp_c_4lag",".9991581",".2576824"
"sp75_701_1_pp_c_4lag",".9986038",".1076348"
"sp75_701_2_pp_c_4lag","1.000718",".4107205"
"sp75_701_3_pp_c_4lag","1.001591",".0600593"
"sp75_701_4_pp_c_4lag","1.004208",".0917697"
"sp75_701_pp_c_4lag","1.00009",".5954845"
"sp75_702_1_pp_c_4lag",".9967461",".2177925"
"sp75_702_pp_c_4lag",".999449",".7935831"
"sp75_703_1_pp_c_4lag","1.002263",".5615067"
"sp75_703_2_pp_c_4lag","1.013424",".0238898"
"sp75_703_3_pp_c_4lag","1.000556",".666705"
"sp75_703_4_pp_c_4lag","1.00679",".3380094"
"sp75_703_pp_c_4lag","1.000976",".0129091"
"sp75_704_pp_c_4lag",".9979267",".377824"
