"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp",".9968221",".2039275"
"p48_pp","1.001526",".1332339"
"p71_pp","1.003522",".3261835"
"p72_pp","1.001861",".4841388"
"p75_pp","1.00005",".0179524"
"p77_pp","1.000466",".197515"
"mine_time",".9993946",".9670616"
"onsite_insp_hours","1.000545",".0063242"
"1.state","1.621806",".2851559"
"2.state","3.983378","0"
"3.state",".6614442",".4221698"
"4.state","2.332207",".0031138"
"5.state","1.012731",".9715079"
"6.state",".8890575",".3544615"
"7.state","1.346538",".2512237"
"8.state",".5293401",".0005594"
"9.state","1","."
"10.state",".5314941",".1067376"
"11.state",".4867937",".0980811"
"12.state","1.027471",".9087945"
"13.state","1.903588",".2485151"
"14.state",".7798179",".5181231"
"15.state",".6109743",".0007072"
"16.state","1","."
"17.state","1","."
"8.time","1.260625",".1370265"
"9.time","1","."
"10.time",".5172288",".0000248"
"11.time",".7218228",".050801"
"12.time",".8660128",".3428857"
"13.time",".7653741",".1267387"
"14.time",".5409706",".0012183"
"15.time",".4530464",".0000747"
"16.time",".6072115",".0094392"
"N","3315",""
