"","est1",""
"","b","p"
"dv","",""
"p47_pp_c_4lag",".9994424",".0849125"
"p48_pp_c_4lag","1.000065",".2569083"
"p71_pp_c_4lag",".9997762",".4802817"
"p72_pp_c_4lag",".9998643",".3934359"
"p75_pp_c_4lag","1.000004",".0007261"
"p77_pp_c_4lag",".9999951",".8903619"
"mine_time",".9891767",".1709665"
"onsite_insp_hours",".9998581",".0116219"
"1.state","1.321968",".0439478"
"2.state","2.241484","0"
"3.state",".7204326",".0317939"
"4.state","1.173211",".0694211"
"5.state",".967551",".8701081"
"6.state","1.016524",".7954596"
"7.state","1.155351",".4614959"
"8.state",".8022742",".000479"
"9.state",".8504168",".0379838"
"10.state",".8963681",".5223101"
"11.state",".832384",".6996573"
"12.state",".9598438",".7416611"
"13.state","1.233509",".21829"
"14.state",".6669566",".05443"
"15.state",".6771323",".0000167"
"16.state","1","."
"17.state","1.060346",".3248224"
"8.time","1.162591",".0174988"
"9.time","1","."
"10.time",".854333",".0091933"
"11.time",".8828323",".0569513"
"12.time",".9407618",".3086276"
"13.time",".9562975",".490572"
"14.time",".8439825",".0215118"
"15.time",".8232562",".0128348"
"16.time",".8663516",".0698022"
"N","3333",""
