"","est1",""
"","b","p"
"dv","",""
"p47_ss_c_lag_all",".9857454",".7019136"
"p48_ss_c_lag_all","1.004444",".2682115"
"p71_ss_c_lag_all",".9840016",".5077277"
"p72_ss_c_lag_all",".9954778",".7019174"
"p75_ss_c_lag_all","1.000018",".6679209"
"p77_ss_c_lag_all","1.001357",".4205213"
"mine_time",".9909813",".2599606"
"onsite_insp_hours",".9999356",".1396163"
"1.state","1.02258",".8052065"
"2.state","1.931064","0"
"3.state",".7010605",".0593771"
"4.state","1.110518",".1711861"
"5.state",".8836614",".4439325"
"6.state",".9388927",".2317924"
"7.state",".9760654",".9138044"
"8.state",".9459949",".2508223"
"9.state",".7432362","2.26e-08"
"10.state",".9079402",".5470573"
"11.state",".8627273",".5364019"
"12.state",".9370492",".4590044"
"13.state","1.290634",".0918097"
"14.state",".61143",".0007886"
"15.state",".6636115","1.25e-07"
"16.state","1","."
"17.state",".9520689",".5078605"
"1.time","1.089488",".1526791"
"2.time","1","."
"3.time",".9815559",".755861"
"4.time",".8759204",".0388709"
"5.time",".8841706",".058674"
"6.time",".7776275",".0000693"
"7.time",".7807098",".0003905"
"8.time",".7269181","9.62e-06"
"9.time",".6594025","4.87e-09"
"10.time",".5612717","1.11e-13"
"11.time",".5674271","1.83e-12"
"12.time",".5988446","1.17e-10"
"13.time",".6053212","6.53e-10"
"14.time",".5265903","2.94e-12"
"15.time",".5122116","2.81e-12"
"16.time",".5358617","1.37e-09"
"N","6253",""
