"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_ss_c_4lag",".4519099",".0131171"
"sp47_44_ss_c_4lag","1","."
"sp48_11_ss_c_4lag","1.005595",".9598349"
"sp48_25_ss_c_4lag","1.186926",".3033545"
"sp48_26_ss_c_4lag","1.274434",".0055723"
"sp48_27_ss_c_4lag",".901699",".2931665"
"sp48_28_ss_c_4lag",".8328927",".1694742"
"sp48_4_ss_c_4lag","2.442973",".2179029"
"sp48_5_ss_c_4lag","1.122281",".392721"
"sp48_6_ss_c_4lag",".7906188",".0115041"
"sp48_7_ss_c_4lag","1.147084",".188526"
"sp48_8_ss_c_4lag","1.126175",".3563316"
"sp71_701_ss_c_4lag","1","."
"sp72_503_ss_c_4lag",".7680858",".1202837"
"sp72_610_ss_c_4lag","1","."
"sp72_620_ss_c_4lag","1.357508",".5614633"
"sp72_630_ss_c_4lag","1.006516",".6276585"
"sp75_100_ss_c_4lag","1.07901",".7933891"
"sp75_1001_1_ss_c_4lag","1","."
"sp75_1001_ss_c_4lag",".8459671",".7825206"
"sp75_1003_1_ss_c_4lag","1","."
"sp75_1100_2_ss_c_4lag","1.011161",".6096556"
"sp75_1101_20_ss_c_4lag","1","."
"sp75_1102_ss_c_4lag",".9919205",".8785316"
"sp75_1103_4_ss_c_4lag","1.030008",".4108604"
"sp75_1104_ss_c_4lag",".8246617",".2404407"
"sp75_1106_2_ss_c_4lag",".9481209",".4966787"
"sp75_1106_3_ss_c_4lag","1.072854",".1071263"
"sp75_1106_4_ss_c_4lag",".7639326",".20863"
"sp75_1106_5_ss_c_4lag",".8702183",".1193477"
"sp75_1106_6_ss_c_4lag","1","."
"sp75_1106_ss_c_4lag","1.678815",".1305829"
"sp75_1107_14_ss_c_4lag","1","."
"sp75_1400_1_ss_c_4lag","1","."
"sp75_1400_2_ss_c_4lag","1","."
"sp75_1400_3_ss_c_4lag",".9440136",".7669007"
"sp75_1400_4_ss_c_4lag","1","."
"sp75_1400_ss_c_4lag","1.381262",".1206679"
"sp75_1401_ss_c_4lag",".5718337",".1678458"
"sp75_1403_10_ss_c_4lag","1.118698",".0889168"
"sp75_1403_11_ss_c_4lag","1","."
"sp75_1403_3_ss_c_4lag","1","."
"sp75_1403_4_ss_c_4lag","1","."
"sp75_1403_5_ss_c_4lag",".9897594",".803667"
"sp75_1403_6_ss_c_4lag",".9672428",".3556786"
"sp75_1403_7_ss_c_4lag","1.196443",".1718437"
"sp75_1403_8_ss_c_4lag",".9949803",".9154816"
"sp75_1403_9_ss_c_4lag","1","."
"sp75_1404_1_ss_c_4lag",".7046594",".3482907"
"sp75_1404_ss_c_4lag","1","."
"sp75_1405_1_ss_c_4lag","1.248895",".2839674"
"sp75_1405_ss_c_4lag","1.050591",".2835048"
"sp75_1431_ss_c_4lag","1","."
"sp75_1432_ss_c_4lag","1","."
"sp75_1433_ss_c_4lag",".8692151",".5025222"
"sp75_1434_ss_c_4lag",".6784243",".0517829"
"sp75_1435_ss_c_4lag",".1613383",".045674"
"sp75_1437_ss_c_4lag","1","."
"sp75_150_ss_c_4lag","1","."
"sp75_151_ss_c_4lag","1","."
"sp75_153_ss_c_4lag","1","."
"sp75_155_ss_c_4lag","1","."
"sp75_156_ss_c_4lag",".9484257",".7911147"
"sp75_1600_2_ss_c_4lag",".9329224",".6918969"
"sp75_1712_10_ss_c_4lag","1.127903",".8287647"
"sp75_1712_6_ss_c_4lag","1","."
"sp75_1720_ss_c_4lag","1.042836",".321786"
"sp75_1721_ss_c_4lag","1","."
"sp75_1725_ss_c_4lag","1.007691",".273267"
"sp75_1726_ss_c_4lag","1.17674",".2849073"
"sp75_1727_ss_c_4lag","1","."
"sp75_1728_ss_c_4lag","1.218333",".5659937"
"sp75_1729_ss_c_4lag","1","."
"sp75_1730_ss_c_4lag",".8345572",".3873909"
"sp75_1731_ss_c_4lag",".9805387",".0009293"
"sp75_1903_ss_c_4lag","1.006748",".974515"
"sp75_1909_ss_c_4lag",".9858369",".6188455"
"sp75_1910_ss_c_4lag",".9840641",".7568791"
"sp75_1911_ss_c_4lag","1.067118",".2378491"
"sp75_1912_ss_c_4lag","1.219101",".6329848"
"sp75_1913_ss_c_4lag","1.171385",".3188934"
"sp75_1914_ss_c_4lag",".9939705",".8308486"
"sp75_1915_ss_c_4lag","1","."
"sp75_202_ss_c_4lag","1.008299",".0105239"
"sp75_208_ss_c_4lag",".9894288",".6164874"
"sp75_211_ss_c_4lag",".9664524",".127797"
"sp75_212_ss_c_4lag","1.016806",".859393"
"sp75_214_ss_c_4lag","1.060907",".6272935"
"sp75_312_ss_c_4lag",".8491785",".1823404"
"sp75_320_ss_c_4lag",".9769581",".827242"
"sp75_324_ss_c_4lag","1.021088",".8726403"
"sp75_337_ss_c_4lag",".8734815",".0478805"
"sp75_340_ss_c_4lag","1.020502",".482512"
"sp75_342_ss_c_4lag",".9979518",".9047363"
"sp75_344_ss_c_4lag",".723393",".0526778"
"sp75_352_ss_c_4lag","1.046911",".8455233"
"sp75_382_ss_c_4lag","1.614491",".2059883"
"sp75_503_ss_c_4lag","1.022644",".0090548"
"sp75_504_ss_c_4lag",".8182735",".4019242"
"sp75_505_ss_c_4lag","1.104817",".8486623"
"sp75_506_1_ss_c_4lag","1.167836",".5727757"
"sp75_506_ss_c_4lag","1.331114",".3440258"
"sp75_507_ss_c_4lag","1.125985",".2789235"
"sp75_511_1_ss_c_4lag",".4628675",".2062469"
"sp75_511_ss_c_4lag","1.000822",".9890513"
"sp75_512_1_ss_c_4lag","1.429665",".4622009"
"sp75_512_2_ss_c_4lag","1.010052",".9008602"
"sp75_512_ss_c_4lag","1.002972",".770201"
"sp75_513_1_ss_c_4lag","1","."
"sp75_513_ss_c_4lag",".7864255",".1803597"
"sp75_514_ss_c_4lag",".985164",".699138"
"sp75_515_ss_c_4lag",".9602739",".171695"
"sp75_516_1_ss_c_4lag","1","."
"sp75_516_2_ss_c_4lag","2.462241",".0254313"
"sp75_516_ss_c_4lag","1.037827",".4998003"
"sp75_517_1_ss_c_4lag","1.346976",".4471312"
"sp75_517_ss_c_4lag",".9957423",".4348191"
"sp75_518_1_ss_c_4lag",".9317786",".409805"
"sp75_518_ss_c_4lag","1.029042",".3894405"
"sp75_519_ss_c_4lag","1","."
"sp75_520_ss_c_4lag",".9528682",".3367266"
"sp75_523_1_ss_c_4lag",".9972337",".9356099"
"sp75_523_2_ss_c_4lag","1.045453",".1203539"
"sp75_523_ss_c_4lag",".9610536",".1425008"
"sp75_600_1_ss_c_4lag",".8726947",".2743004"
"sp75_600_ss_c_4lag","1","."
"sp75_601_1_ss_c_4lag",".9790355",".4296842"
"sp75_601_2_ss_c_4lag","1","."
"sp75_601_3_ss_c_4lag",".7423676",".2826807"
"sp75_601_ss_c_4lag",".96321",".2071798"
"sp75_602_ss_c_4lag",".8697247",".0575092"
"sp75_603_ss_c_4lag","1.112786",".3348771"
"sp75_604_ss_c_4lag","1.012841",".1815826"
"sp75_605_ss_c_4lag","1.010945",".7767534"
"sp75_606_ss_c_4lag",".9755211",".1353492"
"sp75_607_ss_c_4lag","1.030669",".6322838"
"sp75_700_1_ss_c_4lag",".7121688",".1200118"
"sp75_700_ss_c_4lag",".9821714",".8772757"
"sp75_701_1_ss_c_4lag",".9292347",".3711454"
"sp75_701_2_ss_c_4lag","1.141123",".3290024"
"sp75_701_3_ss_c_4lag","1","."
"sp75_701_4_ss_c_4lag","1","."
