"","est1",""
"","b","p"
"dv","",""
"sp47_41_ss_1lag",".623365",".0917511"
"sp47_44_ss_1lag","1.078017",".632846"
"sp48_11_ss_1lag",".9611177",".5321476"
"sp48_25_ss_1lag",".9775703",".8285407"
"sp48_26_ss_1lag","1.139848",".0296435"
"sp48_27_ss_1lag","1.049227",".5621744"
"sp48_28_ss_1lag",".8232374",".0965788"
"sp48_4_ss_1lag","2.300916","4.03e-11"
"sp48_5_ss_1lag",".9667193",".7077417"
"sp48_6_ss_1lag",".9470639",".5947588"
"sp48_7_ss_1lag","1.158804",".0147649"
"sp48_8_ss_1lag","1.087086",".5756874"
"sp71_701_ss_1lag","2.378668",".0004076"
"sp72_503_ss_1lag",".969697",".8990428"
"sp72_610_ss_1lag",".7445665",".3109797"
"sp72_620_ss_1lag","1.438665",".1261423"
"sp72_630_ss_1lag","1.020036",".0552888"
"sp75_100_ss_1lag","1.222809",".3915476"
"sp75_1001_1_ss_1lag","1.561775",".5472601"
"sp75_1001_ss_1lag","1.665786",".3777127"
"sp75_1003_1_ss_1lag",".6371984",".0212725"
"sp75_1100_2_ss_1lag","1.021701",".1280088"
"sp75_1101_20_ss_1lag",".7503878",".0197065"
"sp75_1102_ss_1lag",".9034514",".0803777"
"sp75_1103_4_ss_1lag","1.045939",".1544051"
"sp75_1104_ss_1lag","1.083916",".5690549"
"sp75_1106_2_ss_1lag",".9653131",".5756794"
"sp75_1106_3_ss_1lag","1.04913",".1018556"
"sp75_1106_4_ss_1lag","1.040661",".8134729"
"sp75_1106_5_ss_1lag",".9438751",".4822245"
"sp75_1106_6_ss_1lag",".4862823",".0614838"
"sp75_1106_ss_1lag",".8788419",".2627999"
"sp75_1107_14_ss_1lag","1.573045",".1046173"
"sp75_1400_1_ss_1lag",".8445873",".4017861"
"sp75_1400_2_ss_1lag",".4969673",".2914641"
"sp75_1400_3_ss_1lag",".9614882",".7226224"
"sp75_1400_4_ss_1lag",".7200537",".1061635"
"sp75_1400_ss_1lag","1.114605",".0783628"
"sp75_1401_ss_1lag","1.16926",".5131917"
"sp75_1403_10_ss_1lag",".9947589",".7870556"
"sp75_1403_11_ss_1lag","3.277519",".0025911"
"sp75_1403_3_ss_1lag","1.075469",".8913792"
"sp75_1403_4_ss_1lag","1.013543",".9564181"
"sp75_1403_5_ss_1lag",".9786245",".0623186"
"sp75_1403_6_ss_1lag","1.00334",".772237"
"sp75_1403_7_ss_1lag",".9994912",".9921923"
"sp75_1403_8_ss_1lag",".9740483",".3575941"
"sp75_1403_9_ss_1lag",".8909916",".3017306"
"sp75_1404_1_ss_1lag",".5426947",".0567659"
"sp75_1404_ss_1lag",".6672543",".1343381"
"sp75_1405_1_ss_1lag","1.616932",".4730908"
"sp75_1405_ss_1lag","1.004034",".8181821"
"sp75_1431_ss_1lag","1.032415",".9207484"
"sp75_1432_ss_1lag","1.51e-10","0"
"sp75_1433_ss_1lag","1.147316",".440912"
"sp75_1434_ss_1lag","1.109998",".2783987"
"sp75_1435_ss_1lag","1.059566",".8893109"
"sp75_1437_ss_1lag","1.437775",".1719172"
"sp75_150_ss_1lag","1.264404",".3535052"
"sp75_151_ss_1lag",".8463558",".370209"
"sp75_153_ss_1lag","2.136943",".4234154"
"sp75_155_ss_1lag","1.071008",".8591773"
"sp75_156_ss_1lag","1.806737",".0482387"
"sp75_1600_2_ss_1lag",".7720156",".0359082"
"sp75_1712_10_ss_1lag",".961547",".8214245"
"sp75_1712_6_ss_1lag","1.077471",".8865625"
"sp75_1720_ss_1lag","1.019415",".5959194"
"sp75_1721_ss_1lag","2.19e-10","0"
"sp75_1725_ss_1lag","1.001004",".829667"
"sp75_1726_ss_1lag","1.165244",".1162718"
"sp75_1727_ss_1lag","1.216245",".2614648"
"sp75_1728_ss_1lag","1.587874",".002542"
"sp75_1729_ss_1lag","1.195895",".2938716"
"sp75_1730_ss_1lag",".8055179",".1873611"
"sp75_1731_ss_1lag","1.002686",".5669047"
"sp75_1903_ss_1lag",".9897126",".9360545"
"sp75_1909_ss_1lag","1.015898",".2982534"
"sp75_1910_ss_1lag",".9919014",".7542782"
"sp75_1911_ss_1lag",".9474606",".1752328"
"sp75_1912_ss_1lag","1.453495",".2483509"
"sp75_1913_ss_1lag","1.170658",".0052169"
"sp75_1914_ss_1lag","1.026404",".0449784"
"sp75_1915_ss_1lag","1.101294",".7011808"
"sp75_202_ss_1lag","1.00202",".482033"
"sp75_208_ss_1lag","1.017275",".368015"
"sp75_211_ss_1lag","1.00432",".8114361"
"sp75_212_ss_1lag",".9729391",".5701948"
"sp75_214_ss_1lag","1.112244",".4412714"
"sp75_312_ss_1lag","1.037679",".7991674"
"sp75_320_ss_1lag","1.008767",".8706543"
"sp75_324_ss_1lag","1.00874",".872842"
"sp75_337_ss_1lag","1.060527",".1231564"
"sp75_340_ss_1lag","1.023471",".1677911"
"sp75_342_ss_1lag","1.003216",".759526"
"sp75_344_ss_1lag",".9321358",".4990195"
"sp75_352_ss_1lag","1.043449",".4905332"
"sp75_382_ss_1lag","1.203757",".1196801"
"sp75_503_ss_1lag",".9934153",".2204537"
"sp75_504_ss_1lag",".6438182",".0482417"
"sp75_505_ss_1lag",".956645",".8596034"
"sp75_506_1_ss_1lag","1.149953",".6051431"
"sp75_506_ss_1lag",".9185766",".6465432"
"sp75_507_ss_1lag","1.06286",".4283705"
"sp75_511_1_ss_1lag",".2658418",".000066"
"sp75_511_ss_1lag","1.109934",".0513838"
"sp75_512_1_ss_1lag","1.997447",".0812776"
"sp75_512_2_ss_1lag","1.027426",".563449"
"sp75_512_ss_1lag","1.009216",".2114132"
"sp75_513_1_ss_1lag","1.225039",".5019274"
"sp75_513_ss_1lag",".7714984",".0334067"
"sp75_514_ss_1lag","1.035641",".1619429"
"sp75_515_ss_1lag",".9059742",".000206"
"sp75_516_1_ss_1lag",".6300181",".1219332"
"sp75_516_2_ss_1lag",".8631728",".6507502"
"sp75_516_ss_1lag","1.045783",".3857121"
"sp75_517_1_ss_1lag",".7750651",".2807817"
"sp75_517_ss_1lag","1.000209",".9618487"
"sp75_518_1_ss_1lag",".8862426",".0582871"
"sp75_518_ss_1lag","1.055927",".0080329"
"sp75_519_ss_1lag",".8430473",".8462252"
"sp75_520_ss_1lag",".968268",".3820665"
"sp75_523_1_ss_1lag",".966791",".2836827"
"sp75_523_2_ss_1lag","1.023626",".4389875"
"sp75_523_ss_1lag",".9056881",".0030899"
"sp75_600_1_ss_1lag",".7368848",".0460314"
"sp75_600_ss_1lag",".6242631",".0004352"
"sp75_601_1_ss_1lag",".9958408",".8699808"
"sp75_601_2_ss_1lag",".9188921",".8202479"
"sp75_601_3_ss_1lag","1.049811",".9130831"
"sp75_601_ss_1lag","1.046234",".0736658"
"sp75_602_ss_1lag","1.046147",".4970154"
"sp75_603_ss_1lag","1.021044",".7817179"
"sp75_604_ss_1lag","1.022162",".00062"
"sp75_605_ss_1lag","1.038307",".2566621"
"sp75_606_ss_1lag",".9901548",".5747449"
"sp75_607_ss_1lag","1.026004",".6583037"
"sp75_700_1_ss_1lag",".5352203",".0025807"
"sp75_700_ss_1lag",".8656562",".0174196"
"sp75_701_1_ss_1lag",".9044998",".1879653"
"sp75_701_2_ss_1lag","1.190131",".0791243"
"sp75_701_3_ss_1lag","1.127354",".2259685"
"sp75_701_4_ss_1lag","2.28328",".0488207"
"sp75_701_5_ss_1lag",".846488",".0397497"
"sp75_701_ss_1lag","1.028112",".1738876"
"sp75_703_2_ss_1lag","1.00945",".9521608"
"sp75_703_3_ss_1lag","1.121968",".41467"
"sp75_703_ss_1lag",".9966862",".9497359"
"sp75_704_ss_1lag","1.008077",".9909817"
"sp75_705_1_ss_1lag",".8346527",".0411549"
"sp75_705_8_ss_1lag","1.23e-10","0"
"sp75_705_ss_1lag","1.182315",".1972194"
"sp75_706_ss_1lag",".969985",".8008913"
"sp75_800_2_ss_1lag","5.83e-11","0"
"sp75_800_3_ss_1lag",".7896545",".5199758"
"sp75_800_4_ss_1lag","3.857473",".0006327"
"sp75_800_ss_1lag","1.009134",".9049832"
"sp75_801_ss_1lag",".7141542",".2130953"
"sp75_802_ss_1lag",".6969435",".2701491"
"sp75_803_2_ss_1lag","1.338225",".3097376"
"sp75_803_ss_1lag",".990022",".9114257"
"sp75_804_ss_1lag",".9730338",".6426953"
"sp75_805_ss_1lag",".7647047",".0551617"
"sp75_806_ss_1lag","1.010738",".9634286"
"sp75_807_ss_1lag","1.040102",".1068645"
"sp75_808_ss_1lag",".9341555",".6272323"
"sp75_809_ss_1lag",".9720822",".6483459"
