"","est1",""
"","b","p"
"dv_indicator","",""
"p48_pp_c_4lag","1.000494",".3282345"
"p75_pp_c_4lag","1.000058","2.38e-08"
"mine_time","1.000896",".7412634"
"onsite_insp_hours","1.001608",".0016278"
"1.state",".8684761",".741184"
"2.state","1.796306","1.30e-08"
"3.state",".8648027",".4077392"
"4.state","2.204546",".0131731"
"5.state",".9371209",".682847"
"6.state",".6408083","4.44e-06"
"7.state","1.236721",".4432588"
"8.state",".1959333","0"
"9.state","1","."
"10.state",".8577787",".5428162"
"11.state","1.454938",".2747472"
"12.state","1.114868",".4569801"
"13.state","1.327387",".4421824"
"14.state",".32324",".0008651"
"15.state",".5582984","1.01e-07"
"16.state","1","."
"17.state","1","."
"29.time","1.344136",".0535747"
"30.time","1.318645",".0712454"
"31.time","1.550414",".0045488"
"32.time","1.259387",".135262"
"33.time","1.136342",".438542"
"34.time","1.123027",".4628179"
"35.time","1.076329",".6252433"
"36.time","1","."
"37.time","1.011105",".9477496"
"38.time",".9789286",".8998331"
"39.time","1.057338",".7375808"
"40.time",".8299986",".2682725"
"41.time","1.024697",".8918113"
"42.time",".9205814",".6206686"
"43.time","1.272148",".1685997"
"44.time",".7740907",".1577092"
"45.time",".8443437",".2979984"
"46.time","1.002548",".9882301"
"47.time","1.313565",".1209266"
"48.time",".8171514",".2467206"
"49.time",".9046614",".5527238"
"50.time","1.004591",".9786867"
"51.time",".9624565",".8321334"
"52.time",".4959328",".0000781"
"53.time",".8117881",".2452713"
"54.time",".8144972",".2764766"
"55.time",".8579323",".4170088"
"56.time",".5153495",".0005433"
"57.time",".6563275",".036628"
"58.time",".6608251",".0302524"
"59.time",".7198148",".1119882"
"60.time",".8383993",".3909512"
"61.time",".6534849",".0322823"
"62.time",".5230117",".0015506"
"63.time",".9496735",".802403"
"64.time",".606016",".0167533"
"65.time",".4147128",".0001702"
"N","12929",""
