"","est1",""
"","b","p"
"dv","",""
"p48_pp_c_4lag","1.000048",".6028712"
"p75_pp_c_4lag","1.000008",".0001883"
"mine_time",".9992687",".6196659"
"onsite_insp_hours",".9993041","2.00e-08"
"1.state","1.035647",".7461296"
"2.state","1.8299","0"
"3.state",".6172479",".0000143"
"4.state","1.058184",".4329849"
"5.state",".8461315",".0681202"
"6.state",".8824962",".0197774"
"7.state","1.159468",".2779168"
"8.state",".4456098","0"
"9.state",".6439854","0"
"10.state",".8631632",".1370835"
"11.state","1.314165",".3177641"
"12.state","1.13799",".1246012"
"13.state","1.484656",".0258212"
"14.state",".4599891",".0002402"
"15.state",".7293693","9.27e-06"
"16.state","1","."
"17.state",".5965983","0"
"29.time","1.153236",".0404948"
"30.time","1.188486",".0274006"
"31.time","1.422123","7.20e-07"
"32.time","1.222336",".0018208"
"33.time","1.089558",".1744962"
"34.time","1.07133",".3068349"
"35.time","1.22361",".0006884"
"36.time","1","."
"37.time",".9691279",".5813422"
"38.time",".9439504",".3936159"
"39.time","1.081308",".1950166"
"40.time",".918184",".1965319"
"41.time",".9202553",".2630514"
"42.time",".9282378",".4063659"
"43.time","1.162118",".0256321"
"44.time",".9140523",".2052455"
"45.time",".9197552",".200903"
"46.time",".8685322",".0356951"
"47.time","1.008565",".8888472"
"48.time",".7786634",".0001357"
"49.time",".869152",".0456671"
"50.time",".761345",".0000269"
"51.time",".891346",".1193353"
"52.time",".6917913","2.45e-06"
"53.time",".7787159",".0006649"
"54.time",".7517375",".0002833"
"55.time",".87603",".0954252"
"56.time",".6449698","1.82e-07"
"57.time",".7469698",".0001833"
"58.time",".7805555",".0027882"
"59.time",".8335489",".0198348"
"60.time",".8016819",".0050274"
"61.time",".722098",".0000504"
"62.time",".6796164","1.34e-06"
"63.time",".909874",".2551296"
"64.time",".712525",".0003561"
"65.time",".761975",".0049861"
"N","13003",""
