"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_pp_c_lag_all","1.001087",".3714017"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9986133",".5892918"
"sp48_26_pp_c_lag_all",".9982511",".3483479"
"sp48_27_pp_c_lag_all",".9995381",".7805651"
"sp48_28_pp_c_lag_all",".9997127",".8995332"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.002652",".4108277"
"sp48_6_pp_c_lag_all",".9998788",".9214373"
"sp48_7_pp_c_lag_all","1.001254",".4062159"
"sp48_8_pp_c_lag_all","1.001434",".5901644"
"sp75_100_pp_c_lag_all","1.000592",".9008888"
"sp75_1002_pp_c_lag_all",".9977793",".0036636"
"sp75_1003_pp_c_lag_all","1.001823",".3039562"
"sp75_1003_2_pp_c_lag_all","1.010156",".181313"
"sp75_1311_pp_c_lag_all",".9973456",".5141824"
"sp75_1315_pp_c_lag_all","1","."
"sp75_1316_pp_c_lag_all",".9972185",".4495873"
"sp75_1318_pp_c_lag_all","1","."
"sp75_1400_pp_c_lag_all",".9999462",".9782292"
"sp75_1400_1_pp_c_lag_all",".9999052",".9883677"
"sp75_1403_10_pp_c_lag_all","1.001327",".0007794"
"sp75_1403_5_pp_c_lag_all","1.000179",".6346432"
"sp75_1403_6_pp_c_lag_all","1.000561",".0665378"
"sp75_1403_7_pp_c_lag_all",".9938048",".000056"
"sp75_1403_8_pp_c_lag_all",".9997827",".2956041"
"sp75_1404_pp_c_lag_all",".9828172",".000891"
"sp75_1404_1_pp_c_lag_all",".9918707",".4320698"
"sp75_1405_pp_c_lag_all","1.000951",".2307379"
"sp75_1405_1_pp_c_lag_all",".9954015",".1462261"
"sp75_153_pp_c_lag_all",".9911082",".3898882"
"sp75_156_pp_c_lag_all",".9929932",".2114557"
"sp75_160_pp_c_lag_all","1.02376",".0774623"
"sp75_1719_2_pp_c_lag_all","1.006177",".0518422"
"sp75_1719_4_pp_c_lag_all",".9998211",".8583833"
"sp75_1720_pp_c_lag_all","1.001914",".0061111"
"sp75_1725_pp_c_lag_all",".9999448",".5222396"
"sp75_1906_pp_c_lag_all","1.003241",".0338426"
"sp75_1916_pp_c_lag_all",".9962246",".0343032"
"sp75_203_pp_c_lag_all",".9998527",".5427373"
"sp75_204_pp_c_lag_all","1.000313",".5222139"
"sp75_205_pp_c_lag_all","1.004204",".3249604"
"sp75_207_pp_c_lag_all","1.00641",".0624101"
"sp75_208_pp_c_lag_all",".999425",".1460275"
"sp75_209_pp_c_lag_all","1.00044",".7455113"
"sp75_212_pp_c_lag_all","1.004413",".010511"
"sp75_213_pp_c_lag_all",".9726819",".1330412"
"sp75_215_pp_c_lag_all",".9767194",".0068705"
"sp75_332_pp_c_lag_all","1.000042",".990293"
"sp75_334_pp_c_lag_all",".99779",".0548091"
"sp75_337_pp_c_lag_all",".9999914",".9923426"
"sp75_340_pp_c_lag_all","1.00067",".0348662"
"sp75_343_pp_c_lag_all",".9985734",".6816856"
"sp75_373_pp_c_lag_all","1.018191",".0392671"
"sp75_388_pp_c_lag_all","1.000461",".7188949"
"sp75_389_pp_c_lag_all",".9995584",".8468093"
"sp75_500_pp_c_lag_all","1.002542",".0802515"
"sp75_500_1_pp_c_lag_all",".9924361",".5210265"
"sp75_501_pp_c_lag_all",".9989946",".5431782"
"sp75_501_2_pp_c_lag_all",".9993158",".8074405"
"sp75_502_pp_c_lag_all",".9973637",".6508242"
"sp75_503_pp_c_lag_all",".9999648",".4631962"
"sp75_505_pp_c_lag_all","1.00209",".4047334"
"sp75_506_1_pp_c_lag_all","1.002377",".1480314"
"sp75_507_pp_c_lag_all","1.000619",".5913674"
"sp75_507_1_pp_c_lag_all","1.000281",".5971527"
"sp75_508_1_pp_c_lag_all",".9968766",".5278932"
"sp75_509_pp_c_lag_all","1.000369",".9463307"
"sp75_510_pp_c_lag_all","1","."
"sp75_512_1_pp_c_lag_all",".9998656",".9802589"
"sp75_523_pp_c_lag_all",".9997279",".6457596"
"sp75_523_3_pp_c_lag_all",".9997875",".2125927"
"sp75_524_pp_c_lag_all",".9924695",".1473799"
"sp75_602_pp_c_lag_all","1.000452",".4850625"
"sp75_603_pp_c_lag_all","1.00233",".1677281"
"sp75_604_pp_c_lag_all",".9999694",".7759462"
"sp75_605_pp_c_lag_all","1.000945",".0478039"
"sp75_606_pp_c_lag_all","1.000094",".6391018"
"sp75_607_pp_c_lag_all",".9993489",".4551592"
"sp75_703_3_pp_c_lag_all","1.00288",".076979"
"sp75_703_4_pp_c_lag_all","1.011785",".2204307"
"sp75_807_pp_c_lag_all","1.000557",".0205126"
"sp75_810_pp_c_lag_all",".9992955",".2152411"
"sp75_811_pp_c_lag_all","1.000306",".7738128"
"sp75_812_pp_c_lag_all",".9953481",".2614646"
"sp75_816_pp_c_lag_all",".9982798",".0093906"
"sp75_817_pp_c_lag_all",".9961178",".5605"
"sp75_906_pp_c_lag_all",".9992007",".8551309"
"mine_time",".999837",".9679305"
"onsite_insp_hours","1.002437","7.43e-07"
"1.state","1.124823",".745982"
"3.state","1.595288",".054202"
"4.state","8.81181","1.30e-08"
"5.state","2.198657",".0300114"
"6.state","1","."
"7.state","1.412843",".605685"
"9.state","1","."
"10.state",".9622842",".9066326"
"11.state","2.85851",".0081886"
"12.state","1.531829",".0138421"
"13.state","1.135774",".7062928"
"14.state",".9574592",".9140495"
"15.state","1.028517",".8417899"
"16.state","1.416085",".0051169"
"17.state","1","."
"29.time","1.181167",".3567084"
"30.time","1.017005",".9255241"
"31.time","1.246799",".2144517"
"32.time","1.043291",".8177417"
"33.time","1.022655",".9078169"
"34.time","1.048836",".7921067"
"35.time",".9766317",".8879821"
"36.time","1","."
"37.time","1.140922",".5003812"
"38.time","1.185321",".4049277"
"39.time",".9269813",".6999247"
"40.time","1.032055",".8682858"
"41.time",".9837121",".9376093"
"42.time","1.013921",".9433247"
"43.time","1.42746",".0825514"
"44.time",".8511457",".456569"
"45.time",".9756728",".902774"
"46.time",".9448812",".7815618"
"47.time","1.21769",".3588467"
"48.time",".9871774",".9539766"
"49.time",".7826824",".2530221"
"50.time","1.071",".7569668"
"51.time",".9536222",".8357359"
"52.time",".394827",".0000286"
"53.time",".821931",".3934812"
"54.time",".8222553",".4122897"
"55.time",".6470731",".06325"
"56.time",".4824605",".002248"
"57.time",".6345505",".067796"
"58.time",".5516112",".0190452"
"59.time",".609815",".0495764"
"60.time",".9009401",".6914344"
"61.time",".6633671",".1019898"
"62.time",".4107676",".000662"
"63.time",".7512816",".2730784"
"64.time",".4584281",".0054128"
"65.time",".2902554",".0001797"
"N","9008",""
