"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_c_4lag","1.210182",".0781336"
"sp75_1311_c_4lag",".4374859",".0482646"
"sp75_1400_1_c_4lag","1.143982",".8368304"
"sp75_1404_1_c_4lag","2.998788",".2432357"
"sp75_1405_1_c_4lag","2.874401",".1411198"
"sp75_500_1_c_4lag",".6947911",".4697576"
"sp75_501_c_4lag","1.039313",".8103823"
"sp75_506_1_c_4lag","1.050046",".6995901"
"sp75_507_1_c_4lag","1.026926",".5080708"
"sp75_508_1_c_4lag","1.213159",".6262084"
"sp75_512_1_c_4lag",".9854616",".9662813"
"sp75_811_c_4lag","1.001502",".9881201"
"sp75_1002_c_4lag",".922792",".1781011"
"sp75_1003_2_c_4lag","1","."
"sp75_1322_c_4lag","1","."
"sp75_1719_2_c_4lag",".9735895",".9288195"
"sp75_212_c_4lag","1.245564",".0299275"
"sp75_332_c_4lag","1.051631",".7589504"
"sp75_501_2_c_4lag",".8748192",".3818198"
"sp75_502_c_4lag",".9256775",".8101362"
"sp75_602_c_4lag","1.098772",".1948506"
"sp75_812_c_4lag",".6435754",".2793958"
"sp75_1003_c_4lag",".9654416",".7619043"
"sp75_153_c_4lag","1.460318",".6967191"
"sp75_203_c_4lag","1.017546",".41803"
"sp75_213_c_4lag",".8319045",".5032048"
"sp75_343_c_4lag","1.793293",".0911506"
"sp75_373_c_4lag","1.981493",".2781589"
"sp75_503_c_4lag","1.005553",".3427123"
"sp75_523_c_4lag","1.018649",".6653699"
"sp75_523_3_c_4lag",".9694077",".0422858"
"sp75_603_c_4lag","1.125407",".256748"
"sp75_703_3_c_4lag",".9362636",".4296"
"sp48_24_c_4lag","1.273026","0"
"sp48_4_c_4lag",".3939355",".3369317"
"sp75_1404_c_4lag",".437014",".1402612"
"sp75_1719_4_c_4lag","1.062592",".5005227"
"sp75_204_c_4lag","1.079175",".0218555"
"sp75_334_c_4lag","1.050413",".5063642"
"sp75_524_c_4lag",".9011529",".7764789"
"sp75_604_c_4lag","1.026664",".0359694"
"sp75_703_4_c_4lag",".5225146",".1801142"
"sp48_25_c_4lag","1.006756",".9730888"
"sp48_5_c_4lag",".9946603",".9742168"
"sp75_1315_c_4lag",".8869761",".8808067"
"sp75_1403_5_c_4lag","1.018736",".6804035"
"sp75_1405_c_4lag",".9924886",".9329985"
"sp75_155_c_4lag","1","."
"sp75_1725_c_4lag","1.02028",".0559137"
"sp75_205_c_4lag","1.471624",".0745984"
"sp75_215_c_4lag",".220029",".0092537"
"sp75_505_c_4lag","1.262901",".3751497"
"sp75_605_c_4lag",".9882503",".6999697"
"sp48_26_c_4lag","1.081936",".3746941"
"sp48_6_c_4lag",".9277367",".401781"
"sp75_1316_c_4lag",".6674518",".0764468"
"sp75_1403_6_c_4lag","1.093277",".0150197"
"sp75_156_c_4lag",".8298623",".771691"
"sp75_1906_c_4lag","1.390389",".0502265"
"sp75_1916_c_4lag","1.167644",".5228577"
"sp75_606_c_4lag",".9998269",".9932362"
"sp75_816_c_4lag",".9551021",".406615"
"sp75_906_c_4lag",".5143404",".0400208"
"sp48_27_c_4lag",".866926",".4064893"
"sp48_7_c_4lag","1.237324",".0562376"
"sp75_1403_7_c_4lag",".6450364",".0046853"
"sp75_207_c_4lag","1.268803",".2049593"
"sp75_327_c_4lag","1","."
"sp75_337_c_4lag",".9762024",".7650937"
"sp75_507_c_4lag","1.014641",".8971891"
"sp75_607_c_4lag",".9838644",".8328815"
"sp75_807_c_4lag","1.058158",".0100462"
"sp75_817_c_4lag","1.077454",".8942143"
"sp48_28_c_4lag",".8875831",".3067688"
"sp48_8_c_4lag","1.402088",".0214729"
"sp75_1318_c_4lag",".5935019",".6609124"
"sp75_1403_8_c_4lag",".9490127",".2040015"
"sp75_208_c_4lag",".9287194",".0157414"
"sp75_388_c_4lag","1.052561",".5413854"
"sp75_209_c_4lag",".9952062",".953139"
"sp75_389_c_4lag",".8444173",".4601026"
"sp75_509_c_4lag","1.334328",".4211822"
"sp75_100_c_4lag","2.714115",".0081071"
"sp75_1400_c_4lag","1.124964",".4200745"
"sp75_1403_10_c_4lag","1.124098",".0202486"
"sp75_160_c_4lag","1.1265",".7201352"
"sp75_1720_c_4lag","1.059383",".2964438"
"sp75_340_c_4lag","1.092002",".0045172"
"sp75_500_c_4lag","1.077959",".4081671"
"sp75_510_c_4lag","1","."
"sp75_810_c_4lag",".9032722",".1155367"
"mine_time","1.001127",".6641463"
"onsite_insp_hours","1.00308","1.15e-10"
"1.state","1.011303",".9765484"
"2.state","1.697052","6.22e-07"
"3.state","1.543397",".0150841"
"4.state","3.727066","5.66e-06"
"5.state","1.375218",".094617"
"6.state","1","."
"7.state","1.688643",".0500982"
"8.state",".6097339","5.84e-06"
"9.state","3.6661","0"
"10.state","1.341745",".2063044"
"11.state","3.350574",".0045511"
"12.state","1.764411","2.10e-06"
"13.state","2.032489",".001538"
"14.state",".4802869",".0266661"
"15.state","1.066091",".4350397"
"16.state","1.658507","3.92e-11"
"17.state","4.945968","0"
"4.time","1.828965",".0005888"
"5.time","2.230781",".0000101"
"6.time","2.30776","1.23e-06"
"7.time","2.731763","5.97e-09"
"8.time","2.199563","4.16e-06"
"9.time","2.355856","6.80e-07"
"10.time","2.034933",".0000387"
"11.time","2.813296","2.13e-09"
"12.time","1.917904",".0001899"
"13.time","2.067234",".0000817"
"14.time","2.210269",".0000168"
"15.time","3.429765","6.11e-11"
"16.time","1.770562",".0013089"
"17.time","1.876213",".0003306"
"18.time","1.68674",".0028204"
"19.time","1.935616",".000103"
"20.time","1.478325",".0180204"
"21.time","1.559944",".0105377"
"22.time","1.589805",".0063453"
"23.time","1.782014",".0007287"
"24.time","1.2871",".1335315"
"25.time","1.590351",".005503"
"26.time","1.44153",".0286605"
"27.time","1.74217",".0007526"
"28.time","1.374651",".0662605"
"29.time","1.140051",".4161802"
"30.time","1.162638",".3444345"
"31.time","1.443476",".0220827"
"32.time","1.187831",".2819372"
"33.time","1.112816",".5352939"
"34.time","1.110745",".5258849"
"35.time","1.078164",".6300817"
"36.time","1","."
"37.time","1.025618",".8846922"
"38.time","1.015811",".9287122"
"39.time","1.093376",".6000651"
"40.time",".8424514",".3215352"
"41.time","1.059614",".7513649"
"42.time",".9535527",".7817713"
"43.time","1.31232",".1305728"
"44.time",".7990652",".2228429"
"45.time",".8763808",".4323392"
"46.time","1.050081",".782919"
"47.time","1.376428",".0770614"
"48.time",".8559397",".3821129"
"49.time",".9600259",".8140065"
"50.time","1.049641",".7844405"
"51.time","1.00164",".99293"
"52.time",".5105049",".0002368"
"53.time",".8270779",".3066044"
"54.time",".8195299",".3109223"
"55.time",".8523509",".4181848"
"56.time",".5442281",".0019741"
"57.time",".6435783",".0379339"
"58.time",".6401953",".0256295"
"59.time",".7070773",".1069998"
"60.time",".8196336",".3515057"
"61.time",".6333202",".0281502"
"62.time",".5033227",".00141"
"63.time",".9313817",".7402704"
"64.time",".5746616",".0108049"
"65.time",".3678678",".0000563"
"N","22317",""
