"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_c_lag_all",".9999651",".9331797"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".999032",".0919659"
"sp48_26_pp_c_lag_all",".9996312",".7727034"
"sp48_27_pp_c_lag_all",".9997086",".5895666"
"sp48_28_pp_c_lag_all",".998118",".0219932"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all",".9997281",".831873"
"sp48_6_pp_c_lag_all","1.000629",".1384614"
"sp48_7_pp_c_lag_all",".9994407",".1522755"
"sp48_8_pp_c_lag_all","1.001351",".0873821"
"sp75_100_pp_c_lag_all","1.00255",".1341708"
"sp75_1002_pp_c_lag_all","1.000323",".0691217"
"sp75_1003_pp_c_lag_all","1.000234",".0033442"
"sp75_1003_2_pp_c_lag_all",".9997011",".6036275"
"sp75_1311_pp_c_lag_all",".9996266",".5620561"
"sp75_1315_pp_c_lag_all","1","."
"sp75_1316_pp_c_lag_all",".9986475",".0907057"
"sp75_1318_pp_c_lag_all","1","."
"sp75_1400_pp_c_lag_all",".9996527",".3908842"
"sp75_1400_1_pp_c_lag_all",".9965528",".0246934"
"sp75_1403_10_pp_c_lag_all","1.000301",".0008171"
"sp75_1403_5_pp_c_lag_all","1.000003",".9260761"
"sp75_1403_6_pp_c_lag_all","1.000019",".6700608"
"sp75_1403_7_pp_c_lag_all",".999548",".123064"
"sp75_1403_8_pp_c_lag_all",".9998845",".0131801"
"sp75_1404_pp_c_lag_all",".9996951",".8634224"
"sp75_1404_1_pp_c_lag_all",".9890944",".0062343"
"sp75_1405_pp_c_lag_all","1.000086",".5201255"
"sp75_1405_1_pp_c_lag_all",".9992429",".5965525"
"sp75_153_pp_c_lag_all","1.00109",".581394"
"sp75_156_pp_c_lag_all",".9934196",".0826167"
"sp75_160_pp_c_lag_all","1.015023",".0780014"
"sp75_1719_2_pp_c_lag_all",".9999969",".9986234"
"sp75_1719_4_pp_c_lag_all",".9999839",".9567022"
"sp75_1720_pp_c_lag_all","1.000208",".4639663"
"sp75_1725_pp_c_lag_all",".9999608",".0474345"
"sp75_1906_pp_c_lag_all","1.000622",".0359957"
"sp75_1916_pp_c_lag_all",".9994075",".183079"
"sp75_203_pp_c_lag_all","1.000082",".3403764"
"sp75_204_pp_c_lag_all","1.000208",".1225315"
"sp75_205_pp_c_lag_all",".998583",".3134112"
"sp75_207_pp_c_lag_all","1.000539",".6952147"
"sp75_208_pp_c_lag_all","1.000152",".1706603"
"sp75_209_pp_c_lag_all",".9993017",".244391"
"sp75_212_pp_c_lag_all","1.000228",".3701052"
"sp75_213_pp_c_lag_all","1.001943",".0579986"
"sp75_215_pp_c_lag_all",".9959439",".1328638"
"sp75_332_pp_c_lag_all",".9979463",".0193591"
"sp75_334_pp_c_lag_all",".9995952",".2307206"
"sp75_337_pp_c_lag_all",".9997468",".2388736"
"sp75_340_pp_c_lag_all",".9998616",".0131012"
"sp75_343_pp_c_lag_all",".9994484",".4313697"
"sp75_373_pp_c_lag_all","1.01671",".0165852"
"sp75_388_pp_c_lag_all",".9993551",".3460691"
"sp75_389_pp_c_lag_all",".9988321",".4498507"
"sp75_500_pp_c_lag_all","1.001011",".0869195"
"sp75_500_1_pp_c_lag_all",".9965435",".3226934"
"sp75_501_pp_c_lag_all","1.000967",".3572071"
"sp75_501_2_pp_c_lag_all",".9969828",".0182435"
"sp75_502_pp_c_lag_all","1.001775",".3308658"
"sp75_503_pp_c_lag_all",".9999725",".0889184"
"sp75_505_pp_c_lag_all","1.00187",".148451"
"sp75_506_1_pp_c_lag_all","1.002432",".0003567"
"sp75_507_pp_c_lag_all","1.000345",".3488824"
"sp75_507_1_pp_c_lag_all","1.000108",".5879388"
"sp75_508_1_pp_c_lag_all",".9967234",".1001083"
"sp75_509_pp_c_lag_all","1.000242",".8371388"
"sp75_510_pp_c_lag_all","1.005739",".261122"
"sp75_512_1_pp_c_lag_all",".9961241",".0442144"
"sp75_523_pp_c_lag_all","1.000215",".4385476"
"sp75_523_3_pp_c_lag_all","1.000018",".7650388"
"sp75_524_pp_c_lag_all","1.001539",".2000355"
"sp75_602_pp_c_lag_all",".9998879",".7548887"
"sp75_603_pp_c_lag_all",".9993159",".0607255"
"sp75_604_pp_c_lag_all",".9999448",".026029"
"sp75_605_pp_c_lag_all","1.000112",".5534626"
"sp75_606_pp_c_lag_all","1.000062",".1745408"
"sp75_607_pp_c_lag_all",".9993353",".1659907"
"sp75_703_3_pp_c_lag_all","1.002363",".0007608"
"sp75_703_4_pp_c_lag_all","1.013551",".0102919"
"sp75_807_pp_c_lag_all","1.000094",".1248556"
"sp75_810_pp_c_lag_all","1.000522",".1229919"
"sp75_811_pp_c_lag_all","1.000233",".464277"
"sp75_812_pp_c_lag_all",".9967526",".0104542"
"sp75_816_pp_c_lag_all","1.000187",".3693976"
"sp75_817_pp_c_lag_all",".9992512",".6751374"
"sp75_906_pp_c_lag_all",".9968492",".1807562"
"mine_time","1.001842",".3774871"
"onsite_insp_hours",".9997336",".0225172"
"1.state","1.389276",".0310478"
"3.state",".6875015",".0045114"
"4.state","1.368349",".0021078"
"5.state","1.126187",".3048846"
"6.state","1","."
"7.state","1.386005",".1230556"
"9.state",".780966",".0956959"
"10.state","1.080276",".6482214"
"11.state","2.020107",".0031751"
"12.state","1.287916",".0538792"
"13.state","1.398049",".1360699"
"14.state",".5960571",".0272026"
"15.state",".9009005",".2091266"
"16.state","1.14801",".0327958"
"17.state",".6543112",".0141417"
"29.time","1.060623",".3975284"
"30.time","1.028719",".7447023"
"31.time","1.305257",".000778"
"32.time","1.14583",".0459564"
"33.time","1.050837",".4677967"
"34.time","1.033681",".6437308"
"35.time","1.238385",".000813"
"36.time","1","."
"37.time","1.010006",".869952"
"38.time","1.012914",".8617538"
"39.time","1.037058",".5914183"
"40.time",".8799154",".0531072"
"41.time",".7997478",".001582"
"42.time",".8866578",".2178578"
"43.time","1.098711",".2168802"
"44.time",".8984156",".1848414"
"45.time",".8782306",".0811456"
"46.time",".7993977",".0033572"
"47.time",".9206215",".2566954"
"48.time",".7292971",".0000314"
"49.time",".7760167",".0024444"
"50.time",".7390932",".0001216"
"51.time",".8647873",".0912852"
"52.time",".635148","4.12e-07"
"53.time",".7309687",".0006721"
"54.time",".6775555",".0000311"
"55.time",".7874583",".0088559"
"56.time",".6096056","2.56e-07"
"57.time",".6963662",".0000614"
"58.time",".6860649",".0000981"
"59.time",".7529395",".0012068"
"60.time",".7411542",".0023403"
"61.time",".6488673",".0000146"
"62.time",".5674539","3.83e-09"
"63.time",".7922836",".0125388"
"64.time",".5957516","2.86e-06"
"65.time",".6392729",".0001564"
"N","9110",""
