"","est1",""
"","b","p"
"dv","",""
"sp48_11_c_4lag","1.028766",".3724254"
"sp75_1311_c_4lag",".9514527",".6242726"
"sp75_1400_1_c_4lag","1.022024",".8898534"
"sp75_1404_1_c_4lag",".9240206",".6442399"
"sp75_1405_1_c_4lag","1.108297",".1455623"
"sp75_500_1_c_4lag",".7995276",".3381374"
"sp75_501_c_4lag","1.1479",".1367998"
"sp75_506_1_c_4lag","1.035412",".4219801"
"sp75_507_1_c_4lag","1.018346",".3366412"
"sp75_508_1_c_4lag",".5429757","0"
"sp75_512_1_c_4lag",".9606762",".648607"
"sp75_811_c_4lag","1.024468",".4393353"
"sp75_1002_c_4lag",".9869192",".3919562"
"sp75_1003_2_c_4lag",".9219159",".0460576"
"sp75_1322_c_4lag","1.824831",".0135676"
"sp75_1719_2_c_4lag",".9670851",".585043"
"sp75_212_c_4lag","1.054766",".0157438"
"sp75_332_c_4lag",".9500797",".3781721"
"sp75_501_2_c_4lag",".8891071",".1041844"
"sp75_502_c_4lag","1.016312",".8669314"
"sp75_602_c_4lag","1.005389",".7878268"
"sp75_812_c_4lag","1.023334",".8546919"
"sp75_1003_c_4lag",".9640021",".0072922"
"sp75_153_c_4lag","1.132885",".502338"
"sp75_203_c_4lag","1.009979",".2069187"
"sp75_213_c_4lag","1.188008",".0003995"
"sp75_343_c_4lag","1.040336",".3539098"
"sp75_373_c_4lag","1.331577",".2747605"
"sp75_503_c_4lag","1.001511",".4999152"
"sp75_523_c_4lag",".9704984",".0822242"
"sp75_523_3_c_4lag",".9846268",".0051156"
"sp75_603_c_4lag","1.029447",".3294417"
"sp75_703_3_c_4lag","1.022025",".5442284"
"sp48_24_c_4lag",".9823479",".0715001"
"sp48_4_c_4lag",".6801021",".4831401"
"sp75_1404_c_4lag",".9491331",".7508108"
"sp75_1719_4_c_4lag","1.011114",".5407261"
"sp75_204_c_4lag","1.01392",".2144444"
"sp75_334_c_4lag","1.001567",".9420861"
"sp75_524_c_4lag","1.094855",".511685"
"sp75_604_c_4lag","1.007787",".0228787"
"sp75_703_4_c_4lag",".7393552",".0954542"
"sp48_25_c_4lag",".9649623",".4182482"
"sp48_5_c_4lag","1.057842",".2839307"
"sp75_1315_c_4lag",".413901",".0109047"
"sp75_1403_5_c_4lag",".9902213",".0698677"
"sp75_1405_c_4lag",".9768392",".0363929"
"sp75_155_c_4lag","1.176904",".5634323"
"sp75_1725_c_4lag","1.000589",".8115133"
"sp75_205_c_4lag","1.498965",".0095106"
"sp75_215_c_4lag",".867762",".2688088"
"sp75_505_c_4lag",".9853605",".8702615"
"sp75_605_c_4lag",".9907136",".384871"
"sp48_26_c_4lag","1.088698",".0143785"
"sp48_6_c_4lag","1.006659",".8638977"
"sp75_1316_c_4lag",".802398",".1173591"
"sp75_1403_6_c_4lag",".996953",".4453885"
"sp75_156_c_4lag",".8091274",".0265619"
"sp75_1906_c_4lag","1.091667",".0010986"
"sp75_1916_c_4lag",".9848817",".5175631"
"sp75_606_c_4lag","1.000657",".916534"
"sp75_816_c_4lag","1.015228",".3793408"
"sp75_906_c_4lag",".7516021",".002442"
"sp48_27_c_4lag",".9589277",".3544282"
"sp48_7_c_4lag","1.010705",".731213"
"sp75_1403_7_c_4lag","1.001659",".9438232"
"sp75_207_c_4lag","1.114857",".2499262"
"sp75_327_c_4lag",".9577552",".7639958"
"sp75_337_c_4lag",".9779294",".3378486"
"sp75_507_c_4lag","1.02328",".4334178"
"sp75_607_c_4lag",".9758505",".3571524"
"sp75_807_c_4lag","1.016004",".0131017"
"sp75_817_c_4lag",".8202992",".1124717"
"sp48_28_c_4lag",".9461744",".4153717"
"sp48_8_c_4lag","1.124748",".0903769"
"sp75_1318_c_4lag","1.253639",".3875593"
"sp75_1403_8_c_4lag",".9907067",".0365704"
"sp75_208_c_4lag","1.002309",".834217"
"sp75_388_c_4lag","1.023703",".5705424"
"sp75_209_c_4lag",".9788228",".6136599"
"sp75_389_c_4lag","1.110587",".3649422"
"sp75_509_c_4lag","1.224767",".0048178"
"sp75_100_c_4lag","1.266348",".0078955"
"sp75_1400_c_4lag",".9851769",".6085248"
"sp75_1403_10_c_4lag","1.005278",".4854333"
"sp75_160_c_4lag","1.110514",".6908055"
"sp75_1720_c_4lag","1.032488",".1789141"
"sp75_340_c_4lag",".982916",".0158344"
"sp75_500_c_4lag","1.008594",".8243222"
"sp75_510_c_4lag","1.031688",".7860674"
"sp75_810_c_4lag","1.052147",".0224065"
"mine_time","1.001472",".2826026"
"onsite_insp_hours",".9995637",".0000423"
"1.state","1.067157",".5249115"
"2.state","1.809998","0"
"3.state",".7422995",".0170136"
"4.state","1.216795",".0032563"
"5.state","1.01672",".8179325"
"6.state","1","."
"7.state","1.291816",".1056756"
"8.state",".5821398","0"
"9.state",".7609569","1.59e-09"
"10.state","1.154359",".1798151"
"11.state","1.668047",".0016442"
"12.state","1.354915",".0000855"
"13.state","1.710524","1.72e-06"
"14.state",".4973986",".0001005"
"15.state",".9416071",".2757044"
"16.state","1.266062","2.25e-07"
"17.state",".8201152",".0000477"
"4.time","1.542034","1.09e-08"
"5.time","1.572531","1.64e-09"
"6.time","1.723774","8.94e-12"
"7.time","2.015028","0"
"8.time","1.606033","1.08e-09"
"9.time","1.766316","7.26e-10"
"10.time","1.719769","7.17e-11"
"11.time","1.819728","2.56e-12"
"12.time","1.548079","4.41e-09"
"13.time","1.434187","1.35e-06"
"14.time","1.559422","3.48e-08"
"15.time","1.711499","3.66e-13"
"16.time","1.307319",".0006826"
"17.time","1.346311",".0001912"
"18.time","1.44061","3.97e-07"
"19.time","1.575994","3.89e-10"
"20.time","1.30206",".000912"
"21.time","1.256592",".0015655"
"22.time","1.338025",".0000241"
"23.time","1.449143","6.90e-08"
"24.time","1.207652",".0127571"
"25.time","1.26381",".0010345"
"26.time","1.235043",".0041272"
"27.time","1.4836","3.14e-09"
"28.time","1.146858",".0519811"
"29.time","1.140641",".0493383"
"30.time","1.181524",".0269214"
"31.time","1.43842","3.39e-07"
"32.time","1.219659",".002129"
"33.time","1.098546",".1421163"
"34.time","1.073568",".285626"
"35.time","1.230312",".0004862"
"36.time","1","."
"37.time",".9693164",".5833124"
"38.time",".9559172",".4987173"
"39.time","1.086109",".174012"
"40.time",".9199862",".2115176"
"41.time",".922212",".2707415"
"42.time",".9218717",".3104168"
"43.time","1.144597",".0438406"
"44.time",".9086036",".1702067"
"45.time",".905731",".1379852"
"46.time",".8523915",".0170495"
"47.time",".9963888",".9539092"
"48.time",".7671122",".0000911"
"49.time",".8549865",".0280589"
"50.time",".7536409",".0000233"
"51.time",".8708883",".0676384"
"52.time",".6679409","4.91e-07"
"53.time",".7466412",".0001201"
"54.time",".7076868",".0000131"
"55.time",".820039",".0132721"
"56.time",".6280369","6.18e-08"
"57.time",".7051728",".0000126"
"58.time",".7498264",".0006132"
"59.time",".8001144",".0053568"
"60.time",".7664421",".0008387"
"61.time",".6868213","3.65e-06"
"62.time",".6422889","3.63e-08"
"63.time",".8496433",".0514326"
"64.time",".6574269",".0000104"
"65.time",".6983288",".0002298"
"N","22446",""
