"","est1",""
"","b","p"
"dv_indicator","",""
"p48_pp_1lag","1.003008",".1137442"
"p75_pp_1lag","1.000039",".251637"
"mine_time","1.023111",".2531856"
"onsite_insp_hours","1.002599","1.26e-07"
"1.state","1.206083",".6350486"
"2.state",".8750797",".4821409"
"3.state",".9915331",".9862705"
"4.state","3.329129",".3293586"
"5.state",".8839244",".798242"
"6.state",".4478356",".0000418"
"7.state","1","."
"8.state",".0552358","0"
"9.state","1","."
"10.state",".4995155",".1398317"
"11.state","1.870787",".4617907"
"12.state",".5098967",".0150935"
"13.state","1.398797",".7815833"
"14.state",".3885489",".0090244"
"15.state",".3857011",".0000156"
"16.state","1","."
"17.state","1","."
"8.time","1.357808",".1172241"
"9.time","1","."
"10.time","1.144845",".5390634"
"11.time",".8817764",".5459448"
"12.time","1.052272",".8163834"
"13.time",".7373578",".1491449"
"14.time","1.0835",".7578188"
"15.time",".696865",".1519102"
"16.time",".5089578",".0138535"
"N","3296",""
