"","est1",""
"","b","p"
"dv","",""
"p48_pp_c_lag_all","1.000017",".3268344"
"p75_pp_c_lag_all","1",".8020631"
"mine_time","1.006905",".2745154"
"onsite_insp_hours",".9998688",".0009864"
"1.state",".9618261",".7599545"
"2.state","1.443321","1.86e-12"
"3.state",".6244814",".0003206"
"4.state","1.076335",".3480812"
"5.state",".8480777",".109328"
"6.state",".8317962",".0008687"
"7.state","1.200484",".2958689"
"8.state",".3981373","0"
"9.state",".5598285","0"
"10.state",".8192471",".1102617"
"11.state","1.384753",".1983817"
"12.state","1.037446",".6586301"
"13.state","1.731154",".0023203"
"14.state",".4373676",".0001022"
"15.state",".7031719","4.57e-07"
"16.state","1","."
"17.state",".5480147","0"
"8.time","1.113561",".0083135"
"9.time","1","."
"10.time",".8966981",".0058295"
"11.time",".892702",".0168621"
"12.time",".8224728",".0000129"
"13.time",".7187811","1.27e-10"
"14.time",".6985168","7.54e-10"
"15.time",".6883702","5.18e-11"
"16.time",".6557577","1.50e-11"
"N","3333",""
