"","est1",""
"","b","p"
"dv","",""
"p48_ss","1.00499",".8257779"
"p75_ss","1.002716","3.47e-06"
"mine_time","1.008406",".1353987"
"onsite_insp_hours",".9997731","1.85e-08"
"1.state",".8232795",".0848108"
"2.state","1.214848",".0000262"
"3.state",".6775486",".0015607"
"4.state","1.060094",".3546418"
"5.state",".9043151",".2769512"
"6.state",".799841","1.94e-06"
"7.state","1.065583",".7407642"
"8.state",".5035738","0"
"9.state",".580431","0"
"10.state",".7774117",".0059019"
"11.state","1.527289",".0204293"
"12.state","1.084082",".2580864"
"13.state","1.52093",".0000744"
"14.state",".4190755","5.71e-07"
"15.state",".7336703","1.20e-08"
"16.state","1","."
"17.state",".6401942","0"
"1.time","1.034785",".468148"
"2.time","1","."
"3.time",".9377107",".1578171"
"4.time",".8475885",".0033754"
"5.time",".7892453","4.68e-06"
"6.time",".7159859","1.11e-09"
"7.time",".699049","2.93e-10"
"8.time",".6970248","4.64e-09"
"9.time",".6311503","1.73e-13"
"10.time",".5736101","0"
"11.time",".5656241","0"
"12.time",".5292134","0"
"13.time",".4730474","0"
"14.time",".4657655","0"
"15.time",".4614097","0"
"16.time",".4453578","0"
"N","6253",""
