"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_pp_c_4lag","1.007255",".0129644"
"sp48_24_pp_c_4lag","1","."
"sp48_25_pp_c_4lag","1.003091",".5439426"
"sp48_26_pp_c_4lag",".9991999",".6209174"
"sp48_27_pp_c_4lag",".9960781",".0635634"
"sp48_28_pp_c_4lag","1.005066",".2064309"
"sp48_4_pp_c_4lag","1","."
"sp48_5_pp_c_4lag",".9963493",".2130547"
"sp48_6_pp_c_4lag",".9997243",".8589169"
"sp48_7_pp_c_4lag","1.000625",".734787"
"sp48_8_pp_c_4lag","1.000154",".9503463"
"sp75_100_pp_c_4lag","1","."
"sp75_1002_pp_c_4lag",".9995798",".6497612"
"sp75_1003_pp_c_4lag","1","."
"sp75_1003_2_pp_c_4lag","1","."
"sp75_1311_pp_c_4lag",".9960652",".4997743"
"sp75_1315_pp_c_4lag","1","."
"sp75_1316_pp_c_4lag",".9908832",".0000302"
"sp75_1318_pp_c_4lag","1","."
"sp75_1400_pp_c_4lag",".9985087",".700497"
"sp75_1400_1_pp_c_4lag","1","."
"sp75_1403_10_pp_c_4lag","1.004462",".0031394"
"sp75_1403_5_pp_c_4lag","1.002015",".2691771"
"sp75_1403_6_pp_c_4lag",".9999199",".9385157"
"sp75_1403_7_pp_c_4lag",".9982612",".7542282"
"sp75_1403_8_pp_c_4lag","1","."
"sp75_1404_pp_c_4lag",".9799294",".0080279"
"sp75_1404_1_pp_c_4lag","1","."
"sp75_1405_pp_c_4lag","1.004285",".2336589"
"sp75_1405_1_pp_c_4lag","1","."
"sp75_153_pp_c_4lag","1","."
"sp75_156_pp_c_4lag","1","."
"sp75_160_pp_c_4lag","1.000163",".9792762"
"sp75_1719_2_pp_c_4lag",".9930377",".0400832"
"sp75_1719_4_pp_c_4lag",".9990411",".2689468"
"sp75_1720_pp_c_4lag","1.00056",".5757224"
"sp75_1725_pp_c_4lag","1.000236",".2106432"
"sp75_1906_pp_c_4lag",".9993452",".8531529"
"sp75_1916_pp_c_4lag",".991687",".1043455"
"sp75_203_pp_c_4lag","1.000164",".5849213"
"sp75_204_pp_c_4lag","1.000768",".158406"
"sp75_205_pp_c_4lag","1.004491",".3970841"
"sp75_207_pp_c_4lag","1.002517",".4636775"
"sp75_208_pp_c_4lag",".9981999",".0007185"
"sp75_209_pp_c_4lag",".9999678",".9839593"
"sp75_212_pp_c_4lag","1.014555",".0441058"
"sp75_213_pp_c_4lag",".9992554",".9593505"
"sp75_215_pp_c_4lag","1","."
"sp75_332_pp_c_4lag","1.003014",".611814"
"sp75_334_pp_c_4lag","1.001435",".2291277"
"sp75_337_pp_c_4lag",".9997361",".7506785"
"sp75_340_pp_c_4lag","1.002395",".0154593"
"sp75_343_pp_c_4lag","1","."
"sp75_373_pp_c_4lag","1","."
"sp75_388_pp_c_4lag",".998716",".3444793"
"sp75_389_pp_c_4lag","1","."
"sp75_500_pp_c_4lag","1.000001",".999659"
"sp75_500_1_pp_c_4lag","1","."
"sp75_501_pp_c_4lag",".9985585",".5936697"
"sp75_501_2_pp_c_4lag","1.002756",".4013604"
"sp75_502_pp_c_4lag","1","."
"sp75_503_pp_c_4lag",".999824",".0476504"
"sp75_505_pp_c_4lag","1.000862",".8597032"
"sp75_506_1_pp_c_4lag","1.004387",".6077787"
"sp75_507_pp_c_4lag",".9991684",".5384524"
"sp75_507_1_pp_c_4lag","1.000951",".2311894"
"sp75_508_1_pp_c_4lag","1","."
"sp75_509_pp_c_4lag","1","."
"sp75_510_pp_c_4lag","1","."
"sp75_512_1_pp_c_4lag","1","."
"sp75_523_pp_c_4lag",".9985052",".1005028"
"sp75_523_3_pp_c_4lag",".9997474",".303989"
"sp75_524_pp_c_4lag","1","."
"sp75_602_pp_c_4lag","1.000173",".9162876"
"sp75_603_pp_c_4lag",".9978319",".1903576"
"sp75_604_pp_c_4lag","1.000327",".1617173"
"sp75_605_pp_c_4lag","1.000817",".329779"
"sp75_606_pp_c_4lag",".9994261",".0967202"
"sp75_607_pp_c_4lag","1.003647",".0374705"
"sp75_703_3_pp_c_4lag","1.001586",".5188642"
"sp75_703_4_pp_c_4lag","1.002204",".8235973"
"sp75_807_pp_c_4lag","1.000614",".1532196"
"sp75_810_pp_c_4lag",".9977552",".0230791"
"sp75_811_pp_c_4lag","1.004067",".0526411"
"sp75_812_pp_c_4lag","1","."
"sp75_816_pp_c_4lag",".9995526",".5984937"
"sp75_817_pp_c_4lag",".9896006",".1927445"
"sp75_906_pp_c_4lag",".9963306",".4031059"
"mine_time","1.008138",".6934133"
"onsite_insp_hours","1.002723","2.60e-08"
"1.state","1.227001",".6195844"
"2.state",".5973811",".0277832"
"3.state",".8962852",".8293935"
"4.state","3.612705",".2591847"
"5.state","1.028664",".9553847"
"6.state",".5218365",".0010169"
"7.state","1","."
"8.state",".0401887","7.34e-11"
"9.state","1","."
"10.state",".440226",".0694711"
"11.state","1.127839",".8865098"
"12.state",".4874468",".0086127"
"13.state","1.447064",".7641632"
"14.state",".4138194",".0086167"
"15.state",".4012669",".000032"
"16.state","1","."
"17.state","1","."
"8.time","1.20891",".3732488"
"9.time","1","."
"10.time","1.2458",".3501034"
"11.time",".8127556",".3525103"
"12.time",".9955628",".985318"
"13.time",".7348921",".1800547"
"14.time","1.045855",".8695755"
"15.time",".6676579",".1348155"
"16.time",".5110032",".0219513"
"N","2966",""
