"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_c_4lag","1.314144",".0019171"
"sp75_1311_c_4lag",".7787447",".3086913"
"sp75_1400_1_c_4lag","1","."
"sp75_1404_1_c_4lag",".8192475",".6942886"
"sp75_1405_1_c_4lag","1","."
"sp75_500_1_c_4lag","1","."
"sp75_501_c_4lag",".8582341",".1238265"
"sp75_506_1_c_4lag","1.028769",".8912692"
"sp75_507_1_c_4lag","1.01982",".599548"
"sp75_508_1_c_4lag","1","."
"sp75_512_1_c_4lag","1.222384",".4441872"
"sp75_811_c_4lag","1.066128",".6043242"
"sp75_1002_c_4lag",".9708445",".5862667"
"sp75_1003_2_c_4lag","1","."
"sp75_1322_c_4lag","1","."
"sp75_1719_2_c_4lag",".8307636",".2811643"
"sp75_212_c_4lag","1.445079",".032943"
"sp75_332_c_4lag",".7585167",".0199364"
"sp75_501_2_c_4lag",".8090941",".0223219"
"sp75_502_c_4lag",".7594913",".4087305"
"sp75_602_c_4lag","1.112038",".1629142"
"sp75_812_c_4lag","1","."
"sp75_1003_c_4lag","1","."
"sp75_153_c_4lag","1","."
"sp75_203_c_4lag","1.009936",".570946"
"sp75_213_c_4lag","1.154438",".8214962"
"sp75_343_c_4lag","1","."
"sp75_373_c_4lag",".8178971",".6050857"
"sp75_503_c_4lag",".9934169",".1476415"
"sp75_523_c_4lag",".9750316",".4157597"
"sp75_523_3_c_4lag",".9694034",".0070713"
"sp75_603_c_4lag",".9627343",".6232447"
"sp75_703_3_c_4lag","1.033807",".7321255"
"sp48_24_c_4lag","1","."
"sp48_4_c_4lag","1","."
"sp75_1404_c_4lag",".3728527",".0083204"
"sp75_1719_4_c_4lag",".9045382",".1144447"
"sp75_204_c_4lag","1.047536",".1687953"
"sp75_334_c_4lag","1.026449",".656125"
"sp75_524_c_4lag","1.281961",".5452822"
"sp75_604_c_4lag","1.030142",".0311807"
"sp75_703_4_c_4lag",".8828735",".8464821"
"sp48_25_c_4lag","1.111892",".6038483"
"sp48_5_c_4lag",".8308541",".2585366"
"sp75_1315_c_4lag",".6098018",".043301"
"sp75_1403_5_c_4lag",".988082",".8213572"
"sp75_1405_c_4lag","1.631014",".0889694"
"sp75_155_c_4lag","1","."
"sp75_1725_c_4lag","1.011972",".2719676"
"sp75_205_c_4lag","1.030947",".9055235"
"sp75_215_c_4lag","1","."
"sp75_505_c_4lag","1.205044",".5972785"
"sp75_605_c_4lag","1.053742",".1495816"
"sp48_26_c_4lag",".9999636",".999647"
"sp48_6_c_4lag",".9474907",".5110231"
"sp75_1316_c_4lag",".9209622",".790325"
"sp75_1403_6_c_4lag",".9729799",".5035022"
"sp75_156_c_4lag","1","."
"sp75_1906_c_4lag","1.025832",".9216526"
"sp75_1916_c_4lag",".7968117",".6103587"
"sp75_606_c_4lag",".9537513",".008197"
"sp75_816_c_4lag",".9541805",".3685909"
"sp75_906_c_4lag",".86007",".6160574"
"sp48_27_c_4lag",".8206349",".200682"
"sp48_7_c_4lag","1.174643",".2277181"
"sp75_1403_7_c_4lag",".903987",".5218713"
"sp75_207_c_4lag","1.135963",".5409263"
"sp75_327_c_4lag","1","."
"sp75_337_c_4lag",".9842139",".8146181"
"sp75_507_c_4lag",".9235008",".3609368"
"sp75_607_c_4lag","1.112676",".2435286"
"sp75_807_c_4lag","1.033367",".1221267"
"sp75_817_c_4lag",".3702915",".0276367"
"sp48_28_c_4lag","1.114426",".4547209"
"sp48_8_c_4lag","1.310869",".0259167"
"sp75_1318_c_4lag",".3137207",".1302564"
"sp75_1403_8_c_4lag","1.796551",".2420144"
"sp75_208_c_4lag",".9051805",".0000315"
"sp75_388_c_4lag","1.01624",".8039988"
"sp75_209_c_4lag","1.00547",".928125"
"sp75_389_c_4lag","1.029245",".8534562"
"sp75_509_c_4lag","1.599769",".1976921"
"sp75_100_c_4lag","1.06889",".863549"
"sp75_1400_c_4lag",".8204667",".0526425"
"sp75_1403_10_c_4lag","1.034833",".5349638"
"sp75_160_c_4lag","1.289186",".4841758"
"sp75_1720_c_4lag","1.055323",".3884327"
"sp75_340_c_4lag","1.114569",".0156268"
"sp75_500_c_4lag","1.040155",".6138716"
"sp75_510_c_4lag","1","."
"sp75_810_c_4lag",".9173519",".0247215"
"mine_time","1.017809",".3673407"
"onsite_insp_hours","1.003742","9.19e-14"
"1.state","1.11801",".8884409"
"2.state",".5714263",".0017811"
"3.state","1.315523",".5251768"
"4.state","4.652424",".0290378"
"5.state",".9762353",".9614001"
"6.state",".5685832",".0000981"
"7.state","2.391674",".5000166"
"8.state",".9113233",".5423318"
"9.state",".1423212","0"
"10.state",".6898917",".3568851"
"11.state","2.308915",".3286776"
"12.state",".5279614",".0039935"
"13.state","1.958019",".3194869"
"14.state",".4151198",".0489802"
"15.state",".6893907",".0324028"
"16.state","1","."
"17.state","1","."
"1.time",".9038831",".6004316"
"2.time","1","."
"3.time",".6581403",".0309497"
"4.time",".8521535",".4890197"
"5.time",".5088678",".002129"
"6.time",".4656083",".0003664"
"7.time",".5019178",".0013039"
"8.time",".3061406","1.77e-07"
"9.time",".2347147","1.76e-10"
"10.time",".2690644","4.65e-07"
"11.time",".1836091","3.78e-11"
"12.time",".2289348","2.24e-08"
"13.time",".1556412","4.47e-13"
"14.time",".2241442","5.28e-07"
"15.time",".1396517","6.67e-11"
"16.time",".0961337","1.01e-12"
"N","5945",""
