"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp_c_4lag",".9990469",".4946856"
"p48_pp_c_4lag","1.000137",".6019294"
"p71_pp_c_4lag","1.001145",".4846724"
"p72_pp_c_4lag",".9991208",".2959887"
"p75_pp_c_4lag","1.000021",".0050099"
"p77_pp_c_4lag",".9999308",".7859691"
"mine_time",".9968303",".1849919"
"onsite_insp_hours","1.000868",".0006745"
"1.state","2.080177",".0014383"
"2.state","2.32163","0"
"3.state",".8481112",".4356851"
"4.state","1.634682",".0000302"
"5.state","1.030192",".8945498"
"6.state","1","."
"7.state","1.186923",".5234815"
"8.state",".8328627",".038472"
"9.state","1.372353",".0001006"
"10.state",".960184",".8765651"
"11.state","1.056795",".8542935"
"12.state","1.267819",".0323677"
"13.state","1.454732",".0211716"
"14.state",".6559187",".045882"
"15.state",".71054",".0000642"
"16.state","1.212382",".002638"
"17.state","2.815208","0"
"4.time","1.924353",".0011702"
"5.time","2.184414",".0000494"
"6.time","1.972176",".0004208"
"7.time","2.307072","4.16e-06"
"8.time","2.630235","4.19e-07"
"9.time","2.120259",".0001112"
"10.time","1.68826",".0062414"
"11.time","2.34115","9.54e-06"
"12.time","2.323226",".0000112"
"13.time","2.051243",".0003058"
"14.time","2.07049",".0003708"
"15.time","2.525052","1.02e-06"
"16.time","1.757126",".0030439"
"17.time","1.90009",".0008731"
"18.time","1.981285",".0003576"
"19.time","1.710646",".0054382"
"20.time","1.570292",".0224997"
"21.time","1.439848",".075461"
"22.time","1.752424",".0040504"
"23.time","1.67835",".0055104"
"24.time","1.334184",".1508984"
"25.time","1.871409",".0010362"
"26.time","1.473464",".0417095"
"27.time","1.803133",".0017461"
"28.time","1.515088",".0272841"
"29.time","1.453653",".0470582"
"30.time","1.322676",".1460524"
"31.time","1.582116",".0140404"
"32.time","1.538288",".0201627"
"33.time","1.041745",".8224819"
"34.time","1.214496",".3387585"
"35.time","1.328054",".1334866"
"36.time","1","."
"37.time",".8951594",".5507753"
"38.time",".8598256",".4331309"
"39.time","1.061142",".7554345"
"40.time",".7858458",".234464"
"41.time",".835615",".3433288"
"42.time",".934739",".7295067"
"43.time","1.115388",".5876268"
"44.time",".7967998",".2367513"
"45.time",".9863854",".9415703"
"46.time","1.058889",".7595352"
"47.time","1.281177",".1837009"
"48.time",".7995155",".2339973"
"49.time","1.127397",".51107"
"50.time","1.054014",".7871681"
"51.time","1.321014",".1590792"
"52.time",".793604",".2560469"
"53.time",".8077163",".2804681"
"54.time",".6493279",".0349659"
"55.time",".8868401",".5679329"
"56.time",".904552",".6369624"
"57.time",".5925835",".0109984"
"58.time",".7332408",".1508488"
"59.time",".8751408",".5096118"
"60.time",".852423",".4412647"
"61.time",".7858612",".2579612"
"62.time",".7692958",".2404308"
"63.time","1.141809",".5380356"
"64.time",".5219707",".0059639"
"65.time",".8542327",".4875229"
"N","22446",""
