"","est1",""
"","b","p"
"dv","",""
"p47_c_4lag","1.015736",".8147829"
"p48_c_4lag","1.000873",".9036083"
"p71_c_4lag",".9868423",".7973608"
"p72_c_4lag","1.009478",".6790003"
"p75_c_4lag","1.000799",".0032358"
"p77_c_4lag",".9912616",".1165891"
"mine_time",".9978748",".2837726"
"onsite_insp_hours",".9996185",".0121067"
"1.state","1.086249",".3351064"
"2.state","2.138294","0"
"3.state",".7179486",".0528412"
"4.state","1.154094",".0932364"
"5.state",".9061346",".5296646"
"6.state","1","."
"7.state","1.032027",".848427"
"8.state",".9204643",".1407338"
"9.state",".8012719","9.09e-06"
"10.state","1.070769",".6060921"
"11.state",".8881988",".6764071"
"12.state",".9382848",".5175983"
"13.state","1.194881",".2564024"
"14.state",".6081719",".0000624"
"15.state",".6798466",".000014"
"16.state","1.002785",".9604787"
"17.state","1.094373",".0773459"
"4.time","1.600341",".000323"
"5.time","1.649565",".0000641"
"6.time","1.476014",".0019394"
"7.time","1.753709","3.23e-06"
"8.time","1.593649",".0000905"
"9.time","1.633008",".0000719"
"10.time","1.466342",".0042588"
"11.time","1.795313","1.89e-06"
"12.time","1.687331",".0000139"
"13.time","1.390429",".0061437"
"14.time","1.583106",".0001579"
"15.time","1.66159","2.12e-06"
"16.time","1.247536",".0618969"
"17.time","1.560167",".0001425"
"18.time","1.505742",".0002341"
"19.time","1.469474",".0009915"
"20.time","1.345416",".0108978"
"21.time","1.161136",".225187"
"22.time","1.461138",".0007187"
"23.time","1.321224",".0181711"
"24.time","1.210603",".1227306"
"25.time","1.247314",".0514665"
"26.time","1.235717",".0794198"
"27.time","1.421968",".0023252"
"28.time","1.102262",".4052646"
"29.time","1.154983",".2232894"
"30.time","1.086319",".5029736"
"31.time","1.204218",".0947332"
"32.time","1.220099",".0788927"
"33.time",".9950494",".9652378"
"34.time","1.056539",".6472258"
"35.time","1.246038",".0395081"
"36.time","1","."
"37.time",".9439763",".5830919"
"38.time",".894704",".3247062"
"39.time","1.104854",".3973605"
"40.time",".8272285",".1105607"
"41.time",".8762021",".2699703"
"42.time",".930653",".5507662"
"43.time","1.09715",".4297607"
"44.time",".8372059",".1341313"
"45.time",".9548778",".6846901"
"46.time",".9542867",".6761136"
"47.time","1.092476",".4310726"
"48.time",".8641839",".203995"
"49.time","1.103365",".3718516"
"50.time",".9508094",".6524484"
"51.time","1.100964",".3868012"
"52.time",".8994583",".4092358"
"53.time",".9416271",".5991874"
"54.time",".8042664",".0909947"
"55.time","1.078876",".5217039"
"56.time",".861718",".2147459"
"57.time",".8176414",".1389866"
"58.time",".8943298",".3801324"
"59.time",".9647176",".7680963"
"60.time",".9447722",".6394134"
"61.time",".8581637",".1940861"
"62.time",".9211343",".5244888"
"63.time","1.182432",".1717108"
"64.time",".7213802",".0207288"
"65.time","1.007567",".9537488"
"N","22446",""
