"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_pp_1lag",".99638",".1500467"
"sp47_42_pp_1lag",".9833793",".0320176"
"sp47_44_pp_1lag","1.000847",".826868"
"sp48_11_pp_1lag","1.004234",".0844803"
"sp48_24_pp_1lag","1","."
"sp48_25_pp_1lag","1.005038",".240184"
"sp48_26_pp_1lag","1.001953",".5547276"
"sp48_27_pp_1lag","1.004173",".1617161"
"sp48_28_pp_1lag",".9995272",".8952111"
"sp48_4_pp_1lag","1","."
"sp48_5_pp_1lag",".9939403",".2987987"
"sp48_6_pp_1lag",".9967714",".1007318"
"sp48_7_pp_1lag","1.001136",".5676081"
"sp48_8_pp_1lag","1.00078",".8330821"
"sp71_701_pp_1lag","1","."
"sp72_503_pp_1lag",".9958898",".1751789"
"sp72_610_pp_1lag","1.018608",".3632984"
"sp72_620_pp_1lag",".9958523",".8606327"
"sp72_630_pp_1lag","1.000534",".13575"
"sp75_100_pp_1lag",".9977059",".6969598"
"sp75_1001_1_pp_1lag",".9927382",".5325407"
"sp75_1001_pp_1lag","1.000283",".9889854"
"sp75_1003_1_pp_1lag","1","."
"sp75_1100_2_pp_1lag","1.000859",".0368026"
"sp75_1101_20_pp_1lag",".9971607",".72909"
"sp75_1102_pp_1lag",".9994065",".7803273"
"sp75_1103_4_pp_1lag","1.001016",".0887356"
"sp75_1104_pp_1lag",".9995237",".7784467"
"sp75_1106_2_pp_1lag",".999676",".8670639"
"sp75_1106_3_pp_1lag","1.001469",".0505107"
"sp75_1106_4_pp_1lag",".9983982",".7257417"
"sp75_1106_5_pp_1lag","1.000974",".6756746"
"sp75_1106_6_pp_1lag","1.116533",".4720639"
"sp75_1106_pp_1lag","1.003626",".5868159"
"sp75_1107_14_pp_1lag",".9971374",".7832638"
"sp75_1400_1_pp_1lag","1.012915",".3509266"
"sp75_1400_2_pp_1lag",".9932578",".5415411"
"sp75_1400_3_pp_1lag","1.002165",".3693097"
"sp75_1400_4_pp_1lag",".9957168",".502207"
"sp75_1400_pp_1lag",".9977736",".4593307"
"sp75_1401_1_pp_1lag","1","."
"sp75_1401_pp_1lag","1.043946",".0002572"
"sp75_1403_10_pp_1lag","1.002188",".1164299"
"sp75_1403_11_pp_1lag","1","."
"sp75_1403_3_pp_1lag","1","."
"sp75_1403_4_pp_1lag","1","."
"sp75_1403_5_pp_1lag",".999197",".2303607"
"sp75_1403_6_pp_1lag",".999563",".4262708"
"sp75_1403_7_pp_1lag",".9989279",".6985874"
"sp75_1403_8_pp_1lag",".9987473",".0315028"
"sp75_1403_9_pp_1lag","1.008787",".3411988"
"sp75_1404_1_pp_1lag",".9546907",".003137"
"sp75_1404_pp_1lag",".9972884",".8243597"
"sp75_1405_1_pp_1lag","1.027354",".1183219"
"sp75_1405_pp_1lag",".9993142",".410154"
"sp75_1431_pp_1lag","1","."
"sp75_1432_pp_1lag","1.002632",".7378493"
"sp75_1433_pp_1lag",".9990641",".826765"
"sp75_1434_pp_1lag","1.000852",".8581891"
"sp75_1435_pp_1lag","1.00688",".7487037"
"sp75_1437_pp_1lag","1.041374",".0284723"
"sp75_150_pp_1lag","1.01453",".1516522"
"sp75_151_pp_1lag",".9811681",".087372"
"sp75_153_pp_1lag","1.004253",".6530927"
"sp75_156_pp_1lag",".9949711",".6558213"
"sp75_160_pp_1lag","1.011626",".264783"
"sp75_1600_2_pp_1lag",".998234",".1075391"
"sp75_1712_10_pp_1lag",".9982315",".6097261"
"sp75_1712_6_pp_1lag","1.001437",".5501856"
"sp75_1720_pp_1lag",".9990197",".5129002"
"sp75_1721_pp_1lag","1.015085",".2364573"
"sp75_1725_pp_1lag","1.000238",".2738902"
"sp75_1726_pp_1lag","1.004358",".2495461"
"sp75_1727_pp_1lag","1","."
"sp75_1728_pp_1lag","1.007066",".481906"
"sp75_1729_pp_1lag","1.004557",".4375534"
"sp75_1730_pp_1lag",".9979838",".7038266"
"sp75_1731_pp_1lag",".9998532",".421525"
"sp75_1903_pp_1lag","1.000083",".9744399"
"sp75_1909_pp_1lag","1.000105",".7814992"
"sp75_1910_pp_1lag","1.000208",".7513156"
"sp75_1911_pp_1lag","1.000957",".179795"
"sp75_1912_pp_1lag",".9958451",".2935204"
"sp75_1913_pp_1lag",".9994622",".9087779"
"sp75_1914_pp_1lag",".9999819",".9636923"
"sp75_1915_pp_1lag","1.008951",".1344046"
"sp75_202_pp_1lag","1.000064",".6165929"
"sp75_208_pp_1lag","1.000885",".272519"
"sp75_211_pp_1lag","1.000622",".414595"
"sp75_212_pp_1lag",".9959867",".0139434"
"sp75_214_pp_1lag","1.00024",".8848466"
"sp75_312_pp_1lag","1.000809",".5524501"
"sp75_320_pp_1lag",".999052",".2696703"
"sp75_324_pp_1lag",".9982953",".5517396"
"sp75_337_pp_1lag",".9969772",".0459656"
"sp75_340_pp_1lag",".999631",".5524611"
"sp75_341_pp_1lag",".9871384",".4858104"
"sp75_342_pp_1lag",".9998451",".6798125"
"sp75_344_pp_1lag",".9952562",".2624146"
"sp75_352_pp_1lag",".9956024",".173141"
"sp75_382_pp_1lag","1.000378",".9087893"
"sp75_503_pp_1lag","1.000004",".9804934"
"sp75_504_pp_1lag","1.005541",".1485023"
"sp75_505_pp_1lag","1.001137",".8626221"
"sp75_506_1_pp_1lag","1.00101",".8344807"
"sp75_506_pp_1lag",".996653",".3491675"
"sp75_507_pp_1lag","1.002604",".1297047"
"sp75_511_1_pp_1lag","1","."
"sp75_511_pp_1lag",".9970792",".1310636"
"sp75_512_1_pp_1lag","1.002996",".7862598"
"sp75_512_2_pp_1lag","1.000141",".8300389"
"sp75_512_pp_1lag","1.000259",".2153268"
"sp75_513_1_pp_1lag",".9952079",".5264403"
"sp75_513_pp_1lag",".9989279",".6899691"
"sp75_514_pp_1lag",".9993913",".5354748"
"sp75_515_pp_1lag",".9985599",".0043241"
"sp75_516_1_pp_1lag",".9983492",".8645568"
"sp75_516_2_pp_1lag","1.000164",".9182987"
"sp75_516_pp_1lag",".9999768",".9728289"
"sp75_517_1_pp_1lag","1.013681",".1164826"
"sp75_517_pp_1lag","1.000135",".5030094"
"sp75_518_1_pp_1lag",".9994323",".5589655"
"sp75_518_pp_1lag","1.000812",".2188757"
"sp75_519_pp_1lag",".9769271",".1842369"
"sp75_520_pp_1lag","1.001568",".3145604"
"sp75_523_1_pp_1lag",".9969873",".0369866"
"sp75_523_2_pp_1lag","1.001552",".232305"
"sp75_523_pp_1lag",".9976741",".1284121"
"sp75_600_1_pp_1lag",".9731041",".1341334"
"sp75_600_pp_1lag","1.006976",".7526358"
"sp75_601_1_pp_1lag",".999771",".6902669"
"sp75_601_2_pp_1lag","1","."
"sp75_601_3_pp_1lag","1.010792",".4122696"
"sp75_601_pp_1lag",".9986147",".1242621"
"sp75_602_pp_1lag","1.003738",".0413534"
"sp75_603_pp_1lag",".9988843",".6048706"
"sp75_604_pp_1lag","1.000561",".0387016"
"sp75_605_pp_1lag",".9992452",".3896725"
"sp75_606_pp_1lag","1.000189",".6640089"
"sp75_607_pp_1lag","1.002566",".197376"
"sp75_700_1_pp_1lag",".9896171",".1957275"
"sp75_700_pp_1lag",".9990445",".7372989"
"sp75_701_1_pp_1lag",".9976565",".4056198"
"sp75_701_2_pp_1lag",".996682",".354223"
"sp75_701_3_pp_1lag","1.001392",".6945503"
"sp75_701_4_pp_1lag","1.017915",".0310762"
"sp75_701_5_pp_1lag","1.002537",".6404731"
