"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_ss_c_4lag",".677478",".3634667"
"sp47_44_ss_c_4lag",".0000483","0"
"sp48_11_ss_c_4lag","1.135099",".3782742"
"sp48_25_ss_c_4lag",".7975259",".0280566"
"sp48_26_ss_c_4lag","1.372057",".0000625"
"sp48_27_ss_c_4lag",".9038178",".4988976"
"sp48_28_ss_c_4lag",".7981246",".195822"
"sp48_4_ss_c_4lag","1.454091",".6765595"
"sp48_5_ss_c_4lag",".8097996",".306322"
"sp48_6_ss_c_4lag",".7778354",".0563253"
"sp48_7_ss_c_4lag","1.108311",".3370623"
"sp48_8_ss_c_4lag","1.126728",".5836838"
"sp71_701_ss_c_4lag","2.396416",".005872"
"sp72_503_ss_c_4lag",".6731365",".1114811"
"sp72_610_ss_c_4lag",".9193271",".8109935"
"sp72_620_ss_c_4lag","1.232163",".5025194"
"sp72_630_ss_c_4lag","1.031166",".0914232"
"sp75_100_ss_c_4lag",".8100557",".5673358"
"sp75_1001_1_ss_c_4lag",".2915983",".3782948"
"sp75_1001_ss_c_4lag","1.498308",".4905394"
"sp75_1003_1_ss_c_4lag",".9391286",".936276"
"sp75_1100_2_ss_c_4lag","1.030458",".2399589"
"sp75_1101_20_ss_c_4lag",".7964635",".217643"
"sp75_1102_ss_c_4lag",".799497",".0174678"
"sp75_1103_4_ss_c_4lag","1.085134",".1518506"
"sp75_1104_ss_c_4lag",".8606118",".5796558"
"sp75_1106_2_ss_c_4lag",".945697",".5148292"
"sp75_1106_3_ss_c_4lag","1.082939",".0939458"
"sp75_1106_4_ss_c_4lag",".8717055",".6670712"
"sp75_1106_5_ss_c_4lag",".7299731",".0174263"
"sp75_1106_6_ss_c_4lag",".5667346",".3305547"
"sp75_1106_ss_c_4lag","1.189426",".2893214"
"sp75_1107_14_ss_c_4lag",".8637065",".733098"
"sp75_1400_1_ss_c_4lag","1.084772",".8152935"
"sp75_1400_2_ss_c_4lag","1","."
"sp75_1400_3_ss_c_4lag","1.080829",".7234296"
"sp75_1400_4_ss_c_4lag","1","."
"sp75_1400_ss_c_4lag","1.109584",".3669525"
"sp75_1401_ss_c_4lag","1.297398",".4999771"
"sp75_1403_10_ss_c_4lag","1.081143",".1269174"
"sp75_1403_11_ss_c_4lag","1","."
"sp75_1403_3_ss_c_4lag","1","."
"sp75_1403_4_ss_c_4lag","1","."
"sp75_1403_5_ss_c_4lag",".9612822",".0923696"
"sp75_1403_6_ss_c_4lag",".9815122",".546337"
"sp75_1403_7_ss_c_4lag",".9610832",".7037659"
"sp75_1403_8_ss_c_4lag","1.025193",".522074"
"sp75_1403_9_ss_c_4lag","1.110409",".6669017"
"sp75_1404_1_ss_c_4lag",".4227657",".1645953"
"sp75_1404_ss_c_4lag","1.80198",".347479"
"sp75_1405_1_ss_c_4lag","4.710632","3.24e-07"
"sp75_1405_ss_c_4lag",".962496",".2502768"
"sp75_1431_ss_c_4lag","1.638694",".4204724"
"sp75_1432_ss_c_4lag","1","."
"sp75_1433_ss_c_4lag",".8883413",".674537"
"sp75_1434_ss_c_4lag","1.124004",".6471753"
"sp75_1435_ss_c_4lag",".808802",".8164199"
"sp75_1437_ss_c_4lag","1.454966",".4427772"
"sp75_150_ss_c_4lag","2.959624",".1278668"
"sp75_151_ss_c_4lag",".1325652",".0014823"
"sp75_153_ss_c_4lag","1","."
"sp75_155_ss_c_4lag","1","."
"sp75_156_ss_c_4lag","1.04168",".922882"
"sp75_1600_2_ss_c_4lag",".7400142",".1792894"
"sp75_1712_10_ss_c_4lag",".8353844",".7134183"
"sp75_1712_6_ss_c_4lag","3.865246",".0010618"
"sp75_1720_ss_c_4lag","1.066384",".2253891"
"sp75_1721_ss_c_4lag","1","."
"sp75_1725_ss_c_4lag","1.01132",".1528255"
"sp75_1726_ss_c_4lag","1.468963",".0330821"
"sp75_1727_ss_c_4lag","2.751391",".0054389"
"sp75_1728_ss_c_4lag","2.040566",".1310042"
"sp75_1729_ss_c_4lag","1.031708",".8779314"
"sp75_1730_ss_c_4lag",".5625015",".0579902"
"sp75_1731_ss_c_4lag",".9937665",".4540317"
"sp75_1903_ss_c_4lag","2.10731",".0841183"
"sp75_1909_ss_c_4lag","1.062724",".079401"
"sp75_1910_ss_c_4lag",".9765484",".6119298"
"sp75_1911_ss_c_4lag",".91313",".2107359"
"sp75_1912_ss_c_4lag","2.217417",".0122401"
"sp75_1913_ss_c_4lag","1.322038",".0682763"
"sp75_1914_ss_c_4lag","1.003179",".9155794"
"sp75_1915_ss_c_4lag","2.081386",".0571286"
"sp75_202_ss_c_4lag","1.003046",".5157296"
"sp75_208_ss_c_4lag",".994437",".8631595"
"sp75_211_ss_c_4lag",".9840914",".6448854"
"sp75_212_ss_c_4lag",".8597434",".0379519"
"sp75_214_ss_c_4lag",".8382828",".3734355"
"sp75_312_ss_c_4lag",".6975505",".0432737"
"sp75_320_ss_c_4lag","1.022856",".803162"
"sp75_324_ss_c_4lag","1.025493",".8229984"
"sp75_337_ss_c_4lag","1.082961",".3758646"
"sp75_340_ss_c_4lag","1.040076",".2291866"
"sp75_342_ss_c_4lag","1.008025",".694121"
"sp75_344_ss_c_4lag","1.318246",".1974374"
"sp75_352_ss_c_4lag","1.077159",".4876606"
"sp75_382_ss_c_4lag","1.794096",".0782681"
"sp75_503_ss_c_4lag","1.008037",".3567985"
"sp75_504_ss_c_4lag",".5187295",".1634857"
"sp75_505_ss_c_4lag",".6607517",".3356226"
"sp75_506_1_ss_c_4lag","1.030394",".8891118"
"sp75_506_ss_c_4lag",".8581943",".6197643"
"sp75_507_ss_c_4lag","1.144435",".3264131"
"sp75_511_1_ss_c_4lag",".2934977",".0000107"
"sp75_511_ss_c_4lag","1.122765",".1704682"
"sp75_512_1_ss_c_4lag","2.302592",".2225925"
"sp75_512_2_ss_c_4lag",".9394891",".4631344"
"sp75_512_ss_c_4lag",".9975593",".8526396"
"sp75_513_1_ss_c_4lag",".2972005",".2698783"
"sp75_513_ss_c_4lag","1.061826",".7898361"
"sp75_514_ss_c_4lag",".9697247",".536968"
"sp75_515_ss_c_4lag",".9300265",".0834637"
"sp75_516_1_ss_c_4lag",".5233526",".0034656"
"sp75_516_2_ss_c_4lag","1.132449",".8958631"
"sp75_516_ss_c_4lag","1.102661",".2285428"
"sp75_517_1_ss_c_4lag","1.148447",".6817349"
"sp75_517_ss_c_4lag","1.000608",".9412339"
"sp75_518_1_ss_c_4lag",".6679332",".0000323"
"sp75_518_ss_c_4lag","1.058142",".1094007"
"sp75_519_ss_c_4lag","2.526282",".3131346"
"sp75_520_ss_c_4lag",".9936604",".9281793"
"sp75_523_1_ss_c_4lag",".9203744",".0809876"
"sp75_523_2_ss_c_4lag","1.061144",".2126285"
"sp75_523_ss_c_4lag",".9231001",".0640058"
"sp75_600_1_ss_c_4lag",".5376569",".1409201"
"sp75_600_ss_c_4lag","2.697077",".000058"
"sp75_601_1_ss_c_4lag",".9900661",".7837891"
"sp75_601_2_ss_c_4lag",".8323042",".556845"
"sp75_601_3_ss_c_4lag",".7996044",".4829944"
"sp75_601_ss_c_4lag",".9639488",".3700395"
"sp75_602_ss_c_4lag","1.12006",".2441743"
"sp75_603_ss_c_4lag","1.010268",".9320643"
"sp75_604_ss_c_4lag","1.03374",".0058923"
"sp75_605_ss_c_4lag",".9998166",".9973053"
"sp75_606_ss_c_4lag",".9853548",".6003186"
"sp75_607_ss_c_4lag","1.12422",".1472297"
