"","est1",""
"","b","p"
"dv","",""
"p47_pp_1lag",".9990064",".2850544"
"p48_pp_1lag","1.000141",".2551269"
"p71_pp_1lag",".999417",".4781441"
"p72_pp_1lag",".9995358",".3568712"
"p75_pp_1lag","1.000015",".0002622"
"p77_pp_1lag",".9999515",".6479029"
"mine_time",".9919531",".2644805"
"onsite_insp_hours",".9998803",".0174611"
"1.state","1.119807",".2313513"
"2.state","1.949381","0"
"3.state",".7305579",".060128"
"4.state","1.122778",".1709929"
"5.state",".9103583",".5654665"
"6.state",".9526065",".356396"
"7.state",".9719908",".9021925"
"8.state",".9999069",".9984571"
"9.state",".7838145","6.07e-07"
"10.state",".9979179",".9893378"
"11.state",".8764523",".5854935"
"12.state",".9891269",".9023901"
"13.state","1.311713",".0695277"
"14.state",".6305247",".0007444"
"15.state",".6758236","8.97e-08"
"16.state","1","."
"17.state","1.071452",".1255778"
"1.time","1.088509",".1534233"
"2.time","1","."
"3.time",".9893453",".8579724"
"4.time",".8828897",".0513901"
"5.time",".8954212",".091815"
"6.time",".7927286",".0002658"
"7.time",".791379",".0009046"
"8.time",".71174","2.45e-06"
"9.time",".6127472","2.36e-11"
"10.time",".5230409","0"
"11.time",".5371141","4.46e-14"
"12.time",".5738348","3.92e-12"
"13.time",".5806117","1.68e-11"
"14.time",".5092676","2.30e-13"
"15.time",".4942541","7.19e-14"
"16.time",".5203743","2.45e-10"
"N","6253",""
