"","est1",""
"","b","p"
"dv","",""
"p47_ss_c_4lag",".9665738",".7390854"
"p48_ss_c_4lag","1.001808",".8368903"
"p71_ss_c_4lag",".930945",".1623955"
"p72_ss_c_4lag",".9781477",".4242953"
"p75_ss_c_4lag","1.000785",".0006141"
"p77_ss_c_4lag","1.002777",".6239175"
"mine_time",".9935959",".3862082"
"onsite_insp_hours",".9998842",".0211974"
"1.state","1.040817",".6656877"
"2.state","1.845731","0"
"3.state",".7283133",".0599794"
"4.state","1.140305",".1116156"
"5.state",".9304445",".6556035"
"6.state",".9515952",".3394502"
"7.state",".957214",".8486436"
"8.state",".9676493",".447529"
"9.state",".7639186","6.02e-10"
"10.state",".9614116",".7925529"
"11.state",".8594178",".5507045"
"12.state",".9590774",".6450657"
"13.state","1.320578",".0651868"
"14.state",".627704",".0010876"
"15.state",".66791","1.75e-07"
"16.state","1","."
"17.state","1.060829",".1429422"
"1.time","1.148406",".0263132"
"2.time","1","."
"3.time",".9849637",".8012014"
"4.time",".8830899",".0548419"
"5.time",".890783",".0810311"
"6.time",".7816026",".0001214"
"7.time",".7783244",".0004393"
"8.time",".7238965","8.03e-06"
"9.time",".6680231","2.13e-08"
"10.time",".5731816","1.04e-12"
"11.time",".5885455","6.42e-11"
"12.time",".623597","5.57e-09"
"13.time",".6402445","6.53e-08"
"14.time",".560265","5.86e-10"
"15.time",".5462661","2.80e-10"
"16.time",".5761507","1.39e-07"
"N","6253",""
