"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_pp_1lag",".9898717",".004532"
"sp47_42_pp_1lag",".9873782",".1269703"
"sp47_44_pp_1lag","1.018873",".0459131"
"sp48_11_pp_1lag","1.007646",".0847582"
"sp48_24_pp_1lag","1","."
"sp48_25_pp_1lag",".9944957",".3436325"
"sp48_26_pp_1lag","1.005667",".0491913"
"sp48_27_pp_1lag",".9996411",".928376"
"sp48_28_pp_1lag",".9934802",".3012808"
"sp48_4_pp_1lag","1","."
"sp48_5_pp_1lag","1.003587",".5694367"
"sp48_6_pp_1lag",".9997224",".9164266"
"sp48_7_pp_1lag","1.000806",".7711962"
"sp48_8_pp_1lag",".9975262",".5889114"
"sp71_701_pp_1lag","1","."
"sp72_503_pp_1lag",".9959851",".4537012"
"sp72_610_pp_1lag","1","."
"sp72_620_pp_1lag","1.064835",".0013128"
"sp72_630_pp_1lag","1.000408",".4353431"
"sp75_100_pp_1lag","1.004953",".70817"
"sp75_1001_1_pp_1lag","1","."
"sp75_1001_pp_1lag",".9491825",".0308295"
"sp75_1003_1_pp_1lag","1","."
"sp75_1100_2_pp_1lag","1.000304",".6045787"
"sp75_1101_20_pp_1lag","1.027193",".0320263"
"sp75_1102_pp_1lag",".9998606",".9500003"
"sp75_1103_4_pp_1lag","1.000399",".6098334"
"sp75_1104_pp_1lag",".9964367",".2070466"
"sp75_1106_2_pp_1lag","1.002427",".511876"
"sp75_1106_3_pp_1lag","1.000577",".6327809"
"sp75_1106_4_pp_1lag",".991005",".1606905"
"sp75_1106_5_pp_1lag",".9990042",".7197198"
"sp75_1106_6_pp_1lag","1","."
"sp75_1106_pp_1lag","1.001671",".8261997"
"sp75_1107_14_pp_1lag",".9817009",".3637996"
"sp75_1400_1_pp_1lag","1","."
"sp75_1400_2_pp_1lag","1.001119",".9493393"
"sp75_1400_3_pp_1lag","1.001817",".7216347"
"sp75_1400_4_pp_1lag",".9927816",".4948376"
"sp75_1400_pp_1lag","1.007094",".3873133"
"sp75_1401_1_pp_1lag","1","."
"sp75_1401_pp_1lag","1.006464",".5917798"
"sp75_1403_10_pp_1lag","1.004032",".0436868"
"sp75_1403_11_pp_1lag","1","."
"sp75_1403_3_pp_1lag","1","."
"sp75_1403_4_pp_1lag","1","."
"sp75_1403_5_pp_1lag",".9996146",".810505"
"sp75_1403_6_pp_1lag",".9991635",".458388"
"sp75_1403_7_pp_1lag","1.000197",".9669688"
"sp75_1403_8_pp_1lag","1.001918",".1770879"
"sp75_1403_9_pp_1lag","1","."
"sp75_1404_1_pp_1lag","1.025941",".1186447"
"sp75_1404_pp_1lag",".9987426",".9525751"
"sp75_1405_1_pp_1lag","1","."
"sp75_1405_pp_1lag","1.000082",".9646425"
"sp75_1431_pp_1lag","1","."
"sp75_1432_pp_1lag","1.019313",".0118225"
"sp75_1433_pp_1lag",".9991176",".9161277"
"sp75_1434_pp_1lag",".9859678",".2360656"
"sp75_1435_pp_1lag",".982393",".2269601"
"sp75_1437_pp_1lag","1","."
"sp75_150_pp_1lag","1","."
"sp75_151_pp_1lag",".9737879",".1239524"
"sp75_153_pp_1lag","1","."
"sp75_156_pp_1lag","1","."
"sp75_160_pp_1lag",".9989771",".9551617"
"sp75_1600_2_pp_1lag",".9967513",".022265"
"sp75_1712_10_pp_1lag","1.004056",".7280666"
"sp75_1712_6_pp_1lag",".997426",".4683775"
"sp75_1720_pp_1lag","1.00114",".5130391"
"sp75_1721_pp_1lag",".9948061",".6843753"
"sp75_1725_pp_1lag","1.000553",".0684487"
"sp75_1726_pp_1lag","1.006532",".2885144"
"sp75_1727_pp_1lag",".995892",".8995967"
"sp75_1728_pp_1lag","1.006834",".6342708"
"sp75_1729_pp_1lag","1.014981",".1553624"
"sp75_1730_pp_1lag","1.00741",".302445"
"sp75_1731_pp_1lag",".9992627",".0001368"
"sp75_1903_pp_1lag","1.003727",".6613906"
"sp75_1909_pp_1lag",".9999389",".9176375"
"sp75_1910_pp_1lag",".9999082",".9469384"
"sp75_1911_pp_1lag","1.001329",".237318"
"sp75_1912_pp_1lag","1.00401",".6662117"
"sp75_1913_pp_1lag",".9974124",".6674991"
"sp75_1914_pp_1lag","1.000522",".5294326"
"sp75_1915_pp_1lag","1.002456",".7659706"
"sp75_202_pp_1lag","1.00034",".030428"
"sp75_208_pp_1lag",".9993786",".5385809"
"sp75_211_pp_1lag",".9997747",".8237888"
"sp75_212_pp_1lag",".9969195",".2971901"
"sp75_214_pp_1lag","1.003202",".1388369"
"sp75_312_pp_1lag",".9991087",".5766737"
"sp75_320_pp_1lag",".9977186",".0302393"
"sp75_324_pp_1lag",".9996539",".9370198"
"sp75_337_pp_1lag",".9982636",".4481944"
"sp75_340_pp_1lag",".9990514",".2697013"
"sp75_341_pp_1lag",".9510932",".1644656"
"sp75_342_pp_1lag",".9997466",".5430032"
"sp75_344_pp_1lag",".9870261",".0420528"
"sp75_352_pp_1lag","1.000776",".8838188"
"sp75_382_pp_1lag","1.001139",".8413093"
"sp75_503_pp_1lag","1.000266",".1942933"
"sp75_504_pp_1lag",".995959",".4898824"
"sp75_505_pp_1lag","1.013824",".0592127"
"sp75_506_1_pp_1lag","1.007571",".2545041"
"sp75_506_pp_1lag","1.001167",".8189806"
"sp75_507_pp_1lag","1.001702",".5224655"
"sp75_511_1_pp_1lag","1","."
"sp75_511_pp_1lag",".9968454",".1927207"
"sp75_512_1_pp_1lag",".9960124",".8594779"
"sp75_512_2_pp_1lag","1.001905",".1018085"
"sp75_512_pp_1lag","1.000107",".6814828"
"sp75_513_1_pp_1lag","1.014071",".1294363"
"sp75_513_pp_1lag",".9966418",".3819067"
"sp75_514_pp_1lag","1.000149",".8877807"
"sp75_515_pp_1lag",".9983214",".0192738"
"sp75_516_1_pp_1lag","1.001144",".9273774"
"sp75_516_2_pp_1lag",".9985643",".4698098"
"sp75_516_pp_1lag",".9992971",".5305839"
"sp75_517_1_pp_1lag","1.011161",".4356525"
"sp75_517_pp_1lag",".9996763",".1786277"
"sp75_518_1_pp_1lag","1.000583",".715575"
"sp75_518_pp_1lag","1.001151",".2558945"
"sp75_519_pp_1lag","1","."
"sp75_520_pp_1lag",".9989658",".6387402"
"sp75_523_1_pp_1lag","1.000554",".7253835"
"sp75_523_2_pp_1lag","1.001947",".169249"
"sp75_523_pp_1lag",".9969117",".061671"
"sp75_600_1_pp_1lag","1.015042",".4337636"
"sp75_600_pp_1lag","1.001181",".9444447"
"sp75_601_1_pp_1lag",".9984671",".0657485"
"sp75_601_2_pp_1lag",".9853023",".3555173"
"sp75_601_3_pp_1lag","1.000057",".9974682"
"sp75_601_pp_1lag",".999197",".440888"
"sp75_602_pp_1lag",".9982612",".5147645"
"sp75_603_pp_1lag","1.010629",".0054883"
"sp75_604_pp_1lag","1.000551",".1856784"
"sp75_605_pp_1lag",".9988477",".3622699"
"sp75_606_pp_1lag",".9998107",".758335"
"sp75_607_pp_1lag",".9997083",".9041859"
"sp75_700_1_pp_1lag",".9906965",".237572"
"sp75_700_pp_1lag",".9952068",".1606528"
"sp75_701_1_pp_1lag","1.000637",".8723752"
"sp75_701_2_pp_1lag","1.006761",".1888921"
"sp75_701_3_pp_1lag","1.004468",".5999919"
"sp75_701_4_pp_1lag","1.008332",".4420413"
"sp75_701_5_pp_1lag","1.001154",".8784674"
"sp75_701_pp_1lag","1.001363",".1430261"
"sp75_702_1_pp_1lag","1","."
"sp75_702_pp_1lag",".9744071",".1445037"
