"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_c_lag_all",".9665054",".4385147"
"sp48_11_c_lag_all","1.03098",".4508024"
"sp71_701_c_lag_all","1","."
"sp75_1001_1_c_lag_all","1.01375",".9045611"
"sp75_1001_c_lag_all","1.282339",".0835154"
"sp75_1003_1_c_lag_all","1","."
"sp75_1400_1_c_lag_all",".8944573",".7585188"
"sp75_1401_1_c_lag_all","1","."
"sp75_1401_c_lag_all",".5016675",".1212023"
"sp75_1403_11_c_lag_all","1","."
"sp75_1404_1_c_lag_all",".6899724",".2749587"
"sp75_1405_1_c_lag_all",".8034512",".1300156"
"sp75_1431_c_lag_all","2.160033",".3830695"
"sp75_151_c_lag_all","1.380878",".2626874"
"sp75_1721_c_lag_all",".7385037",".0005551"
"sp75_1731_c_lag_all","1.000914",".7112855"
"sp75_1911_c_lag_all",".9970646",".7908119"
"sp75_211_c_lag_all","1.014474",".2023305"
"sp75_341_c_lag_all",".8048374",".4985997"
"sp75_506_1_c_lag_all","1.101755",".0519236"
"sp75_510_1_c_lag_all","1","."
"sp75_511_1_c_lag_all","1.031266",".8813197"
"sp75_511_c_lag_all",".9588347",".1975984"
"sp75_512_1_c_lag_all","1.143905",".5813311"
"sp75_513_1_c_lag_all","1.027992",".6736287"
"sp75_516_1_c_lag_all","1.073385",".3132853"
"sp75_517_1_c_lag_all",".8791201",".4356836"
"sp75_518_1_c_lag_all","1.000574",".9690623"
"sp75_523_1_c_lag_all","1.034593",".023987"
"sp75_600_1_c_lag_all","1.014671",".8538086"
"sp75_601_1_c_lag_all","1.003666",".5802141"
"sp75_601_c_lag_all","1.008126",".5141883"
"sp75_700_1_c_lag_all","1.030412",".640935"
"sp75_701_1_c_lag_all","1.012246",".759395"
"sp75_701_c_lag_all","1.010966",".1935316"
"sp75_702_1_c_lag_all",".9093707",".479213"
"sp75_703_1_c_lag_all",".9263279",".740374"
"sp75_705_1_c_lag_all","1.069707",".7306295"
"sp75_801_c_lag_all","1.144806",".3153749"
"sp75_821_c_lag_all","1.075257",".438735"
"sp75_831_c_lag_all",".8933297",".5152914"
"sp75_901_c_lag_all","1.030494",".5242279"
"sp75_902_1_c_lag_all",".6965763",".1063973"
"sp77_1111_c_lag_all",".9711724",".8878209"
"sp77_401_c_lag_all",".9624092",".3128746"
"sp77_403_1_c_lag_all","1.171293",".0239634"
"sp77_411_c_lag_all",".5064483","6.45e-07"
"sp77_501_c_lag_all",".9852338",".8434309"
"sp77_502_1_c_lag_all","1","."
"sp77_503_1_c_lag_all",".875828",".1777546"
"sp77_506_1_c_lag_all","1.011239",".6821888"
"sp77_508_1_c_lag_all","1.020289",".8352301"
"sp77_511_c_lag_all",".9118214",".4026601"
"sp77_601_c_lag_all","1.031906",".7989744"
"sp77_606_1_c_lag_all",".032167","6.97e-06"
"sp77_700_1_c_lag_all",".70757",".0516718"
"sp77_701_1_c_lag_all",".9593324",".5470792"
"sp77_701_c_lag_all","1.005164",".7611573"
"sp75_811_c_lag_all","1.029241",".3881569"
"sp77_704_1_c_lag_all","1","."
"sp77_800_1_c_lag_all","1.237044",".0517411"
"sp77_801_1_c_lag_all","1","."
"sp77_801_c_lag_all","1","."
"sp77_807_1_c_lag_all","1.115577",".4882465"
"sp77_900_1_c_lag_all","1.074827",".5163253"
"sp77_901_1_c_lag_all","1","."
"sp77_901_c_lag_all","1.24599",".1599575"
"sp47_42_c_lag_all",".8462148",".0722394"
"sp75_1100_2_c_lag_all",".9965706",".3923288"
"sp75_1102_c_lag_all",".9653294",".1139869"
"sp75_1106_2_c_lag_all",".9404847",".0535461"
"sp75_1400_2_c_lag_all","1.188322",".6186706"
"sp75_1402_2_c_lag_all","1","."
"sp75_1432_c_lag_all","1.239785",".2092707"
"sp75_1600_2_c_lag_all",".9595442",".0172184"
"sp75_1912_c_lag_all","1.043955",".6567889"
"sp75_202_c_lag_all","1.001151",".4707785"
"sp75_212_c_lag_all","1.018801",".6026779"
"sp75_312_c_lag_all",".9882513",".3110482"
"sp75_342_c_lag_all",".9989593",".8082806"
"sp75_352_c_lag_all","1.026409",".5436699"
"sp75_382_c_lag_all",".9437086",".238692"
"sp75_512_2_c_lag_all",".9850553",".1630309"
"sp75_512_c_lag_all",".9996467",".9145162"
"sp75_516_2_c_lag_all",".9973208",".8840568"
"sp75_523_2_c_lag_all",".9898599",".1942623"
"sp75_601_2_c_lag_all","1.187694",".2776417"
"sp75_602_c_lag_all","1.017294",".4648382"
"sp75_701_2_c_lag_all",".9177332",".1883112"
"sp75_702_c_lag_all","1.120216",".6115669"
"sp75_703_2_c_lag_all",".8632476",".3635408"
"sp75_705_2_c_lag_all","1.692524",".3144957"
"sp75_800_2_c_lag_all",".7539966",".1867943"
"sp75_802_c_lag_all",".8036665",".0058637"
"sp75_803_2_c_lag_all",".6217654",".0001926"
"sp75_812_c_lag_all","1.090487",".4734251"
"sp75_832_c_lag_all",".744346",".4543124"
"sp75_900_2_c_lag_all",".7969756",".3596978"
"sp75_902_2_c_lag_all","1.071845",".2665986"
"sp75_902_c_lag_all",".9975896",".7966247"
"sp77_1112_c_lag_all","1.111403",".5786086"
"sp77_1432_c_lag_all",".7380066",".2331574"
"sp77_1802_c_lag_all","1","."
"sp77_202_c_lag_all",".9754769",".0631285"
"sp77_402_c_lag_all","1.01952",".5772222"
"sp77_403_2_c_lag_all","1","."
"sp77_412_c_lag_all","1.054982",".5060542"
"sp77_502_2_c_lag_all","1.051476",".1684997"
"sp77_502_c_lag_all",".9848565",".0060047"
"sp77_512_c_lag_all","1.019949",".2444808"
"sp77_602_c_lag_all","1.561638",".0495305"
"sp77_701_2_c_lag_all",".9871593",".7116171"
"sp77_702_c_lag_all","1","."
"sp77_800_2_c_lag_all","1.107939",".049271"
"sp77_802_c_lag_all",".9826161",".8564561"
"sp77_807_2_c_lag_all","1.252433",".2107951"
"sp77_900_2_c_lag_all","1.007894",".8719799"
"sp77_902_2_c_lag_all","1","."
"sp77_902_c_lag_all",".8973722",".2917146"
"sp47_43_c_lag_all","1.001332",".9976995"
"sp72_503_c_lag_all",".9970087",".9610041"
"sp75_1106_3_c_lag_all","1.00386",".7280582"
"sp75_1400_3_c_lag_all",".9836932",".8217132"
"sp75_1403_3_c_lag_all","1","."
"sp75_1433_c_lag_all",".9608678",".6844255"
"sp75_153_c_lag_all",".9335035",".7413835"
"sp75_1903_c_lag_all","1.034286",".6616735"
"sp75_1913_c_lag_all","1.02847",".2880432"
"sp75_503_c_lag_all","1.002555",".087299"
"sp75_513_c_lag_all",".9156195",".0839987"
"sp75_523_c_lag_all",".9997595",".980854"
"sp75_601_3_c_lag_all",".9398619",".7718355"
"sp75_603_c_lag_all","1.042845",".2379364"
"sp75_701_3_c_lag_all",".9161618",".3135033"
"sp75_703_3_c_lag_all","1.147842",".0869354"
"sp75_703_c_lag_all","1.011062",".4923664"
"sp75_705_3_c_lag_all","1","."
"sp75_800_3_c_lag_all",".9243462",".2569115"
"sp75_803_c_lag_all","1.100873",".0513847"
"sp75_900_3_c_lag_all",".9837953",".7317692"
"sp75_903_c_lag_all","1.009673",".6762999"
"sp77_103_c_lag_all",".9464038",".7254821"
"sp77_1103_c_lag_all","1.009114",".4870293"
"sp77_1403_c_lag_all","1.034498",".8047697"
"sp77_1433_c_lag_all",".6798633",".0003469"
"sp77_203_c_lag_all",".9499174",".5658032"
"sp77_403_c_lag_all","1.006797",".9611016"
