"","est1",""
"","b","p"
"dv","",""
"sp47_41_c_lag_all","1.015832",".0302504"
"sp48_11_c_lag_all",".9873313",".0967323"
"sp71_701_c_lag_all",".9277474",".4259877"
"sp75_1001_1_c_lag_all",".9261654",".0005023"
"sp75_1001_c_lag_all",".9572379",".2462259"
"sp75_1003_1_c_lag_all",".9904606",".8460947"
"sp75_1400_1_c_lag_all",".9484752",".217866"
"sp75_1401_1_c_lag_all",".7887979",".0024759"
"sp75_1401_c_lag_all","1.008678",".7749"
"sp75_1403_11_c_lag_all",".9272618",".2857905"
"sp75_1404_1_c_lag_all",".8278053",".0000905"
"sp75_1405_1_c_lag_all",".964574",".6240867"
"sp75_1431_c_lag_all","1.214748",".1423882"
"sp75_151_c_lag_all","1.095208",".0948249"
"sp75_1721_c_lag_all",".8020295",".000879"
"sp75_1731_c_lag_all","1.000342",".349861"
"sp75_1911_c_lag_all",".9968002",".0740328"
"sp75_211_c_lag_all","1.00478",".1560803"
"sp75_341_c_lag_all","1.089958",".0975984"
"sp75_506_1_c_lag_all","1.05915","5.38e-08"
"sp75_510_1_c_lag_all","1.192262",".1741624"
"sp75_511_1_c_lag_all",".9900231",".8747864"
"sp75_511_c_lag_all","1.005789",".5296483"
"sp75_512_1_c_lag_all",".9692899",".6737227"
"sp75_513_1_c_lag_all",".9926236",".755974"
"sp75_516_1_c_lag_all",".9979459",".9364717"
"sp75_517_1_c_lag_all",".968613",".2783163"
"sp75_518_1_c_lag_all","1.0029",".4245035"
"sp75_523_1_c_lag_all","1.000435",".9263665"
"sp75_600_1_c_lag_all",".9934747",".8067312"
"sp75_601_1_c_lag_all",".9995034",".7971829"
"sp75_601_c_lag_all",".9994247",".8420697"
"sp75_700_1_c_lag_all",".9739592",".1745434"
"sp75_701_1_c_lag_all","1.017767",".0268994"
"sp75_701_c_lag_all","1.000046",".980839"
"sp75_702_1_c_lag_all",".8965148",".2964758"
"sp75_703_1_c_lag_all",".8350604",".014506"
"sp75_705_1_c_lag_all",".9986772",".9570093"
"sp75_801_c_lag_all",".984496",".6650578"
"sp75_821_c_lag_all","1.001454",".8934522"
"sp75_831_c_lag_all","1.114398",".0031335"
"sp75_901_c_lag_all","1.020088",".1635395"
"sp75_902_1_c_lag_all","1.045577",".5234734"
"sp77_1111_c_lag_all",".9595191",".3017781"
"sp77_401_c_lag_all",".9942417",".584794"
"sp77_403_1_c_lag_all",".9851505",".4159405"
"sp77_411_c_lag_all",".8685186",".0017748"
"sp77_501_c_lag_all","1.008917",".5751398"
"sp77_502_1_c_lag_all","1.139594",".070738"
"sp77_503_1_c_lag_all",".9447667",".145411"
"sp77_506_1_c_lag_all",".996522",".478888"
"sp77_508_1_c_lag_all","1.070941",".0009764"
"sp77_511_c_lag_all","1.002707",".900989"
"sp77_601_c_lag_all","1.011879",".7342713"
"sp77_606_1_c_lag_all",".9213531",".3600996"
"sp77_700_1_c_lag_all","1.007051",".8823631"
"sp77_701_1_c_lag_all","1.022543",".3220278"
"sp77_701_c_lag_all","1.004344",".3353582"
"sp75_811_c_lag_all","1.005509",".4027236"
"sp77_704_1_c_lag_all","1.16332",".0206786"
"sp77_800_1_c_lag_all","1.067654",".006081"
"sp77_801_1_c_lag_all","1","."
"sp77_801_c_lag_all","1","."
"sp77_807_1_c_lag_all","1.063239",".2052512"
"sp77_900_1_c_lag_all","1.030083",".4098454"
"sp77_901_1_c_lag_all",".7154733","6.27e-06"
"sp77_901_c_lag_all","1.007523",".7869656"
"sp47_42_c_lag_all",".9251635",".0111831"
"sp75_1100_2_c_lag_all","1.001371",".1270426"
"sp75_1102_c_lag_all",".9907345",".3416474"
"sp75_1106_2_c_lag_all",".9869407",".0483599"
"sp75_1400_2_c_lag_all",".9727588",".3439052"
"sp75_1402_2_c_lag_all","1.154956",".3047344"
"sp75_1432_c_lag_all",".9655526",".2714545"
"sp75_1600_2_c_lag_all","1.000097",".9777012"
"sp75_1912_c_lag_all","1.023871",".1243528"
"sp75_202_c_lag_all",".9999928",".9766295"
"sp75_212_c_lag_all",".9998122",".9729784"
"sp75_312_c_lag_all","1.002737",".4725878"
"sp75_342_c_lag_all",".9997682",".7958009"
"sp75_352_c_lag_all",".991867",".3060546"
"sp75_382_c_lag_all","1.016703",".0722129"
"sp75_512_2_c_lag_all",".9980837",".4720679"
"sp75_512_c_lag_all","1.001253",".096123"
"sp75_516_2_c_lag_all","1.002035",".6040463"
"sp75_523_2_c_lag_all",".9936524",".0840588"
"sp75_601_2_c_lag_all",".927352",".0211825"
"sp75_602_c_lag_all","1.006193",".3285725"
"sp75_701_2_c_lag_all",".9714199",".0397006"
"sp75_702_c_lag_all","1.040251",".4876909"
"sp75_703_2_c_lag_all",".9736759",".2865105"
"sp75_705_2_c_lag_all","1.422918",".0088021"
"sp75_800_2_c_lag_all",".9862798",".7826659"
"sp75_802_c_lag_all",".9869348",".4711634"
"sp75_803_2_c_lag_all",".9186147",".4310327"
"sp75_812_c_lag_all","1.036486",".2301181"
"sp75_832_c_lag_all",".9674657",".6425395"
"sp75_900_2_c_lag_all",".8518782","6.02e-06"
"sp75_902_2_c_lag_all","1.004195",".3761442"
"sp75_902_c_lag_all",".9963762",".2037359"
"sp77_1112_c_lag_all",".9972086",".880973"
"sp77_1432_c_lag_all",".9209702",".0354658"
"sp77_1802_c_lag_all",".9871283",".826524"
"sp77_202_c_lag_all",".9980309",".4219715"
"sp77_402_c_lag_all",".9949446",".412572"
"sp77_403_2_c_lag_all",".9073691",".657461"
"sp77_412_c_lag_all",".9908258",".5437319"
"sp77_502_2_c_lag_all","1.024827",".0096856"
"sp77_502_c_lag_all",".9979657",".1007125"
"sp77_512_c_lag_all",".9964549",".3761353"
"sp77_602_c_lag_all","1.090926",".0784444"
"sp77_701_2_c_lag_all",".975409",".1742672"
"sp77_702_c_lag_all",".6867535",".0000497"
"sp77_800_2_c_lag_all",".9824726",".321369"
"sp77_802_c_lag_all","1.05365",".429937"
"sp77_807_2_c_lag_all","1.011705",".6255112"
"sp77_900_2_c_lag_all","1.020795",".2801617"
"sp77_902_2_c_lag_all","1","."
"sp77_902_c_lag_all",".976295",".2323441"
"sp47_43_c_lag_all",".8608086",".1356333"
"sp72_503_c_lag_all",".9997695",".9817599"
"sp75_1106_3_c_lag_all","1.001375",".477763"
"sp75_1400_3_c_lag_all",".9986653",".8975861"
"sp75_1403_3_c_lag_all",".8769998",".0201975"
"sp75_1433_c_lag_all",".9788148",".1747187"
"sp75_153_c_lag_all","1.039157",".6684928"
"sp75_1903_c_lag_all","1.005611",".2340301"
"sp75_1913_c_lag_all",".9998758",".9845952"
"sp75_503_c_lag_all",".9999718",".9419256"
"sp75_513_c_lag_all",".9919648",".4904349"
"sp75_523_c_lag_all","1.002346",".5367973"
"sp75_601_3_c_lag_all","1.052695",".1745184"
"sp75_603_c_lag_all",".996369",".6810374"
"sp75_701_3_c_lag_all","1.011843",".2978265"
"sp75_703_3_c_lag_all","1.01575",".1018157"
"sp75_703_c_lag_all","1.006251",".2711957"
"sp75_705_3_c_lag_all","1","."
"sp75_800_3_c_lag_all",".9882878",".4816199"
"sp75_803_c_lag_all",".9911218",".5143442"
"sp75_900_3_c_lag_all",".9921426",".3881453"
"sp75_903_c_lag_all","1.003751",".4851325"
"sp77_103_c_lag_all","1.043624",".464301"
"sp77_1103_c_lag_all","1.001957",".4275004"
"sp77_1403_c_lag_all",".9959399",".8529547"
"sp77_1433_c_lag_all",".9795092",".4839297"
"sp77_203_c_lag_all",".9729008",".1658346"
"sp77_403_c_lag_all",".9698216",".3146615"
"sp77_413_c_lag_all","1.035168",".1947698"
"sp77_503_c_lag_all","1.005379",".7996519"
"sp77_513_c_lag_all","1.004351",".3237671"
"sp77_603_c_lag_all","1.022761",".5456266"
"sp77_703_c_lag_all",".7837543",".0021561"
"sp77_803_c_lag_all","1.078665",".109145"
"sp77_807_3_c_lag_all","1.081028",".2087809"
"sp77_903_c_lag_all","1.022786",".5971967"
"sp47_44_c_lag_all",".9781962",".0143207"
"sp48_24_c_lag_all","1","."
"sp48_4_c_lag_all","1","."
"sp75_1103_4_c_lag_all","1.000159",".9208637"
"sp75_1104_c_lag_all",".9972465",".5300488"
"sp75_1106_4_c_lag_all","1.001934",".9015539"
"sp75_1107_14_c_lag_all","1.360676",".0002875"
"sp75_1400_4_c_lag_all",".9859114",".3525565"
"sp75_1403_4_c_lag_all","1.13797",".0600513"
"sp75_1404_c_lag_all",".9991116",".9873418"
"sp75_1434_c_lag_all","1.001914",".8784653"
"sp75_1914_c_lag_all","1.00015",".852321"
