"","est1",""
"","b","p"
"MR_indicator","",""
"mine_time",".9981967",".4397785"
"onsite_insp_hours","1.001068",".0000511"
"1.state","1.968593",".0076161"
"2.state","2.369931","0"
"3.state",".7357196",".1806967"
"4.state","1.537751",".0052629"
"5.state",".9990418",".9970722"
"6.state",".9390615",".4255291"
"7.state","1.25175",".3048786"
"8.state",".4766753","0"
"9.state","1.195361",".0183043"
"10.state",".7202835",".2302227"
"11.state",".817066",".7062791"
"12.state",".9239833",".5901283"
"13.state","1.304591",".1145942"
"14.state",".5199187",".0342499"
"15.state",".6627085",".0005255"
"16.state","1","."
"17.state","2.316299","0"
"29.time","1.390513",".0548236"
"30.time","1.276881",".1700207"
"31.time","1.608663",".0051068"
"32.time","1.514222",".0155667"
"33.time","1.170225",".3511357"
"34.time","1.307552",".1489479"
"35.time","1.305628",".1239946"
"36.time","1","."
"37.time","1.008273",".96234"
"38.time",".9513435",".7819412"
"39.time","1.09946",".5936855"
"40.time",".8558916",".4086114"
"41.time",".9276239",".6726281"
"42.time",".9867101",".9415043"
"43.time","1.215295",".3010096"
"44.time",".920586",".6419441"
"45.time","1.160724",".3919658"
"46.time","1.206736",".2790651"
"47.time","1.340534",".0861559"
"48.time",".8909644",".5128675"
"49.time","1.197467",".2914345"
"50.time","1.103568",".586987"
"51.time","1.290258",".1684657"
"52.time",".8251553",".3141962"
"53.time",".8308604",".3169284"
"54.time",".7128925",".0801588"
"55.time",".8827728",".5221376"
"56.time",".9676026",".8690102"
"57.time",".6151657",".0138087"
"58.time",".7876876",".2363233"
"59.time",".8858232",".5196497"
"60.time",".9052025",".6157036"
"61.time",".8839029",".5480456"
"62.time",".8379664",".4013319"
"63.time","1.216235",".3387691"
"64.time",".58244",".0160031"
"65.time",".8953187",".6126851"
"N","14895",""
