"","est1",""
"","b","p"
"MR_indicator","",""
"sp47_41","1.108705",".4101544"
"sp48_11","1.178254",".2339622"
"sp71_701","1","."
"sp75_1001",".5684123",".5487885"
"sp75_1001_1",".768542",".6485175"
"sp75_1003_1","1","."
"sp75_1400_1",".6376406",".5011651"
"sp75_1401",".4732509",".1670044"
"sp75_1401_1",".1550274",".0756768"
"sp75_1403_11","1","."
"sp75_1404_1","1.959756",".5891027"
"sp75_1405_1","1","."
"sp75_1431","1","."
"sp75_151","15.10588",".002429"
"sp75_1721","1","."
"sp75_1731",".9693407",".0096434"
"sp75_1911","1.013362",".7373898"
"sp75_211",".9485317",".259656"
"sp75_341",".7046494",".6475589"
"sp75_506_1","1.376155",".0701197"
"sp75_510_1","1","."
"sp75_511","1.13674",".2955885"
"sp75_511_1","1.777479",".5370345"
"sp75_512_1",".9713789",".9716727"
"sp75_513_1","1.616842",".1388485"
"sp75_516_1","2.537395",".0569453"
"sp75_517_1","1.98967",".0895352"
"sp75_518_1","1.002207",".9627859"
"sp75_523_1","1.008406",".9108669"
"sp75_600_1","1.111022",".814512"
"sp75_601","1.060386",".1971958"
"sp75_601_1",".975492",".4092372"
"sp75_700_1",".6372335",".3870993"
"sp75_701","1.05281",".111076"
"sp75_701_1",".9344539",".5665095"
"sp75_702_1","1","."
"sp75_703_1","9.367289",".1047136"
"sp75_705_1","2.101373",".1921879"
"sp75_801","1.26126",".6625852"
"sp75_811",".9359238",".5376021"
"sp75_821","1.088501",".6420393"
"sp75_831",".9889551",".9823774"
"sp75_901",".9111386",".7172707"
"sp75_902_1","1.193115",".7153938"
"sp77_1111",".384602",".0600908"
"sp77_401",".965883",".8427265"
"sp77_403_1",".8784482",".6071248"
"sp77_411",".3860092",".3829245"
"sp77_501","1.132824",".6675137"
"sp77_502_1","2.732952",".5809268"
"sp77_503_1","1.769997",".238446"
"sp77_506_1",".9682617",".6469528"
"sp77_508_1","1.152574",".687895"
"sp77_511",".5154464",".0850375"
"sp77_601","1.305867",".5472949"
"sp77_606_1","1","."
"sp77_700_1","1.123138",".8543332"
"sp77_701","1.04055",".6215056"
"sp77_701_1",".6771097",".3168515"
"sp77_704_1","2.293276",".1673289"
"sp77_800_1","1.145757",".7178205"
"sp77_801","4.385904",".0764964"
"sp77_801_1","1","."
"sp77_807_1",".5574687",".3814655"
"sp77_900_1","2.651521",".3552454"
"sp77_901","1.246047",".5003718"
"sp77_901_1","1","."
"sp47_42",".6899912",".1594669"
"sp75_1100_2","1.058564",".0031321"
"sp75_1102",".9839296",".8795941"
"sp75_1106_2","1.100193",".3669234"
"sp75_1400_2","1.328126",".5706426"
"sp75_1402_2","1","."
"sp75_1432",".9523593",".9362508"
"sp75_1600_2",".9847405",".8425111"
"sp75_1912",".7890471",".3274148"
"sp75_202","1.005431",".5638823"
"sp75_212",".7773633",".0050294"
"sp75_312","1.04787",".4553756"
"sp75_342",".9963861",".8681692"
"sp75_352",".8194207",".2607346"
"sp75_382",".9164679",".6932362"
"sp75_512","1.004658",".6969049"
"sp75_512_2","1.045328",".2572815"
"sp75_516_2","1.211174",".0120279"
"sp75_523_2","1.012374",".8425758"
"sp75_601_2","2.903325",".1889154"
"sp75_602",".9972735",".9760905"
"sp75_701_2",".8855162",".568926"
"sp75_702","2.294025",".51402"
"sp75_703_2","1.431479",".4343841"
"sp75_705_2","1","."
"sp75_800_2","2.7584",".0786726"
"sp75_802",".7539476",".3592072"
"sp75_803_2","1","."
"sp75_812","1.056647",".9108275"
"sp75_832",".8764016",".9145043"
"sp75_900_2","1.578329",".4155888"
"sp75_902",".9187727",".1112835"
"sp75_902_2","1.491709",".0699127"
"sp77_1112","1.225697",".5534454"
"sp77_1432",".6776372",".6174506"
